eng,as
What is Poshan Abhiyaan?,পোষণ অভিযান কি?
Moderately Wasted (MAM),মধ্যমীযাভাৱে পুষ্টিহীন (MAM)
Hingoli (Balapur Akhada),হিঙ্গোলি (বালাপুৰ আখাদা)
Ldh Urban 3,এলডিএইচ আৰ্বান 3
South Golaghat Icds Project,দক্ষিণ গোলাঘাট আইচিডিএছ প্ৰকল্প
East Garo Hills,পূৱ গাৰো হিলছ
Alipurduar - I Addl.,আলিপুৰদুৱাৰ - I এডল।
Mal Adl 1,মাল আডল 1
The Site is directed to the people residing in India.,চাইটটো ভাৰতত বাস কৰা লোকসকলৰ বাবে পৰিচালিত।
We do not represent that Content available on or through the Site is appropriate or available in other locations.,আমি প্ৰতিনিধিত্ব নকৰো যে চাইটটোৰ জৰিযতে বা চাইটটোত উপলব্ধ কন্টেন্ট সমূহ উপযুক্ত আৰু আন স্থানত উপলব্ধ।
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,আমি যিকোনো সমযত কোনো লোক বা ভৌগলিক অঞ্চললৈ চাইটটো বা চাইটটোত বিৱৰিত কোনো সেৱা বা প্ৰডাক্টৰ উপলব্ধতা সীমাৱদ্ধ কৰি তুলিব পাৰো।
"If you choose to access the Site from outside India, you do so at your own risk.","যদি আপুনি ভাৰতৰ বাহিৰৰ পৰা চাইটটোত প্ৰৱেশ কৰিবলৈ বিচাৰে, আপুনি নিজৰ ৰিস্কত এনে কৰিব পাৰে।"
NORTH DUM DUM,উত্তৰ ডিইউএম ডিইউএম
Please go back to the homepage,প্লিজ গো ব্যাক তো টি হোমপেজ
Please select Anganwadi center,অনুগ্ৰহ কৰি অংগনৱাডী কেন্দ্ৰ বাছনি কৰক
Central Zone Rmc,কেন্দ্ৰীয অঞ্চল আৰএমচি
"National Nutrition Mission named as the Hon’ble Prime Minister’s Overarching Scheme for Holistic Nutrition (POSHAN) Abhiyaan was launched in 2017, as a multi-ministerial convergence mission, with the overarching vision to make India malnutrition free by 2022.","ন্যাশনাল নিউট্রিশন মিশন নেমড এস টি হন'বলে প্রাইম মিনিস্টার'স ওভারচিং স্কিম ফর হোলিস্টিক নিউট্রিশন (পোষণ) অভিযান ওযাস লাউঞ্চেদ ইন টো ২০১৭, এস এ মূলত-মিনিস্টারিযাল কোনভার্জেন্স মিশন, উইথ টি ওভারচিং ভিশন তো মেক ইন্ডিযা মালনিউট্রিশন ফ্রি বই ট ২০২২."
Bankura - I,বাংকুৰা - I
Icds Project Vijaypur,আইচিডিপ্ৰকল্প বিজযপুৰ
 XI. VIOLATION OF THESE TERMS, XI. এই চৰ্তাৱলী সমূহৰ উলংঘন
Rampurhat - I,ৰামপুৰহাট - I
Mirzapur City 2,মিৰ্জাপুৰ চহৰ 2
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.","পঞ্জীযনৰ সমযযত দফা 1 ৰ অধীনত সংগ্ৰহ কৰা সকলো তথ্য যেতিযালৈ আপোনাৰ ৰেকৰ্ড বিদ্যমান হৈ ৰয তেতিযালৈ থাকিব আৰু যদি কোনো চিকিৎসাজনিত বা প্ৰশাসনীয হস্তক্ষেপ দফা 2 ৰ অধীনত সংঘটিত হয, তলৰ দফা 4(b) ৰ অধীনত, এনে সমযৰ বাবে তাৰ পিছত এনে হস্তক্ষেপৰ বাবে প্ৰযোজন অনুসৰি সম্পূৰ্ণ কৰিব লাগে।"
"All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.","দফা 1 ৰ অধীনত সংগ্ৰহ কৰা সকলো ব্যক্তিগত তথ্য, সেই পৰিসৰলৈ যে এনে তথ্য লোকসকলৰে সম্পৰ্কিত হয যি ঘটনাটোৰ বাবে পঞ্জীযনভুক্ত হৈছে, এপ্লিকেচন চাৰ্ভাৰত ৰৈ যাব।"
"Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.","ইযাত বহুওৱা কোনো বস্তু বেনামীকৃত, পোষণ ট্ৰেকাৰৰ পঞ্জীযনভুক্ত ব্যৱহাৰকাৰীসকলৰ ব্যক্তিগত তথ্যৰ দ্বাৰা উৎপন্ন পুঞ্জীভূত ডাটাছেট বা এনে ডাটাছেট ব্যৱহাৰ কৰি প্ৰস্তুত কৰা কোনো ৰিপোৰ্ট, হীট মেপ বা আন অৱলোকনত প্ৰযোগ হ'ব।"
Number Of Positions,অৱস্থানৰ সংখ্যা
Please enter Height greater than 29.99 and less than 140.01,অনুগ্ৰহ কৰি 29.99 তকৈ অধিক আৰু 140.01 তকৈ কম উচ্চতা প্ৰদান কৰক
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","পোষণ ট্ৰেকজাৰ এপত লগইন কৰোঁতে, AWWসকলে তেওঁলোকৰ দ্বাৰা নিৰ্ধাৰিত MPIN প্ৰবিষ্ট কৰিব লাগিব।"
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,এই MPIN-এ পোষণ ট্ৰেকাৰ এপ চলাবলৈ আৰু হিতাধিকাৰীৰ প্ৰপত্ৰত তথ্য প্ৰবিষ্ট কৰিবলৈ পাছকোড হিচাপে কাম কৰিব।
Matigara ICDS Project( Main ),মাটিগাৰা আইচিডিএছ প্ৰকল্প (মুখ্য)
How to ensure timely initiation of complementary feeding,পৰিপূৰক খাদ্য প্ৰদানৰ সমযমতে সূচনা কেনেদৰে সুনিশ্চিত কৰিব
20 December 2021,20 ডিচেম্বৰ 2021
