eng,bn
What is Poshan Abhiyaan?,পশান অভিযান কি?
Moderately Wasted (MAM),পরিমিত অপুষ্টি (MAM)
Hingoli (Balapur Akhada),হিঙ্গোলি (বালাপুর আখডা)
Ldh Urban 3,এলডিএইচ আরবান 3
South Golaghat Icds Project,দক্ষিণ গোলাগাট আইসিডিএস প্রকল্প
East Garo Hills,পূর্ব গারো পাহাড
Alipurduar - I Addl.,আলিপুরদুযার - I অ্যাডিশনাল
Mal Adl 1,মাল অ্যাডিশনাল 1
The Site is directed to the people residing in India.,সাইটটি ভারতে বসবাসকারী লোকদের জন্য নির্দেশিত।
We do not represent that Content available on or through the Site is appropriate or available in other locations.,আমরা এটা বর্ণনা করি না যে সাইটে বা এর মাধ্যমে উপলব্ধ বিষযবস্তু উপযুক্ত বা অন্যান্য স্থানে উপলব্ধ।
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,আমরা যে কোনো সময যে কোনো ব্যক্তি বা ভৌগলিক এলাকায সাইট বা সাইটে বর্ণিত কোনো পরিষেবা বা পণ্যের প্রাপ্যতা সীমাবদ্ধ করতে পারি।
"If you choose to access the Site from outside India, you do so at your own risk.",আপনি যদি ভারতের বাইরে থেকে সাইটটি অ্যাক্সেস করতে চান তবে আপনি তা নিজের ঝুঁকিতে করবেন।
NORTH DUM DUM,উত্তর দমদম
Please go back to the homepage,হোমপেজে ফিরে যান দযা করে
Please select Anganwadi center,অনুগ্রহ করে অঙ্গনওযাডি কেন্দ্র নির্বাচন করুন
Central Zone Rmc,সেন্ট্রাল জোন আরএমসি
"National Nutrition Mission named as the Hon’ble Prime Minister’s Overarching Scheme for Holistic Nutrition (POSHAN) Abhiyaan was launched in 2017, as a multi-ministerial convergence mission, with the overarching vision to make India malnutrition free by 2022.",২০২২ সালের মধ্যে ভারতকে অপুষ্টিজনিত মুক্ত করার লক্ষ্যে বহু-মন্ত্রিত্বমূলক রূপান্তর মিশন হিসাবে সম্মানিত প্রধানমন্ত্রীর ওভারারচিং প্রকল্পের জন্য সম্মানিত প্রধানমন্ত্রীর নামকরণের জন্য জাতীয পুষ্টি মিশন ২০১৭ সালে চালু করা হযেছিল।
Bankura - I,বাঁকুডা - অ্যাডিশনাল
Icds Project Vijaypur,আইসিডিএস প্রকল্প বিজযপুর
 XI. VIOLATION OF THESE TERMS, XI. এই শর্তাবলী লঙ্ঘন
Rampurhat - I,রামপুরহাট - I
Mirzapur City 2,মির্জাপুর সিটি 2
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.","নিবন্ধনের সময ধারা 1 এর অধীনে আপনার কাছ থেকে সংগৃহীত সমস্ত ব্যক্তিগত তথ্য যতক্ষণ পর্যন্ত আপনার রেকর্ড বিদ্যমান থাকবে ততক্ষণ ধরে রাখা হবে এবং যদি ক্লজ 2-এর অধীনে কোনো চিকিৎসা বা প্রশাসনিক হস্তক্ষেপ করা হয, নিচের ধারা 4(b) এর সাপেক্ষে, এই ধরনের হস্তক্ষেপ সম্পূর্ণ করার জন্য প্রযোজনীয সমযের পরে।"
"All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.","ক্লজ 1 এর অধীনে সংগৃহীত সমস্ত ব্যক্তিগত তথ্য অ্যাপ্লিকেশন সার্ভারে সংরক্ষণ করা হবে, যে পরিমাণ এই ধরনের তথ্য ইভেন্টের জন্য নিবন্ধিত ব্যক্তিদের সাথে সম্পর্কিত।"
"Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.","পোশান ট্র্যাকারে নিবন্ধিত ব্যবহারকারীদের ব্যক্তিগত ডেটা বা এই জাতীয ডেটাসেটগুলি ব্যবহার করে তৈরি করা কোনও রিপোর্ট, হিট ম্যাপ বা অন্যান্য ভিজ্যুযালাইজেশন দ্বারা তৈরি বেনামী, সমষ্টিগত ডেটাসেটের ক্ষেত্রে এখানে উল্লেখ করা কিছুই প্রযোজ্য হবে না।"
Number Of Positions,পদের সংখ্যা
Please enter Height greater than 29.99 and less than 140.01,অনুগ্রহ করে উচ্চতা 29.99 এর বেশি এবং 140.01 এর কম লিখুন
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","পশান ট্র্যাকার অ্যাপে লগইন করার সময, AWWs তাদের দ্বারা নির্ধারিত MPIN প্রবেশ করতে হবে।"
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,এই MPIN পশান ট্র্যাকার অ্যাপটি চালানোর জন্য পাসকোড হিসাবে কাজ করবে এবং উপকারভোগীদের ফর্মগুলিতে তথ্য প্রবেশ করবে।
Matigara ICDS Project( Main ),মাটিগাডা আইসিডিএস প্রকল্প (প্রধান)
How to ensure timely initiation of complementary feeding,কিভাবে পরিপূরক খাওযানোর সমযমত সূচনা নিশ্চিত করা যায
20 December 2021,20 ডিসেম্বর 2021
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,পশান ট্র্যাকার অ্যাপটি কেবল ৬.০ এবং তারপরের অ্যান্ড্রযেড ভার্সানের অ্যান্ড্রযেড ফোনে ইনস্টল করা যেতে পারে।
Please Enter Mobile Number,অনুগ্রহ করে মোবাইল নম্বর লিখুন
Request for Hot Cooked Meal,গরম রান্না করা খাবারের জন্য অনুরোধ করুন
Hasnabad ICDS Project,হাসনাবাদ আইসিডিএস প্রকল্প
RAIPUR URBAN 1,রাযপুর আরবান 1
General Awareness about Growth Monitoring of Children,শিশুদের বৃদ্ধি পর্যবেক্ষণ সম্পর্কে সাধারণ সচেতনতা
Bhind - R,ভিন্ড - আর
Bastar - Chhattisgarh,বস্তার - ছত্তীসগড
Please select Help Topic,অনুগ্রহ করে সাহায্যের বিষয নির্বাচন করুন
SINGUR - Addl,সিঙ্গুর - অ্যাডিশনাল
