eng,hi
What is Poshan Abhiyaan?,पोषण अभियान क्या है?
Moderately Wasted (MAM),मध्यम रूप से वेस्टेड(MAM)
Hingoli (Balapur Akhada),हिंगोली (बालापुर अखाडा)
Ldh Urban 3,एलडीएच शहरी 3
South Golaghat Icds Project,दक्षिण गोलाघाट आईसीडीएस परियोजना
East Garo Hills,ईस्ट गारो हिल्स
Alipurduar - I Addl.,अलीपुरद्वार - I अडिशनल
Mal Adl 1,माल अडिशनल 1
The Site is directed to the people residing in India.,यह साइट भारत में रहने वाले लोगों के लिए निर्देशित है।
We do not represent that Content available on or through the Site is appropriate or available in other locations.,हम इस साइट पर या उसके माध्यम से उपलब्ध सामग्री की उपयुक्तता या अन्य स्थानों पर इसकी उपलब्धता का आश्वासन नहीं देते हैं।
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,हम किसी भी समय किसी भी व्यक्ति या भौगोलिक क्षेत्र में साइट या साइट पर वर्णित किसी सेवा या उत्पाद की उपलब्धता को सीमित कर सकते हैं।
"If you choose to access the Site from outside India, you do so at your own risk.","यदि आप भारत के बाहर से साइट के उपयोग का चयन करते हैं, तो ऐसा आप अपने जोखिम पर कर सकते हैं।"
NORTH DUM DUM,उत्तर दम दम
Please go back to the homepage,कृपया मुखपृष्ठ पर वापस जाएं
Please select Anganwadi center,कृपाकए आंगनबाडी केंद्रक चयन करू
Central Zone Rmc,मध्य क्षेत्र आरएमसी
"National Nutrition Mission named as the Hon’ble Prime Minister’s Overarching Scheme for Holistic Nutrition (POSHAN) Abhiyaan was launched in 2017, as a multi-ministerial convergence mission, with the overarching vision to make India malnutrition free by 2022.","होलीस्टिक न्यूट्रिशन (पॉशन) अभियान के लिए माननीय प्रधान मंत्री की ओवररचिंग योजना के रूप में नामित राष्ट्रीय पोषण मिशन को 2017 में एक बहु-मंत्रिस्तरीय अभिसरण मिशन के रूप में शुरू किया गया था, जिसमें 2022 तक भारत को कुपोषण मुक्त बनाने के लिए व्यापक दृष्टिकोण था।"
Bankura - I,बांकुरा - ।
Icds Project Vijaypur,आईसीडीएस परियोजना विजयपुर
 XI. VIOLATION OF THESE TERMS, XI. इन शर्तों का उल्लंघन
Rampurhat - I,रामपुरहाट - I
Mirzapur City 2,मिर्जापुर शहर 2
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.","पंजीकरण के समय खंड 1 के तहत आपसे एकत्र की गई सभी व्यक्तिगत जानकारी तब तक रखी जाएगी जब तक आपका रिकॉर्ड अस्तित्व में रहेगा और यदि कोई चिकित्सा या प्रशासनिक हस्तक्षेप खंड 2 के तहत शुरू किया गया है, तो नीचे दिए गए खंड 4 (b) के अधीन, बाद की ऐसी अवधि के रूप में ऐसे हस्तक्षेप को पूरा करने के लिए आवश्यक है।"
"All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.","खंड 1 के तहत एकत्र की गई सभी व्यक्तिगत सूचना को एप्लिकेशन सर्वर पर इस सीमा तक रखा जाएगा कि ऐसी सूचना उन लोगों से संबंधित हो, जिन्हें इवेंट के लिए पंजीकृत किया गया है।"
"Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.","पोशन ट्रैकर के पंजीकृत उपयोगकर्ताओं के व्यक्तिगत डेटा या किसी भी रिपोर्ट, हीट मैप्स या ऐसे डेटासेट का उपयोग करके बनाए गए अन्य विजुअलाइजेशन द्वारा उत्पन्न अज्ञात, समेकित डेटासेट पर यहाँ निर्धारित कुछ भी लागू नहीं होगा।"
Number Of Positions,पद सभक संख्या
Please enter Height greater than 29.99 and less than 140.01,"कृपया, 29.99 से अधिक और 140.01 से कम ऊँचाई दर्ज करें"
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","पोषण ट्रैकर ऐप में लॉगिन करते समय, एडब्ल्यूडब्ल्यू को उनके द्वारा निर्धारित एमपीआई में प्रवेश करना होता है।"
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,यह एमपीआईएन पोषण ट्रैकर ऐप चलाने और लाभार्थियों के फॉर्म में जानकारी दर्ज करने के लिए एक पासकोड के रूप में कार्य करेगा।
Matigara ICDS Project( Main ),माटीगाडा आईसीडीएस परियोजना (मुख्य)
How to ensure timely initiation of complementary feeding,पूरक पोषण की आवधिक सुनिश्चितता कैसे करें
20 December 2021,20 दिसंबर 2021
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,पोषण ट्रैकर ऐप केवल एंड्रॉइड फोन में एंड्रॉइड संस्करण 6.0 और इसके बाद के संस्करण में स्थापित किया जा सकता है।
Please Enter Mobile Number,कृपया मोबाइल नंबर दर्ज करें
Request for Hot Cooked Meal,गर्म पके भोजन के लिए अनुरोध
Hasnabad ICDS Project,हसनाबाद आईसीडीएस परियोजना
RAIPUR URBAN 1,रायपुर शहरी 1
General Awareness about Growth Monitoring of Children,बच्चों के विकास से संबंधित निगरानी के बारे में सामान्य जागरूकता
Bhind - R,भिंड - आर
Bastar - Chhattisgarh,बस्तर - छत्तीसगढ
Please select Help Topic,कृपाकए मदति विषय केर चयन करू
SINGUR - Addl,सिंगुर - अडिशनल
Wasting is defined as low weight-for-height,वेस्टिंग को वजन के अनुपात में ऊँचाई के न होने के रूप में परिभाषित किया गया है
Hot Cooked Meal (HCM) Given Today,आज दिया गया गरम पका हुआ भोजन (एचसीएम) लें
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,यहाँ लाभार्थियों की 6 श्रेणियाँ हैंगर्भवती महिलास्तनपान कराने वाली माता0-6 माह तक के बच्चे6 माह - 3 वर्ष तक के बच्चे6 वर्ष - 3 वर्ष तक के बच्चेकिशोरी लडकियाँ/बालिकाएँ
Old  Amravati Urban,ओल्ड अमरावती शहरी
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world,WHO बहुकेंद्रीय वृद्धि संदर्भित अध्ययन 1997 और 2003 के बीच दुनिया भर में शिशुओं और छोटे बच्चों की वृद्धि और विकास का आकलन करने और नए विकास वक्र को उत्पन्न करने के लिए किया गया था।
Garbeta - I,गरबेटा - I
How to set MPIN?,एमपीआईएन कैसे निर्धारित करें?
Rewa - Urban,रीवा - शहरी
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. बहुभाषी इंटरफेस की सीमाएँ
Diamond Harbour-I ICDS Project,डायमंड हार्बर-I आईसीडीएस परियोजना
Srijangram I. C. D. S. Project,श्रीजंगग्राम आईसीडीएस परियोजना
"We may investigate any violation of these Terms, including unauthorized use of the Site.",हम इस साइट के अनधिकृत उपयोग सहित इन शर्तों के किसी भी प्रकार के उल्लंघन की जाँच कर सकते हैं।
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,हम किसी भी जाँच या वाद के संदर्भ में सहायता प्रदान करने हेतु आपके लेनदेन से संबंधित सूचना को कानूनी रूप से प्रवर्तन निर्देशालय को प्रदान कर सकते हैं।
We may take legal action that we feel is appropriate.,हम किसी भी प्रकार के वाद या उल्लंघन से संबंधित मामलों में उपयुक्त कानूनी कार्रवाई कर सकते हैं।
