eng,kn
What is Poshan Abhiyaan?,ಪೋಷಣ್ ಅಭ್ಯಾನ್ ಅಂದರೆ ಏನು?
Moderately Wasted (MAM),ಸಾಧಾರಣ  ಅಪೌಷ್ಠಿಕತೆ (MAM)
Hingoli (Balapur Akhada),ಹಿಂಗೋಲಿ (ಬಾಳಾಪುರ ಅಖಾಡ)
Ldh Urban 3, ಎಲ್. ಡಿ. ಎಚ್. ನಗರ 3
South Golaghat Icds Project,ದಕ್ಷಿಣ ಗೋಲಾಘಾಟ್ ಐಸಿಡಿಎಸ್ ಯೋಜನೆ
East Garo Hills,ಪೂರ್ವ ಗಾರೊ ಹಿಲ್ಸ್
Alipurduar - I Addl.,ಅಲಿಪುರದ್ವಾರ - I ಹೆಚ್ಚುವರಿ
Mal Adl 1,ಮಾಲ್ ಹೆಚ್ಚುವರಿ 1
The Site is directed to the people residing in India.,ಭಾರತದಲ್ಲಿ ವಾಸಿಸುವ ಜನರಿಗೆ ಸೈಟ್ ಅನ್ನು ನಿರ್ದೇಶಿಸಲಾಗಿದೆ.
We do not represent that Content available on or through the Site is appropriate or available in other locations.,ಸೈಟ್ನಲ್ಲಿ ಅಥವಾ ಅದರ ಮೂಲಕ ಲಭ್ಯವಿರುವ ವಸ್ತುವು ಇತರ ಸ್ಥಳಗಳಲ್ಲಿ ಸೂಕ್ತವಾಗಿದೆ ಅಥವಾ ಲಭ್ಯವಿದೆ ಎಂದು ನಾವು ಪ್ರತಿನಿಧಿಸುವುದಿಲ್ಲ.
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,ನಾವು ಯಾವುದೇ ಸಮಯದಲ್ಲಿ ಯಾವುದೇ ವ್ಯಕ್ತಿ ಅಥವಾ ಭೌಗೋಳಿಕ ಪ್ರದೇಶಕ್ಕೆ ಸೈಟ್ ಅಥವಾ ಸೈಟ್ನಲ್ಲಿ ವಿವರಿಸಿದ ಯಾವುದೇ ಸೇವೆ ಅಥವಾ ಉತ್ಪನ್ನದ ಲಭ್ಯತೆಯನ್ನು ಮಿತಿಗೊಳಿಸಬಹುದು.
"If you choose to access the Site from outside India, you do so at your own risk.","ನೀವು ಭಾರತದ ಹೊರಗಿನಿಂದ ಸೈಟ್ ಅನ್ನು ಪ್ರವೇಶಿಸಲು ಆಯ್ಕೆಮಾಡಿದರೆ, ನೀವು ಅದನ್ನು ನಿಮ್ಮ ಸ್ವಂತ ಜವಾಬ್ದಾರಿಯಲ್ಲಿ ಮಾಡುತ್ತೀರಿ."
NORTH DUM DUM,ಉತ್ತರ ದಮ್ ದಮ್
Please go back to the homepage,ದಯವಿಟ್ಟು ಮುಖಪುಟಕ್ಕೆ ಹಿಂತಿರುಗಿ
Please select Anganwadi center,ದಯವಿಟ್ಟು ಅಂಗನವಾಡಿ ಕೇಂದ್ರವನ್ನು ಆಯ್ಕೆ ಮಾಡಿ
Central Zone Rmc,ಕೇಂದ್ರ ವಲಯ ಆರ್. ಎಂ. ಸಿ.
"National Nutrition Mission named as the Hon’ble Prime Minister’s Overarching Scheme for Holistic Nutrition (POSHAN) Abhiyaan was launched in 2017, as a multi-ministerial convergence mission, with the overarching vision to make India malnutrition free by 2022.","೨೦೨೨ ರ ವೇಳೆಗೆ ಭಾರತವನ್ನು ಅಪೌಷ್ಟಿಕತೆಯಿಂದ ಮುಕ್ತವಾಗಿಸುವ ವ್ಯಾಪಕ ದೃಷ್ಟಿಯೊಂದಿಗೆ, ಬಹುಮುಖ್ಯ ಮಂತ್ರಿಗಳ ಒಮ್ಮುಖ ಕಾರ್ಯಾಚರಣೆಯಾಗಿ ಮಾನ್ಯ ಪ್ರಧಾನ ಮಂತ್ರಿಗಳ ಸಮಗ್ರ ಪೋಷಣೆ ಯೋಜನೆ (ಪೋಶನ್) ಅಭಿಯಾನವನ್ನು ೨೦೧೭ ರಲ್ಲಿ ಪ್ರಾರಂಭಿಸಲಾಯಿತು."
Bankura - I,ಬಂಕುರಾ - I
Icds Project Vijaypur,ಐಸಿಡಿಎಸ್ ಯೋಜನೆ ವಿಜಯಪುರ
 XI. VIOLATION OF THESE TERMS, XI. ಈ ನಿಯಮಗಳ ಉಲ್ಲಂಘನೆ
Rampurhat - I,ರಾಮಪುರಹಟ್ - I
Mirzapur City 2,ಮಿರ್ಜಾಪುರ ನಗರ 2
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.","ನೋಂದಣಿ ಸಮಯದಲ್ಲಿ ಸೆಕ್ಷನ್ 1 ರ ಅಡಿಯಲ್ಲಿ ನಿಮ್ಮಿಂದ ಸಂಗ್ರಹಿಸಲಾದ ಎಲ್ಲಾ ವೈಯಕ್ತಿಕ ಮಾಹಿತಿಯನ್ನು ನಿಮ್ಮ ದಾಖಲೆಯು ಅಸ್ತಿತ್ವದಲ್ಲಿ ಇರುವವರೆಗೆ ಇರಿಸಲಾಗುತ್ತದೆ ಮತ್ತು ಯಾವುದೇ ವೈದ್ಯಕೀಯ ಅಥವಾ ಆಡಳಿತಾತ್ಮಕ ಹಸ್ತಕ್ಷೇಪವನ್ನು ಸೆಕ್ಷನ್ 2, ಸೆಕ್ಷನ್ 4(ಬಿ) ಅಡಿಯಲ್ಲಿ ಪ್ರಾರಂಭಿಸಿದರೆ, ಮಧ್ಯಸ್ಥಿಕೆಯನ್ನು ಕೈಗೊಳ್ಳುವ ಅವಧಿಯ ಒಳಗೆ ಅಂತಹವುಗಳಿಗೆ ಒಳಪಟ್ಟಿರುತ್ತದೆ."
"All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.",ಷರತ್ತು 1 ರ ಅಡಿಯಲ್ಲಿ ಸಂಗ್ರಹಿಸಲಾದ ಎಲ್ಲಾ ವೈಯಕ್ತಿಕ ಮಾಹಿತಿಯನ್ನು ಈವೆಂಟ್ಗಾಗಿ ನೋಂದಾಯಿಸಿದ ವ್ಯಕ್ತಿಗಳಿಗೆ ಸಂಬಂಧಿಸಿದ ಮಾಹಿತಿ ಆಗಿದ್ದು ಅವನ್ನು ಅಪ್ಲಿಕೇಶನ್ ಸರ್ವರ್ನಲ್ಲಿ ಇರಿಸಲಾಗುತ್ತದೆ.
"Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.","ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ನ ನೋಂದಾಯಿತ ಬಳಕೆದಾರರ ವೈಯಕ್ತಿಕ ಡೇಟಾಗೆ ಅಥವಾ ಅಂತಹ ಡೇಟಾಸೆಟ್ಗಳನ್ನು ಬಳಸಿಕೊಂಡು ರಚಿಸಲಾದ ಯಾವುದೇ ವರದಿಗಳು, ಹೀಟ್ ಮ್ಯಾಪ್ಗಳು ಅಥವಾ ಇತರ ದೃಶ್ಯೀಕರಣಗಳಿಂದ ರಚಿಸಲಾದ ಅನಾಮಧೇಯ, ಒಟ್ಟುಗೂಡಿದ ಡೇಟಾಸೆಟ್ಗಳಿಗೆ ಇಲ್ಲಿ ಸೂಚಿಸಲಾದ ಯಾವುದೂ ಅನ್ವಯಿಸುವುದಿಲ್ಲ."
Number Of Positions,ಹುದ್ದೆಗಳ ಸಂಖ್ಯೆ
Please enter Height greater than 29.99 and less than 140.01,ದಯವಿಟ್ಟು 29.99 ಕ್ಕಿಂತ ಹೆಚ್ಚು ಮತ್ತು 140.01 ಕ್ಕಿಂತ ಕಡಿಮೆ ಎತ್ತರವನ್ನು ನಮೂದಿಸಿ
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.","ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಅಪ್ಲಿಕೇಶನ್ಗೆ ಲಾಗಿನ್ ಆಗುವಾಗ, ಎಡಬ್ಲ್ಯೂಡಬ್ಲ್ಯೂಗಳು ಅವರು ಹೊಂದಿಸಿದ ಎಂ.ಪಿಇನ್ ಅನ್ನು ನಮೂದಿಸಬೇಕಾಗುತ್ತದೆ.ಈ ಎಂಪಿಐಎನ್ ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಅಪ್ಲಿಕೇಶನ್ ಅನ್ನು ಚಲಾಯಿಸಲು ಪಾಸ್ಕೋಡ್ ಆಗಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತದೆ ಮತ್ತು ಫಲಾನುಭವಿಗಳ ಫಾರ್ಮ್ಗಳಲ್ಲಿ ಮಾಹಿತಿಯನ್ನು ನಮೂದಿಸುತ್ತದೆ"
Matigara ICDS Project( Main ),ಮಟಿಗಾರ ಐಸಿಡಿಎಸ್ ಯೋಜನೆ(ಪ್ರಧಾನ)
How to ensure timely initiation of complementary feeding,ಪೂರಕ ಆಹಾರದ  ಸಕಾಲಿಕ  ಆರಂಭವನ್ನು ಹೇಗೆ ಖಚಿತಪಡಿಸಿಕೊಳ್ಳುವುದು
20 December 2021,20 ಡಿಸೆಂಬರ್ 2021
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಆಪ್ಪ್ ಅನ್ನು ಆಂಡ್ರೊಯಿಡ್ ೬.೦ ಆವ್ರಿತ್ತಿ ಅಥವಾ ಅದಕ್ಕಿಂತ ಮೇಲಿನ ಆವ್ರಿತ್ತಿಗಳಿರುವ ಅಂಡ್ರೊಯಿಡ್ ಫೋನ್ನಲ್ಲಿ ಸ್ಥಾಪಿಸಬಹುದು.
Please Enter Mobile Number,ದಯವಿಟ್ಟು ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ನಮೂದಿಸಿ
Request for Hot Cooked Meal,ಬಿಸಿ ಬೇಯಿಸಿದ ಊಟಕ್ಕಾಗಿ ವಿನಂತಿ
Hasnabad ICDS Project,ಹಸ್ನಾಬಾದ್ ಐಸಿಡಿಎಸ್ ಯೋಜನೆ
RAIPUR URBAN 1,ರಾಯಪುರ ನಗರ 1
General Awareness about Growth Monitoring of Children,ಮಕ್ಕಳ ಬೆಳವಣಿಗೆಯನ್ನು ಗಮನಿಸುವ ಬಗ್ಗೆ ಸಾಮಾನ್ಯ ಅರಿವು
Bhind - R,ಭಿಂಡ್ - ಆರ್
