eng,ml
What is Poshan Abhiyaan?,എന്താണ് പോഷൻ അഭിയാൻ?
Moderately Wasted (MAM),മിതമായ രീതിയിൽ പാഴായത് (MAM)
Hingoli (Balapur Akhada),ഹിംഗോളി (ബാലാപൂർ അഖാഡ)
Ldh Urban 3,എൽഡിഎച്ച് അർബൻ 3
South Golaghat Icds Project,സൌത്ത് ഗോലാഘട്ട് ഐസിഡിഎസ് പ്രോജക്ട്
East Garo Hills,ഈസ്റ്റ് ഗാരോ ഹിൽസ്
Alipurduar - I Addl.,അലിപുർദുവാർ - ഞാൻ ചേർക്കുന്നു.
Mal Adl 1,മാൽ എഡിഎൽ 1
The Site is directed to the people residing in India.,ഈ സൈറ്റ് ഇന്ത്യയിൽ താമസിക്കുന്ന ആളുകൾക്ക് വേണ്ടിയുള്ളതാണ്.
We do not represent that Content available on or through the Site is appropriate or available in other locations.,സൈറ്റിലോ സൈറ്റിലൂടെയോ ലഭ്യമായ ഉള്ളടക്കം ഉചിതമോ മറ്റ് സ്ഥലങ്ങളിൽ ലഭ്യമോ ആണെന്ന് ഞങ്ങൾ പ്രതിനിധീകരിക്കുന്നില്ല.
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,സൈറ്റിന്റെ ലഭ്യത അല്ലെങ്കിൽ സൈറ്റിൽ വിവരിച്ചിരിക്കുന്ന ഏതെങ്കിലും സേവനത്തിന്റെ അല്ലെങ്കിൽ ഉൽപ്പന്നത്തിന്റെ ലഭ്യത ഞങ്ങൾ എപ്പോൾ വേണമെങ്കിലും ഏതെങ്കിലും വ്യക്തിക്കോ ഭൂമിശാസ്ത്രപരമായ പ്രദേശത്തിനോ പരിമിതപ്പെടുത്തിയേക്കാം.
"If you choose to access the Site from outside India, you do so at your own risk.","ഇന്ത്യയ്ക്ക് പുറത്ത് നിന്ന് സൈറ്റ് ആക്സസ് ചെയ്യാൻ നിങ്ങൾ തിരഞ്ഞെടുക്കുകയാണെങ്കിൽ, നിങ്ങളുടെ സ്വന്തം ഉത്തരവാദിത്തത്തിലാണ് നിങ്ങൾ അത് ചെയ്യുന്നത്."
NORTH DUM DUM,നോർത്ത് ഡം ഡം
Please go back to the homepage,ഹോംപേജിലേക്ക് മടങ്ങുക
Please select Anganwadi center,ദയവായി അംഗൻവാടി കേന്ദ്രം തെരഞ്ഞെടുക്കുക
Central Zone Rmc,സെൻട്രൽ സോൺ ആർഎംസി
"National Nutrition Mission named as the Hon’ble Prime Minister’s Overarching Scheme for Holistic Nutrition (POSHAN) Abhiyaan was launched in 2017, as a multi-ministerial convergence mission, with the overarching vision to make India malnutrition free by 2022.","ബഹുമാനപ്പെട്ട പ്രധാനമന്ത്രിയുടെ ഹോളിസ്റ്റിക് ന്യൂട്രീഷൻ (പോഷാൻ) ദേശീയ പോഷകാഹാര ദൌത്യം മൾട്ടി-മിനിസ്റ്റീരിയൽ കൺവെർജൻസ് മിഷനായി 2017 ൽ ആരംഭിച്ചു, ഇന്ത്യയെ പോഷകാഹാരക്കുറവ് 20 ആക്കി മാറ്റാനുള്ള വിശാലമായ കാഴ്ചപ്പാടോടെ"
Bankura - I,ബങ്കുര - I
Icds Project Vijaypur,ഐസിഡിഎസ് പ്രോജക്ട് വിജയ്പൂർ
 XI. VIOLATION OF THESE TERMS, XI. ഈ നിബന്ധനകളുടെ ലംഘനം
Rampurhat - I,രാംപൂർഹട്ട് - I
Mirzapur City 2,മിർസാപൂർ സിറ്റി 2
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.","രജിസ്ട്രേഷൻ സമയത്ത് ക്ലോസ് 1 പ്രകാരം നിങ്ങളിൽ നിന്ന് ശേഖരിച്ച എല്ലാ വ്യക്തിഗത വിവരങ്ങളും നിങ്ങളുടെ റെക്കോർഡ് നിലനിൽക്കുന്നിടത്തോളം നിലനിൽക്കും കൂടാതെ ഏതെങ്കിലും മെഡിക്കൽ അല്ലെങ്കിൽ അഡ്മിനിസ്ട്രേറ്റീവ് ഇടപെടലുകൾ ക്ലോസ് 2 പ്രകാരം ആരംഭിച്ചിട്ടുണ്ടെങ്കിൽ, ചുവടെയുള്ള ക്ലോസ് 4 (ബി) പ്രകാരം അത്തരം ഇടപെടലുകൾ പൂർത്തിയാക്കുന്നതിന് ആവശ്യമായ കാലയളവ്."
"All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.","ക്ലോസുകൾ 1 പ്രകാരം ശേഖരിക്കുന്ന എല്ലാ വ്യക്തിഗത വിവരങ്ങളും ആപ്ലിക്കേഷൻ സെർവറിൽ നിലനിർത്തും, അത്തരം വിവരങ്ങൾ ഇവന്റിനായി രജിസ്റ്റർ ചെയ്ത ആളുകളുമായി ബന്ധപ്പെട്ടിരിക്കുന്നു."
"Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.","പോഷൻ ട്രാക്കറിന്റെ രജിസ്റ്റർ ചെയ്ത ഉപയോക്താക്കളുടെ വ്യക്തിഗത ഡാറ്റ അല്ലെങ്കിൽ അത്തരം ഡാറ്റാസെറ്റുകൾ ഉപയോഗിച്ച് സൃഷ്ടിച്ച ഏതെങ്കിലും റിപ്പോർട്ടുകൾ, ഹീറ്റ് മാപ്പുകൾ അല്ലെങ്കിൽ മറ്റ് വിഷ്വലൈസേഷൻ എന്നിവയിലൂടെ സൃഷ്ടിച്ച അജ്ഞാതവും സംഗ്രഹിച്ചതുമായ ഡാറ്റാസെറ്റുകൾക്ക് ഇവിടെ പറഞ്ഞിരിക്കുന്നതൊന്നും ബാധകമല്ല."
Number Of Positions,സ്ഥാനങ്ങലുടെ നമ്പർ
Please enter Height greater than 29.99 and less than 140.01,ദയവായി ഉയരം 29.99-ൽ കൂടുതലും 140.01-ൽ താഴെയും നൽകുക
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","പോഷാൻ ട്രാക്കർ ആപ്പിലേക്ക് ലോഗിൻ ചെയ്യുമ്പോൾ, അവ സജ്ജീകരിച്ചിട്ടുള്ള എംപിഐയിൽ എഡബ്ല്യുഡബ്ല്യുകൾ പ്രവേശിക്കേണ്ടതുണ്ട്."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,പോഷൺ ട്രാക്കർ ആപ്പ് പ്രവർത്തിപ്പിക്കുന്നതിനും ഗുണഭോക്താക്കളുടെ ഫോമുകളിൽ വിവരങ്ങൾ എന്റർ ചെയ്യുന്നതിനും ഈ എംപിഐഎൻ ഒരു പാസ് കോഡായി പ്രവർത്തിക്കും.
Matigara ICDS Project( Main ),മതിഗര ഐസിഡിഎസ് പ്രോജക്ട് (പ്രധാനം)
How to ensure timely initiation of complementary feeding,കോംപ്ലിമെന്ററി ഫീഡിംഗ് സമയബന്ധിതമായി ആരംഭിക്കുന്നത് എങ്ങനെ ഉറപ്പാക്കാം
20 December 2021,20 ഡിസംബർ 2021
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,ആൻഡ്രോയിഡ് പതിപ്പ് 6.0 ഉം അതിന് മുകളിലുള്ളതുമായ ആൻഡ്രോയിഡ് ഫോണിൽ മാത്രമേ പോഷൻ ട്രാക്കർ ആപ്പ് ഇൻസ്റ്റാൾ ചെയ്യാൻ കഴിയൂ.
Please Enter Mobile Number,ദയവായി മൊബൈൽ നമ്പർ നൽകുക
Request for Hot Cooked Meal,പാചകം ചെയ്ത ആഹാരത്തിനുള്ള അഭ്യർത്ഥന
Hasnabad ICDS Project,ഹസ്നാബാദ് ഐസിഡിഎസ് പ്രോജക്ട്
RAIPUR URBAN 1,റായ്പൂർ അർബൻ 1
General Awareness about Growth Monitoring of Children,കുട്ടികളുടെ വളർച്ചാ നിരീക്ഷണത്തെക്കുറിച്ചുള്ള പൊതുവായ അവബോധം
Bhind - R,ഭിന്ദ് - ആർ
Bastar - Chhattisgarh,ബസ്തർ - ഛത്തീസ്ഗഡ്
