eng,mr
What is Poshan Abhiyaan?,पोषण अभियान म्हणजे काय?
Moderately Wasted (MAM),मध्यम लूकडेपणा ( मॅम)
Hingoli (Balapur Akhada),हिंगोली (बाळापूर आखाडा)
Ldh Urban 3,एलडीएच शहरी 3
South Golaghat Icds Project,दक्षिण गोलाघाट आयसीडीएस प्रकल्प
East Garo Hills,ईस्ट गारो हिल्स
Alipurduar - I Addl.,अलीपुरद्वार - I अतिरिक्त
Mal Adl 1,मल अतिरिक्त 1
The Site is directed to the people residing in India.,साइट भारतात राहणार्या लोकांसाठी निर्देशित केली आहे.
We do not represent that Content available on or through the Site is appropriate or available in other locations.,आम्ही असे प्रतिनिधित्व करत नाही की साइटवर किंवा त्याद्वारे उपलब्ध असलेली सामग्री योग्य आहे किंवा इतर ठिकाणी उपलब्ध आहे.
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,आम्ही साइट किंवा साइटवर वर्णन केलेल्या कोणत्याही सेवा किंवा उत्पादनाची उपलब्धता कोणत्याही व्यक्ती किंवा भौगोलिक क्षेत्रासाठी कोणत्याही वेळी मर्यादित करू शकतो.
"If you choose to access the Site from outside India, you do so at your own risk.","तुम्ही भारताबाहेरून साइटवर प्रवेश करणे निवडल्यास, तुम्ही ते तुमच्या स्वतःच्या जोखमीवर करता."
NORTH DUM DUM,उत्तर डम डम
Please go back to the homepage,कृपया मुख्यपृष्ठावर परत जा
Please select Anganwadi center,कृपया अंगणवाडी केंद्र निवडा
Central Zone Rmc,सेंट्रल झोन आरएमसी
"National Nutrition Mission named as the Hon’ble Prime Minister’s Overarching Scheme for Holistic Nutrition (POSHAN) Abhiyaan was launched in 2017, as a multi-ministerial convergence mission, with the overarching vision to make India malnutrition free by 2022.",२०२२ पर्यंत भारत कुपोषणमुक्त करण्याच्या दृष्टीकोनातून बहु-मंत्रीपदीय अभिसरण मिशन म्हणून माननीय पंतप्रधानांच्या सर्वांगीण योजना (पोषण) अभियान म्हणून नामित राष्ट्रीय पोषण अभियान २०१७ मध्ये सुरू करण्यात आले.
Bankura - I,बांकुरा - I
Icds Project Vijaypur,आयसीडीएस प्रकल्प विजयपूर
 XI. VIOLATION OF THESE TERMS, XI. या अटींचे उल्लंघन
Rampurhat - I,रामपूरहाट - I
Mirzapur City 2,मिर्झापूर शहर 2
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.","नोंदणीच्या वेळी कलम 1 अंतर्गत तुमच्याकडून गोळा केलेली सर्व वैयक्तिक माहिती जोपर्यंत तुमचा रेकॉर्ड अस्तित्वात आहे तोपर्यंत राखून ठेवली जाईल आणि कलम 2 अंतर्गत, खालील कलम 4(b) च्या अधीन राहून कोणतेही वैद्यकीय किंवा प्रशासकीय हस्तक्षेप सुरू केले गेले असतील तर त्यानंतरचा कालावधी अशा हस्तक्षेप पूर्ण करण्यासाठी आवश्यक आहे."
"All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.","कलम 1 अंतर्गत गोळा केलेली सर्व वैयक्तिक माहिती ऍप्लिकेशन सर्व्हरवर ठेवली जाईल, ज्या प्रमाणात अशी माहिती कार्यक्रमासाठी नोंदणीकृत लोकांशी संबंधित असेल."
