eng,ne
What is Poshan Abhiyaan?,पोषण अभियान भनेको के हो?
Moderately Wasted (MAM),मध्यम रूपमा बर्बाद (एमएएम)
Hingoli (Balapur Akhada),हिङ्गोली (बालापुर अखाडा)
Ldh Urban 3,लुधियाना शहरी 3
South Golaghat Icds Project,दक्षिण गोलाघाट आईसीडीएस परियोजना
East Garo Hills,पूर्वी गारो हिल्स
Alipurduar - I Addl.,अलिपुरद्वार - I अतिरिक्त
Mal Adl 1,माल एडीएल 1
The Site is directed to the people residing in India.,साइट भारतमा बस्ने मानिसहरूलाई निर्देशित गरिएको छ।
We do not represent that Content available on or through the Site is appropriate or available in other locations.,हामी प्रतिनिधित्व गर्दैनौं कि साइटमा वा मार्फत उपलब्ध सामग्री उपयुक्त छ वा अन्य स्थानहरूमा उपलब्ध छ।
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,हामी कुनै पनि समयमा कुनै पनि व्यक्ति वा भौगोलिक क्षेत्रमा साइटमा वर्णन गरिएको साइट वा कुनै सेवा वा उत्पादनको उपलब्धता सीमित गर्न सक्छौं।
"If you choose to access the Site from outside India, you do so at your own risk.","यदि तपाइँ भारत बाहिरबाट साइट पहुँच गर्न रोज्नुहुन्छ भने, तपाइँ आफ्नो जोखिममा यो गर्नुहुन्छ।"
NORTH DUM DUM,उत्तर दम दम
Please go back to the homepage,कृपया होमपेजमा फिर्ता जानुहोस्
Please select Anganwadi center,कृपया आंगनवाडी केन्द्र चयन गर्नुहोस्
Central Zone Rmc,केन्द्रीय क्षेत्र आरएमसी
"National Nutrition Mission named as the Hon’ble Prime Minister’s Overarching Scheme for Holistic Nutrition (POSHAN) Abhiyaan was launched in 2017, as a multi-ministerial convergence mission, with the overarching vision to make India malnutrition free by 2022.","सम्माननीय प्रधानमन्त्री  व्यापक योजनाको होलिसटिक पोषण अभियान नामाकरण गरिएको राष्ट्रिय पोषण मिशन , बहु-मंत्रालयीय अभिसरण मिशन, भारतलाई २०२२ सम्म कुपोषण मुक्त बनाउने व्यापक उद्देश्य सहित २०१७ मा शुभारंभ गरिएको थियो।"
Bankura - I,बांकुरा - I
Icds Project Vijaypur,आईसीडीएस परियोजना विजयपुर
 XI. VIOLATION OF THESE TERMS, XI. यी सर्तहरूको उल्लङ्घन
Rampurhat - I,रामपुरहाट - I
Mirzapur City 2,मिर्जापुर सिटी 2
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.","दर्ताको समयमा खण्ड 1 अन्तर्गत तपाइँबाट सङ्कलन गरिएका सबै व्यक्तिगत जानकारीहरू तपाइँको रेकर्ड अस्तित्वमा रहुन्जेलसम्म कायम राखिनेछ र यदि कुनै चिकित्सा वा प्रशासनिक हस्तक्षेपहरू क्लज 2 अन्तर्गत सुरु गरिएको छ, तलको खण्ड 4(ख) को अधीनमा, त्यसपछि त्यस्ता हस्तक्षेपहरू पूरा गर्न आवश्यक पर्ने अवधिको लागि।"
"All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.","खण्ड 1 अन्तर्गत संकलन गरिएका सबै व्यक्तिगत जानकारीहरू अनुप्रयोग सर्भरमा राखिनेछ, त्यस्तो जानकारी घटनाको लागि दर्ता भएका व्यक्तिहरूसँग सम्बन्धित छ।"
"Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.","पोशन ट्र्याकरका दर्ता भएका प्रयोगकर्ताहरूको व्यक्तिगत डाटा वा त्यस्ता डाटासेटहरू प्रयोग गरेर सिर्जना गरिएका कुनै पनि रिपोर्टहरू, तातो नक्सा वा अन्य दृश्यावलोकनहरूद्वारा उत्पन्न अज्ञात, एकत्रित डाटासेटहरूमा यहाँ उल्लेख गरिएको कुनै पनि कुरा लागू हुने छैन।"
Number Of Positions,पदको संख्या
Please enter Height greater than 29.99 and less than 140.01,कृपया 29.99 भन्दा बढी र 140.01 भन्दा कम उचाइ प्रविष्ट गर्नुहोस्
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.",पोषण ट्रेकर एपमा लगइन गर्दा AWW हरूलाई तिनीहरूले सेट गरेको MPI प्रविष्ट गर्न आवश्यक छ।
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,यो MPIN ले पोषण ट्र्याकर एप चलाउन र लाभार्थी फारमहरूमा जानकारी प्रविष्ट गर्न पासकोडको रूपमा काम गर्दछ।
Matigara ICDS Project( Main ),माटिगाडा आईसीडीएस परियोजना (मुख्य)
