eng,or
What is Poshan Abhiyaan?,ପୋଷନ୍ ଅଭିଯାନ କଣ ଅଟେ?
Moderately Wasted (MAM),ସାମାନ୍ୟ ନଷ୍ଟ (MAM)
Hingoli (Balapur Akhada),ହିଙ୍ଗୋଲି (ବାଲାପୁର ଅଖଡା)
Ldh Urban 3,ଏଲଡିଏଚ୍ ଅର୍ବାନ୍ 3
South Golaghat Icds Project,ଦକ୍ଷିଣ ଗୋଲାଘାଟ ଆଇସିଡିଏସ୍ ପ୍ରୋଜେକ୍ଟ
East Garo Hills,ପୂର୍ବ ଗାରୋ ପାହାଡ
Alipurduar - I Addl.,ଆଲିପୁରଦୁଆର - I ଆଡିସନାଲ୍
Mal Adl 1,ମାଲଦା ଆଡିସନାଲ୍ 1
"The Site is directed to the people residing in India.We do not represent that Content available on or through the Site is appropriate or available in other locations.We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.If you choose to access the Site from outside India, you do so at your own risk.","ଏହି ସାଇଟ୍ ରେ ଭାରତରେ ରହୁଥିବା ଲୋକଙ୍କୁ ନିର୍ଦ୍ଦେଶ ଦିଆଯାଇଛି | ସାଇଟରେ କିମ୍ବା ଉପଲବ୍ଧ ବିଷୟବସ୍ତୁ ଉପଯୁକ୍ତ କିମ୍ବା ଅନ୍ୟ ସ୍ଥାନରେ ଉପଲବ୍ଧ ବୋଲି ଆମେ ପ୍ରତିନିଧିତ୍ୱ କରୁନାହୁଁ | ଆମେ ସାଇଟର ଉପଲବ୍ଧତା କିମ୍ବା ସାଇଟରେ ବର୍ଣ୍ଣିତ ଯେକୌଣସି ସେବା କିମ୍ବା ଉତ୍ପାଦକୁ ଯେକୌଣସି ବ୍ୟକ୍ତି କିମ୍ବା ଭୌଗୋଳିକ କ୍ଷେତ୍ରରେ ସୀମିତ ରଖିପାରିବା | ଯଦି ଆପଣ ଭାରତ ବାହାରେ ସାଇଟକୁ ପ୍ରବେଶ କରିବାକୁ ପସନ୍ଦ କରନ୍ତି, ତେବେ ଆପଣ ନିଜ ରିସ୍କରେ ତାହା କରନ୍ତୁ |"
NORTH DUM DUM,ଉତ୍ତର ଦମ୍ ଦମ୍
Please go back to the homepage,ଦୟାକରି ମୂଳପୃଷ୍ଠାକୁ ଫେରନ୍ତୁ |
Please select Anganwadi center,ଦୟାକରି ଅଙ୍ଗନୱାଡି କେନ୍ଦ୍ର ଚୟନ କରନ୍ତୁ
Central Zone Rmc,ସେଣ୍ଟ୍ରାଲ୍ ଜୋନ୍ ଆରଏମସି
"National Nutrition Mission named as the Hon’ble Prime Minister’s Overarching Scheme for Holistic Nutrition (POSHAN) Abhiyaan was launched in 2017, as a multi-ministerial convergence mission, with the overarching vision to make India malnutrition free by 2022.","ରାଷ୍ଟ୍ରୀୟ ପୁଷ୍ଟିକର ମିଶନ ସମ୍ମାନଜନକ ପ୍ରଧାନମନ୍ତ୍ରୀଙ୍କ ଓଭରଚରିଂ ସ୍କିମ୍ ଫର ହୋଲିଷ୍ଟିକ୍ ପୁଷ୍ଟିକର (ପୋଶାନ୍) ଅଭିୟାନ୍ 2017 ରେ ଆରମ୍ଭ ହୋଇଥିଲା, ବହୁ ମନ୍ତ୍ରୀ ସମ୍ମିଳନ ମିଶନ୍ ଭାବରେ, 2022 ସୁଦ୍ଧା ଭାରତକୁ ପୁଷ୍ଟିହୀନତାକୁ ମୁକ୍ତ କରିବା ପାଇଁ ଏହି ଦୃଷ୍ଟିଭଙ୍ଗୀ ସହିତ।"
Bankura - I,ବାଙ୍କୁରା - I
Icds Project Vijaypur,ଆଇସିଡିଏସ୍ ପ୍ରୋଜେକ୍ଟ ବିଜୟପୁର
 XI. VIOLATION OF THESE TERMS, XI. ଏହି ସର୍ତ୍ତଗୁଡିକର ଉଲ୍ଲଂଘନ
Rampurhat - I,ରାମପୁରହାଟ - I
Mirzapur City 2,ମିର୍ଜାପୁର ସିଟି 2
