eng,pa
What is Poshan Abhiyaan?,ਪੋਸਣ ਅਭਿਆਨ ਕੀ ਹੈ?
Moderately Wasted (MAM),ਦਰਮਿਆਨੀ ਦੁਰਬਲਤਾ (ਐਮਏਐਮ)
Hingoli (Balapur Akhada),ਹਿੰਗੋਲੀ (ਬਾਲਾਪੁਰ ਅਖਾੜਾ)
Ldh Urban 3,ਐਲਡੀਐਚ ਸਹਿਰੀ 3
South Golaghat Icds Project,ਦੱਖਣੀ ਗੋਲਾਘਾਟ ਆਈਸੀਡੀਐਸ ਪ੍ਰੋਜੈਕਟ
East Garo Hills,ਪੂਰਬੀ ਗਾਰੋ ਪਹਾੜੀਆਂ
Alipurduar - I Addl.,ਅਲੀਪੁਰਦੁਆਰ - I.
Mal Adl 1,ਮਲ ਏਡੀਐਲ 1
The Site is directed to the people residing in India.,ਸਾਈਟ ਨੂੰ ਭਾਰਤ ਵਿੱਚ ਰਹਿਣ ਵਾਲੇ ਲੋਕਾਂ ਲਈ ਨਿਰਦੇਸਿਤ ਕੀਤਾ ਗਿਆ ਹੈ।
We do not represent that Content available on or through the Site is appropriate or available in other locations.,ਅਸੀਂ ਇਸ ਗੱਲ ਦੀ ਨੁਮਾਇੰਦਗੀ ਨਹੀਂ ਕਰਦੇ ਹਾਂ ਕਿ ਸਾਈਟ 'ਤੇ ਜਾਂ ਇਸ ਰਾਹੀਂ ਉਪਲਬਧ ਸਮੱਗਰੀ ਹੋਰ ਸਥਾਨਾਂ 'ਤੇ ਉਚਿਤ ਜਾਂ ਉਪਲਬਧ ਹੈ।
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,ਅਸੀਂ ਕਿਸੇ ਵੀ ਸਮੇਂ ਕਿਸੇ ਵੀ ਵਿਅਕਤੀ ਜਾਂ ਭੂਗੋਲਿਕ ਖੇਤਰ ਲਈ ਸਾਈਟ ਜਾਂ ਸਾਈਟ 'ਤੇ ਦੱਸੇ ਗਏ ਕਿਸੇ ਸੇਵਾ ਜਾਂ ਉਤਪਾਦੀ ਉਪਲਬਧਤਾ ਨੂੰ ਸੀਮਤ ਕਰ ਸਕਦੇ ਹਾਂ।
"If you choose to access the Site from outside India, you do so at your own risk.","ਜੇਕਰ ਤੁਸੀਂ ਭਾਰਤ ਤੋਂ ਬਾਹਰ ਸਾਈਟ ਨੂੰ ਐਕਸੈਸ ਕਰਨ ਦੀ ਚੋਣ ਕਰੋਗੇ, ਤਾਂ ਤੁਸੀਂ ਆਪਣੇ ਜੋਖਮ 'ਤੇ ਅਜਿਹਾ ਕਰਦੇ ਹੋ।"
NORTH DUM DUM,ਉੱਤਰ ਦਮ ਦਮ
Please go back to the homepage,ਕਿਰਪਾ ਕਰਕੇ ਹੋਮਪੇਜ ਤੇ ਵਾਪਸ ਜਾਓ
