eng,ta
What is Poshan Abhiyaan?,போஷன் அபியான் என்றால் என்ன?
Moderately Wasted (MAM),மிதமான ஊட்டச்சத்து குறைபாடு (MAM)
Hingoli (Balapur Akhada),ஹிங்கோலி (பாலாபூர் அகாடா)
Ldh Urban 3,லூதியானா அர்பன் 3
South Golaghat Icds Project,தெற்கு கோலாகாட் ஐ. சி. டி. எஸ். புராஜக்ட்
East Garo Hills,கிழக்கு கரோ ஹில்ஸ்
Alipurduar - I Addl.,அலிபுர்த்வார் - I அடிஷனல்
Mal Adl 1,மால் அடிஷனல் 1
The Site is directed to the people residing in India.,இந்த தளம் இந்தியாவில் வசிக்கும் மக்களுக்கு மட்டுமே.
We do not represent that Content available on or through the Site is appropriate or available in other locations.,தளத்தில் கிடைக்கும் உள்ளடக்கம் சரியானது அல்லது பிற இடங்களில் உள்ளது என்பதை நாங்கள் குறிப்பிடவில்லை.
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,எந்த நேரத்திலும் எந்தவொரு நபருக்கும் அல்லது புவியியல் பகுதிக்கும் தளத்தில் விவரிக்கப்பட்டுள்ள தளம் அல்லது எந்தவொரு சேவை அல்லது தயாரிப்பின் கிடைக்கும் தன்மையை நாங்கள் கட்டுப்படுத்தலாம்.
"If you choose to access the Site from outside India, you do so at your own risk.","இந்தியாவிற்கு வெளியே இருந்து தளத்தை அணுக நீங்கள் தேர்வுசெய்தால், உங்கள் சொந்த ஆபத்தில் அதைச் செய்கிறீர்கள்."
NORTH DUM DUM,வடக்கு டம் டம்
Please go back to the homepage,முகப்புப்பக்கத்திற்குச் செல்லவும்
Please select Anganwadi center,தயவு செய்து அங்கன்வாடி மையத்தைத் தேர்ந்தெடுக்கவும்
Central Zone Rmc,மத்திய மண்டலம் ஆர்எம்சி
"National Nutrition Mission named as the Hon’ble Prime Minister’s Overarching Scheme for Holistic Nutrition (POSHAN) Abhiyaan was launched in 2017, as a multi-ministerial convergence mission, with the overarching vision to make India malnutrition free by 2022.","க ரவ பிரதமரின் முழுமையான ஊட்டச்சத்துக்கான திட்டம் (போஷான்) என பெயரிடப்பட்ட தேசிய ஊட்டச்சத்து மிஷன், 2017 ஆம் ஆண்டில், பல அமைச்சர்கள் ஒன்றிணைக்கும் பணியாக, 2022 ஆம் ஆண்டில் இந்தியா ஊட்டச்சத்துக் குறைபாட்டை இலவசமாக்குவதற்கான விரிவான பார்வையுடன் தொடங்கப்பட்டது."
Bankura - I,பங்குரா- I
Icds Project Vijaypur, ஐ. சி. டி. எஸ். புராஜக்ட் விஜய்பூர்
 XI. VIOLATION OF THESE TERMS, XI. இந்த விதிமுறைகளை மீறுதல்
Rampurhat - I,ராம்பூர்ஹட் - I
Mirzapur City 2,மிர்ஸாபூர் நகரம் 2
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.","பதிவு செய்யும் போது பிரிவு 1ன் கீழ் உங்களிடமிருந்து சேகரிக்கப்பட்ட அனைத்து தனிப்பட்ட தகவல்களும் உங்கள் பதிவு இருக்கும் வரையில் சேமிக்கப்படும் மற்றும் ஏதேனும் மருத்துவ அல்லது நிர்வாகத் தலையீடுகள் கீழே உள்ள உட்பிரிவு 4(b) க்கு உட்பட்டு பிரிவு 2ன் கீழ் தொடங்கப்பட்டிருந்தால், அத்தகைய தலையீடுகள் முடிக்கப்படுவதற்கு தேவையான கால அவகாசம் எடுக்கப்படும்."
