eng,te
What is Poshan Abhiyaan?,పోషన్ అభియాన్ అంటే ఏమిటి?
Moderately Wasted (MAM),ఒక మాదిరి వృధా (ఎంఎఎమ్)
Hingoli (Balapur Akhada),హింగోలి (బాలాపూర్ అఖాడా)
Ldh Urban 3,లుథియానా అర్బన్ 3
South Golaghat Icds Project,సౌత్ గోలాఘాట్ ఐసిడిఎస్ ప్రాజెక్ట్
East Garo Hills,తూర్పు గారో కొండలు
Alipurduar - I Addl.,అలీపుర్దూవర్ - I అడిష్నల్
Mal Adl 1,మాల్ ఎడిఎల్ 1
The Site is directed to the people residing in India.,ఈ సైట్ భారతదేశంలో నివసిస్తున్న ప్రజలకు నిర్దేశించబడింది.
We do not represent that Content available on or through the Site is appropriate or available in other locations.,సైట్ లో లేదా దాని ద్వారా లభ్యం అయ్యే కంటెంట్ సముచితమైనది లేదా ఇతర లొకేషన్ ల్లో లభ్యం అవుతుందని మేం ప్రాతినిధ్యం వహించం.
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,సైట్ లేదా సైట్ పై వివరించిన ఏదైనా సర్వీస్ లేదా ప్రొడక్ట్ యొక్క లభ్యతను ఏ సమయంలోనైనా ఏదైనా వ్యక్తి లేదా భౌగోళిక ప్రాంతానికి మేం పరిమితం చేయవచ్చు.
"If you choose to access the Site from outside India, you do so at your own risk.","ఒకవేళ మీరు భారతదేశం వెలుపల నుంచి సైట్ ని యాక్సెస్ చేసుకోవాలని ఎంచుకున్నట్లయితే, మీరు మీ స్వంత రిస్క్ తో అలా చేస్తారు."
NORTH DUM DUM,నార్త్ డమ్ డమ్
Please go back to the homepage,దయచేసి హోమ్పేజీకి తిరిగి వెళ్లండి
Please select Anganwadi center,దయచేసి అంగన్వాడీ కేంద్రాన్ని ఎంచుకోండి
Central Zone Rmc,సెంట్రల్ జోన్ ఆర్ఎంసి
