eng,ur
What is Poshan Abhiyaan?,پوشن ابھیان کیا ہے
Moderately Wasted (MAM),اعتدال سے ضائع ( MAM)
Hingoli (Balapur Akhada),ھنگولی ( بالا پور أکھاڑا )
Ldh Urban 3,لدھیانہ أربن - 3
South Golaghat Icds Project,گول گھاٹ ساؤتھ آئی سی ڈی ایس پروجیکٹ
East Garo Hills,مشرقی گارو پہاڑیاں
Alipurduar - I Addl.,علی پور دوار - I اڈیشنل
Mal Adl 1,مال اڈیشنل 1
"The Site is directed to the people residing in India.We do not represent that Content available on or through the Site is appropriate or available in other locations.We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.If you choose to access the Site from outside India, you do so at your own risk.",اس سائٹ کو ہندوستان میں رہنے والے لوگوں کے لیے ہدایت کی گئی ہے ۔ہم اس بات کی نمائندگی نہیں کرتے کہ سائٹ پر یا اس کے ذریعے دستیاب مواد مناسب ہے یا دیگر مقامات پر دستیاب ہے ۔ہم کسی بھی وقت کسی بھی شخص یا جغرافیائی علاقے تک سائٹ یا سائٹ پر بیان کردہ کسی بھی سروس یا پروڈکٹ کی دستیابی کو محدود کر سکتے ہیں ۔اگر آپ ہندوستان کے باہر سے سائٹ تک رسائی کا انتخاب کرتے ہیں ،تو آپ اپنی ذمہ داری پر ایسا کرتے ہیں ۔
NORTH DUM DUM,نارتھ ڈم ڈم
Please go back to the homepage,براہ کرم ہوم پیج پر واپس جائیں
Please select Anganwadi center,برائے مہربانی آنگن واڑی سنٹر کو منتخب کریں ۔
Central Zone Rmc,آر ایم سی سنٹرل زون
"National Nutrition Mission named as the Hon’ble Prime Minister’s Overarching Scheme for Holistic Nutrition (POSHAN) Abhiyaan was launched in 2017, as a multi-ministerial convergence mission, with the overarching vision to make India malnutrition free by 2022.",قومی غذائیت مہم کے طور پر نامزد وزیر اعظم کی اوورآرچنگ اسکیم برائے ہولیسٹک نیوٹریشن ( پوشین ) ابھییان 2017 میں ایک کثیر وزارتی کنورژن مشن کے طور پر شروع کیا گیا تھا جس میں 2022 تک ہندوستان کو غذائیت کی تندرستی سے پاک بنانے کے لئے ایک عمدہ وزارتی کنورژن مشن بنایا گیا تھا ۔
Bankura - I,بانکورا - I
I am unable to receive OTP,میں OTP وصول کرنے سے قاصر ہوں ۔
Icds Project Vijaypur,ویجا پور آئی سی ڈی ایس پروجیکٹ
 XI. VIOLATION OF THESE TERMS,XI. ان شرائط کی خلاف ورزی
Rampurhat - I,رام پور ہاٹ - I
Mirzapur City 2,مرزا پور سٹی - 2
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.",رجسٹریشن کے وقت شق 1 کے تحت آپ سے جمع کی گئی تمام ذاتی معلومات کو اس وقت تک برقرار رکھا جائے گاجب تک کہ آپ کا ریکارڈ موجود رہے گا اور اگر کوئی طبی یا انتظامی مداخلت کلاز 2 کے تحت شروع کی گئی ہو ، ذیل میں شق 4( b) کے تحت ، اس طرح کے لیے اس کے بعد کی مدت جیسا کہ اس طرح کی مداخلتوں کو مکمل کرنے کی ضرورت ہے ۔شق 1 کے تحت جمع کی گئی تمام ذاتی معلومات کو ایپلیکیشن سرور پر اس حد تک رکھا جائے گا کہ اس طرح کی معلومات ان لوگوں سے متعلق ہوں جو ایونٹ کے لیے رجسٹرڈ ہیں ۔یہاں بیان کردہ کسی بھی چیز کا اطلاق پوشن ٹریکر کے رجسٹرڈ صارفین کے ذاتی ڈیٹا یا اس طرح کے ڈیٹا سیٹس کا استعمال کرتے ہوئے تخلیق کردہ کسی بھی رپورٹس ، ہیٹ میپس یا دیگر ویژولائزیشن کے ذریعے پیدا کردہ گمنام ، مجموعی ڈیٹاسیٹس پر نہیں ہوگا ۔
How to participate in Swastha Balak Balika Spardha?,صحت مند لڑکا لڑکی کے مقابلے میں کیسے حصہ لیا جائے ؟
Who is a Healthy child?,صحت مند بچہ کون ہے
Number Of Positions,عہدوں کی تعداد
Please enter Height greater than 29.99 and less than 140.01,براہ کرم 29.99 سے زیادہ اور 140.01 سے کم اونچائی درج کریں ۔
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.",جب آپ پوشن ٹریکنگ اپلیکیشن پر لاگ ان کرتے ہیںتب AWWs پر MPIN سیٹ کرنے کی ضرورت درپیش ہوتی ہےتب MPIN بطور پاس کوڈ کام کرکے پوشن ٹریکر اپلیکیشن کو فعال بناتا ہےتاکہ آپ دیگر معلومات اور فائدہ حاصل کرنے والوں کے فارم پر کر سکیں
Matigara ICDS Project( Main ),ماٹی گارا آئی سی ڈی ایس پروجیکٹ ( مین )
How to ensure timely initiation of complementary feeding,تکمیلی خوراک کی بروقت شروعات کو کیسے یقینی بنایا جائے ۔
20 December 2021,۲۰ دسمبر ۲۰۲۱
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,پوشن ٹریکر اپلیکیشن کو موبائل میں انسٹال کرنے کی کماز کم ضرورت اینڈروائیڈ ورژن 6.0 ہونا چاہئے
Please Enter Mobile Number,براہ کرم موبائل نمبر درج کریں
Request for Hot Cooked Meal,گرم پکائے ہوئے کھانے کی درخواست
Who is eligible for this campaign?,اس مہم کے لیے کون اہل ہے
Hasnabad ICDS Project,حسن آباد آئی سی ڈی ایس پروجیکٹ
RAIPUR URBAN 1,رائے پور اربن 1
General Awareness about Growth Monitoring of Children,بچوں کی گروتھ مانیٹرنگ کے بارے میں عمومی آگاہی
Bhind - R,بھنڈ رورل
Bastar - Chhattisgarh,بستر ۔چھتیس گڑھ
Please select Help Topic,براہ کرم مدد کا موضوع منتخب کریں ۔
SINGUR - Addl,سینگور - اڈیشنل
Wasting is defined as low weight-for-height,بربادی کی تعریف کم وزن کے لیے اونچائی کے طور پر کی گئی ہے ۔
"Once a child is identified as healthy, the link to download the certificate will be sent on the registered mobile number.The certificate can also be downloaded from the registered account.",ایک بار جب بچے کی صحت مند شناخت ہو جائے گی ،تو سرٹیفکیٹ ڈاؤن لوڈ کرنے کا لنک رجسٹرڈ موبائل نمبر پر بھیجا جائے گا ۔سرٹیفکیٹ کو رجسٹرڈ اکاؤنٹ سے بھی ڈاؤن لوڈ کیا جا سکتا ہے ۔
Hot Cooked Meal (HCM) Given Today,گرم پکا ہوا کھانا ( HCM) آج دیا گیا
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,فائدہ اٹھانے والوں کے لیے چھ زمرے ہیں ۔حاملہ خواتیندودھ پلانے والی ماںصفر سے چھ ماہ تک کے بچےچھ ماہ سے تین سال تک کے بچےتین سال سے چھ سال تک کے بچےنوعمر لڑکیاں
"Data Plan for Mobile Application (01 March, 2021)",موبائل اپلیکیشن کے لئے ڈیٹا منصوبہ (01 مارج 2021)
Old  Amravati Urban,اولڈ أمراؤتی اربن
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world,دنیا بھر میں نوزائیدہ بچوں اور کم عمر بچوں کی نشوونما اور نشوونما کے لئے نئے نمو کے منحنی خطوط پیدا کرنے کے لئے ڈبلیو ایچ او ملٹی سینٹر گروتھ ریفرنس اسٹڈی ( ایم جی آر ایس ) 1997 اور 2003 کے درمیان کیا گیا تھا ۔
Garbeta - I,گار بیٹا - I
How to set MPIN?,MPIN. کو کس طرح سیٹ کرنا ہے
Rewa - Urban,ریوا اربن
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE,VIII. کثیر لسانی انٹرفیس کی حدود
Diamond Harbour-I ICDS Project,ڈائمنڈ ہاربر - I آئی سی ڈی ایس پروجیکٹ
Srijangram I. C. D. S. Project,سرجن گام آئی سی ڈی ایس پروجیکٹ
"We may investigate any violation of these Terms, including unauthorized use of the Site.We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.We may take legal action that we feel is appropriate.If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.",ہم سائٹ کے غیر مجاز استعمال سمیت ان شرائط کی کسی بھی خلاف ورزی کی تحقیقات کر سکتے ہیں ۔ہم قانون نافذ کرنے والے اداروں کو وہ معلومات فراہم کر سکتے ہیں جو آپ ہمیں آپ کے لین دین سے متعلق فراہم کرتے ہیںتاکہ آپ کی کسی بھی تفتیش یا مقدمہ میں مدد کی جا سکے ۔ہم قانونی کارروائی کر سکتے ہیں جو ہمیں مناسب لگے ۔اگر ہم اس بات کا تعین کرتے ہیں کہ آپ نے ان شرائط یا قانون کی خلاف ورزی کی ہے ،یا کسی اور وجہ سے یا بغیر کسی وجہ کے ، ہم آپ کے اکاؤنٹ کو بلاک کر سکتے ہیں اور آپ کو بغیر اطلاع کے کسی بھی وقت سائٹ تک رسائی سے روکیں گے ۔
There are limited fields for data entry.Name is required to be entered in English language and for other fields numeric values are required.Most of the features are provided in check boxes or with drop down selection menu.Reports to be updated.,AWW یا AWC میں انگریزی زبانوں میں ڈیٹا داخل یا فارم پر کیا جا سکتا ہے ۔
P P Kamaicha,پی پی کمیچا
Children between 3-6 Years,3-6 سال کے درمیان کے بچے
