eng,gu,indic_trans_translated
The Site is directed to the people residing in India.,આ સાઇટ ભારતમાં રહેતા લોકો માટે નિર્દેશિત છે.,The site is targeted for people residing in India.
We do not represent that Content available on or through the Site is appropriate or available in other locations.,અમે એવું પ્રતિનિધિત્વ કરતા નથી કે સાઇટ પર અથવા તેના દ્વારા ઉપલબ્ધ સામગ્રી યોગ્ય છે અથવા અન્ય સ્થળોએ ઉપલબ્ધ છે.,We do not represent that the content available on or through the site is correct or is available in other places.
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,અમે કોઈપણ સમયે કોઈપણ વ્યક્તિ અથવા ભૌગોલિક વિસ્તાર માટે સાઇટ અથવા સાઇટ પર વર્ણવેલ કોઈપણ સેવા અથવા ઉત્પાદનની ઉપલબ્ધતાને મર્યાદિત કરી શકીએ છીએ.,We may at any time limit the availability of any service or product described on the site or site to any person or geographical area.
"If you choose to access the Site from outside India, you do so at your own risk.","જો તમે ભારતની બહારથી સાઇટને એક્સેસ કરવાનું પસંદ કરો છો, તો તમે તમારા પોતાના જોખમે આમ કરો છો.","If you choose to access the site from outside India, you do so at your own risk."
Please go back to the homepage,કૃપા કરીને હોમપેજ પર પાછા જાઓ,Please return to homepage
Please enter Height greater than 29.99 and less than 140.01,કૃપા કરીને 37.99 કરતાં વધુ અને 150.01 કરતાં ઓછી ઊંચાઈ દાખલ કરો,Please enter a height of more than 37.99 and less than 150.01
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","પોષણ ટ્રેકર એપ્લિકેશન પર લૉગિન કરતાં સમયે, કાર્યકરોને તેમના દ્વારા સેટ કરેલ એમપિન દાખલ કરવો જરૂરી છે.","At the time of login to the POSHAN Tracker app, the workers are required to enter the MPIN set by them."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,આ એમપિન પોષણ ટ્રેકર એપ્લિકેશન ચલાવવા અને લાભાર્થીઓના ફોર્મમાં માહિતી દાખલ કરવા માટે પાસકોડ તરીકે કાર્ય કરશે.,This MPIN will serve as a passcode for running the POSHAN tracker application and entering information in the beneficiary's form.
How to ensure timely initiation of complementary feeding,સમયસર પૂરક ખોરાક શરૂઆત કર્યાની ખાત્રી કેવી રીતે કરવી,How to ensure you start on time
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,પોષણ ટ્રેકર એપ્લિકેશન ફક્ત એન્ડ્રોઇડ 6.0 અને તેથી વધુનાં સંસ્કરણ વાળ ફોનમાં ઇન્સ્ટોલ કરી શકાય છે.,The POSHAN Tracker app can be installed on a hair phone only with Android 6.0 and above.
General Awareness about Growth Monitoring of Children,બાળકોના વૃધ્ધિ-વિકાસ વિશે સામાન્ય જાગૃતિ,General Awareness on Child Development
Wasting is defined as low weight-for-height,બગાડને ઊંચાઈ માટે ઓછા વજન તરીકે વ્યાખ્યાયિત કરવામાં આવે છે,Wastage is defined as low weight for height
Hot Cooked Meal (HCM) Given Today,આજે દેવામા આવેલ ગરમ રાંધેલ ભોજન (HCM),Hot Cooked Meals (HCM) distributed today
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,લાભાર્થીઓ માટે 6 શ્રેણીઓ છેસગર્ભા સ્ત્રીઓસ્તનપાન કરાવતી માતા0 થી 6 મહિનાના બાળકો6 મહિનાથી 3 વર્ષ સુધીના બાળકો3 વર્ષથી 6 વર્ષ સુધીના બાળકોકિશોરવયની છોકરીઓ,"There are 6 categories of beneficiaries Pregnant Women, Lactating Mothers, Children 6 months to 6 months, Children 6 months to 3 years, Children 3 years to 6 years, Adolescent Girls"
"Data Plan for Mobile Application (01 March, 2021)","મોબાઇલ એપ્લિકેશન માટે ડેટા પ્લાન (01 માર્ચ, 2021)","Data plan for mobile application (March 01, 2021)"
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. બહુભાષી ઇન્ટરફેસની મર્યાદાઓ,Limitations of Multilingual Interface
