eng,hi,indic_trans_translated
The Site is directed to the people residing in India.,यह साइट भारत में रहने वाले लोगों के लिए निर्देशित है।,The site is directed to the people residing in India.
We do not represent that Content available on or through the Site is appropriate or available in other locations.,हम इस साइट पर या उसके माध्यम से उपलब्ध सामग्री की उपयुक्तता या अन्य स्थानों पर इसकी उपलब्धता का आश्वासन नहीं देते हैं।,We do not guarantee the suitability of the material available on or through this site or its availability at other locations.
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,हम किसी भी समय किसी भी व्यक्ति या भौगोलिक क्षेत्र में साइट या साइट पर वर्णित किसी सेवा या उत्पाद की उपलब्धता को सीमित कर सकते हैं।,We may at any time limit the availability of any service or product described on the site or site to any person or geographical area.
"If you choose to access the Site from outside India, you do so at your own risk.","यदि आप भारत के बाहर से साइट के उपयोग का चयन करते हैं, तो ऐसा आप अपने जोखिम पर कर सकते हैं।","If you choose to use the site from outside India, you can do so at your own risk."
Please go back to the homepage,कृपया मुखपृष्ठ पर वापस जाएं,Please go back to homepage
Please enter Height greater than 29.99 and less than 140.01,"कृपया, 29.99 से अधिक और 140.01 से कम ऊँचाई दर्ज करें",Please register higher than 29.99 and lower than 140.01
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","पोषण ट्रैकर ऐप में लॉगिन करते समय, एडब्ल्यूडब्ल्यू को उनके द्वारा निर्धारित एमपीआई में प्रवेश करना होता है।","At the time of login to the POSHAN Tracker App, AWW has to enter the MPI prescribed by them."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,यह एमपीआईएन पोषण ट्रैकर ऐप चलाने और लाभार्थियों के फॉर्म में जानकारी दर्ज करने के लिए एक पासकोड के रूप में कार्य करेगा।,This MPIN will serve as a passcode for running the Poshan Tracker App and entering information in the form of beneficiaries.
How to ensure timely initiation of complementary feeding,पूरक पोषण की आवधिक सुनिश्चितता कैसे करें,How to ensure periodic coverage of Supplementary Nutrition
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,पोषण ट्रैकर ऐप केवल एंड्रॉइड फोन में एंड्रॉइड संस्करण 6.0 और इसके बाद के संस्करण में स्थापित किया जा सकता है।,The POSHAN Tracker app can be installed only on Android phones with version 6.0 and above.
General Awareness about Growth Monitoring of Children,बच्चों के विकास से संबंधित निगरानी के बारे में सामान्य जागरूकता,General Awareness on Monitoring of Child Development
Wasting is defined as low weight-for-height,वेस्टिंग को वजन के अनुपात में ऊँचाई के न होने के रूप में परिभाषित किया गया है,Vesting is defined as not being as high in proportion to the weight
Hot Cooked Meal (HCM) Given Today,आज दिया गया गरम पका हुआ भोजन (एचसीएम) लें,Take the Hot Cooked Food (HCM) served today
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,यहाँ लाभार्थियों की 6 श्रेणियाँ हैंगर्भवती महिलास्तनपान कराने वाली माता0-6 माह तक के बच्चे6 माह - 3 वर्ष तक के बच्चे6 वर्ष - 3 वर्ष तक के बच्चेकिशोरी लडकियाँ/बालिकाएँ,"There are 6 categories of beneficiariesPregnant women, lactating mothers, children between 0-6 months, children between 6 months - 3 years, children between 6 years - 3 years, adolescent girls / girls"
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. बहुभाषी इंटरफेस की सीमाएँ,VIII. Limits of Multilingual Interface
Srijangram I. C. D. S. Project,श्रीजंगग्राम आईसीडीएस परियोजना,Srijangram ICDS Project
