eng,pa,indic_trans_translated
The Site is directed to the people residing in India.,ਸਾਈਟ ਨੂੰ ਭਾਰਤ ਵਿੱਚ ਰਹਿਣ ਵਾਲੇ ਲੋਕਾਂ ਲਈ ਨਿਰਦੇਸਿਤ ਕੀਤਾ ਗਿਆ ਹੈ।,The site is directed to the people residing in India.
We do not represent that Content available on or through the Site is appropriate or available in other locations.,ਅਸੀਂ ਇਸ ਗੱਲ ਦੀ ਨੁਮਾਇੰਦਗੀ ਨਹੀਂ ਕਰਦੇ ਹਾਂ ਕਿ ਸਾਈਟ 'ਤੇ ਜਾਂ ਇਸ ਰਾਹੀਂ ਉਪਲਬਧ ਸਮੱਗਰੀ ਹੋਰ ਸਥਾਨਾਂ 'ਤੇ ਉਚਿਤ ਜਾਂ ਉਪਲਬਧ ਹੈ।,We do not represent that the content available on or through the site is appropriate or available in other locations.
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,ਅਸੀਂ ਕਿਸੇ ਵੀ ਸਮੇਂ ਕਿਸੇ ਵੀ ਵਿਅਕਤੀ ਜਾਂ ਭੂਗੋਲਿਕ ਖੇਤਰ ਲਈ ਸਾਈਟ ਜਾਂ ਸਾਈਟ 'ਤੇ ਦੱਸੇ ਗਏ ਕਿਸੇ ਸੇਵਾ ਜਾਂ ਉਤਪਾਦੀ ਉਪਲਬਧਤਾ ਨੂੰ ਸੀਮਤ ਕਰ ਸਕਦੇ ਹਾਂ।,We may at any time limit the availability of any service or product mentioned on the site or site to any person or geographical area.
"If you choose to access the Site from outside India, you do so at your own risk.","ਜੇਕਰ ਤੁਸੀਂ ਭਾਰਤ ਤੋਂ ਬਾਹਰ ਸਾਈਟ ਨੂੰ ਐਕਸੈਸ ਕਰਨ ਦੀ ਚੋਣ ਕਰੋਗੇ, ਤਾਂ ਤੁਸੀਂ ਆਪਣੇ ਜੋਖਮ 'ਤੇ ਅਜਿਹਾ ਕਰਦੇ ਹੋ।","If you choose to access the site outside India, you do so at your own risk."
Please go back to the homepage,ਕਿਰਪਾ ਕਰਕੇ ਹੋਮਪੇਜ ਤੇ ਵਾਪਸ ਜਾਓ,Please return to homepage
Please enter Height greater than 29.99 and less than 140.01,ਕਿਰਪਾ ਕਰਕੇ 29.99 ਤੋਂ ਵੱਧ ਅਤੇ 140.01 ਤੋਂ ਘੱਟ ਉਚਾਈ ਦਰਜ ਕਰੋ,Please register higher than 29.99 and lower than 140.01
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਤੇ ਲੋਗਿਨ ਕਰਦੇ ਸਮੇਂ, ਏਡਬਲਯੂਡਬਲਯੂ ਨੂੰ ਉਹਨਾਂ ਦੁਆਰਾ ਨਿਰਧਾਰਤ ਐਮਪੀਆਈ ਦਾਖਲ ਕਰਨ ਦੀ ਲੋੜ ਹੁੰਦੀ ਹੈ।","While logging into POSHAN Tracker App, AWWs are required to enter the MPI prescribed by them."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,ਇਹ ਐਮਪੀਆਈਐਨ ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਚਲਾਉਣ ਅਤੇ ਲਾਭਪਾਤਰੀਆਂ ਦੇ ਫਾਰਮ ਵਿਚ ਜਾਣਕਾਰੀ ਦਾਖਲ ਕਰਨ ਲਈ ਇਕ ਪਾਸਕੋਡ ਵਜੋਂ ਕੰਮ ਕਰੇਗੀ ।,This MPIN will serve as a passcode for running POSHAN Tracker App and entering information in the beneficiary's form.
How to ensure timely initiation of complementary feeding,ਪੂਰਕ ਆਹਾਰ ਦੀ ਸਮੇਂ ਸਿਰ ਸੁਰੂਆਤ ਨੂੰ ਕਿਵੇਂ ਯਕੀਨੀ ਬਣਾਇਆ ਜਾਵੇ,How to ensure timely initiation of complementary feeding
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਸਿਰਫ ਐਂਡਰਾਇਡ ਫੋਨ ਵਿੱਚ ਐਂਡਰਾਇਡ ਵਰਜਨ 6.0 ਅਤੇ ਇਸਤੋਂ ਵੱਧ ਦੇ ਨਾਲ ਇੰਸਟੌਲ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ।,The POSON Tracker app can only be installed on Android phones with Android version 6.0 and above.
General Awareness about Growth Monitoring of Children,ਬੱਚਿਆਂ ਦੇ ਵਿਕਾਸ ਦੀ ਨਿਗਰਾਨੀ ਬਾਰੇ ਆਮ ਜਾਗਰੂਕਤਾ,General Awareness on Monitoring of Child Development
Wasting is defined as low weight-for-height,ਦੁਰਬਲਤਾ ਨੂੰ ਉਚਾਈ ਅਨੁਸਾਰ ਘੱਟ ਭਾਰ ਵਜੋਂ ਪਰਿਭਾਸਿਤ ਕੀਤਾ ਗਿਆ ਹੈ,Weakness is defined as low weight according to height
Hot Cooked Meal (HCM) Given Today,ਅੱਜ ਦਿੱਤਾ ਗਿਆ ਗਰਮ ਪਕਾਇਆ ਭੋਜਨ (ਐਚਸੀਐਮ) ਲਓ,Take the Hot Cooked Food (HCM) served today
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,ਲਾਭਪਾਤਰੀਆਂ ਲਈ 6 ਸ੍ਰੇਣੀਆਂ ਹਨਗਰਭਵਤੀ ਔਰਤਾਂਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀ ਮਾਂ0 ਤੋਂ 6 ਮਹੀਨੇ ਤੱਕ ਦੇ ਬੱਚੇ6 ਮਹੀਨਿਆਂ ਤੋਂ 3 ਸਾਲ ਤੱਕ ਦੇ ਬੱਚੇ3 ਸਾਲ ਤੋਂ 6 ਸਾਲ ਤੱਕ ਦੇ ਬੱਚੇਅੱਲ੍ਹੜ ਉਮਰ ਦੀਆਂ ਲੜਕੀਆਂ,6 categories for BeneficiariesPregnant Women and Lactating Mothers 6 months to 6 months Children 6 months to 3 years Children 3 years to 6 years Girls
"Data Plan for Mobile Application (01 March, 2021)","ਮੋਬਾਈਲ ਐਪਲੀਕੇਸਨ ਲਈ ਡੇਟਾ ਯੋਜਨਾ (01 ਮਾਰਚ, 2021)","Data Plan for Mobile Application (March 01, 2021)"
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. ਬਹੁ-ਭਾਸਾਈ ਇੰਟਰਫੇਸ ਦੀਆਂ ਸੀਮਾਵਾਂ,Boundaries of the multi-lingual interface
Srijangram I. C. D. S. Project,ਸ੍ਰੀਜੰਗਰਾਮ ਆਈਸੀਡੀਐਸ.ਪ੍ਰੋਜੈਕਟ,Srijangaram ICDS Project
