eng,te,indic_trans_translated
The Site is directed to the people residing in India.,ఈ సైట్ భారతదేశంలో నివసిస్తున్న ప్రజలకు నిర్దేశించబడింది.,The site is targeted at people residing in India.
We do not represent that Content available on or through the Site is appropriate or available in other locations.,సైట్ లో లేదా దాని ద్వారా లభ్యం అయ్యే కంటెంట్ సముచితమైనది లేదా ఇతర లొకేషన్ ల్లో లభ్యం అవుతుందని మేం ప్రాతినిధ్యం వహించం.,We represent that the content available on or through the site is appropriate or is available in other locations.
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,సైట్ లేదా సైట్ పై వివరించిన ఏదైనా సర్వీస్ లేదా ప్రొడక్ట్ యొక్క లభ్యతను ఏ సమయంలోనైనా ఏదైనా వ్యక్తి లేదా భౌగోళిక ప్రాంతానికి మేం పరిమితం చేయవచ్చు.,We can limit the availability of any service or product described on the site or site to any person or geographical area at any time
"If you choose to access the Site from outside India, you do so at your own risk.","ఒకవేళ మీరు భారతదేశం వెలుపల నుంచి సైట్ ని యాక్సెస్ చేసుకోవాలని ఎంచుకున్నట్లయితే, మీరు మీ స్వంత రిస్క్ తో అలా చేస్తారు.","If you choose to access the site from outside India, you will do so at your own risk."
Please go back to the homepage,దయచేసి హోమ్పేజీకి తిరిగి వెళ్లండి,Please go back to homepage
Please enter Height greater than 29.99 and less than 140.01,దయచేసి ఎత్తు 29.99 కంటే ఎక్కువ మరియు 140.01 కంటే తక్కువ ఎత్తును నమోదు చేయండి,Please enter Height greater than 29.99 and Height less than 140.01
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","పోషణ్ ట్రాక్జెర్ యాప్లోకి లాగిన్ అయితే, AWW లు వారు సెట్ చేసిన MPIN ని నమోదు చేయవలసిఉంటుంది.","On login to the POSHAN Trackger App, AWWs are required to enter the MPIN set by them."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,ఈ MPIN పోషణ్ ట్రాకర్ యాప్ను అమలు చేయడానికి పాస్కోడ్గా పనిచేస్తుంది మరియు లబ్ధిదారుల ఫారంలో సమాచారాన్ని నమోదు చేస్తుంది.,This MPIN serves as a passcode to execute the POSHAN Tracker App and records information in the form of beneficiary
How to ensure timely initiation of complementary feeding,కాంప్లిమెంటరీ ఫీడింగ్ ని సకాలంలో ప్రారంభించేవిధంగా ఏవిధంగా ధృవీకరించాలి,How to ensure timely initiation of complimentary feeding
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,పోషన్ ట్రాకర్ యాప్ను ఆండ్రాయిడ్ ఫోన్లో ఆండ్రాయిడ్ వెర్షన్ 6.0 మరియు అంతకంటే ఎక్కువ ఉంటే ఇన్స్టాల్ చేయవచ్చు.,The POSHAN Tracker app can be installed on an Android phone with Android version 6.0 and above.
General Awareness about Growth Monitoring of Children,పిల్లల ఎదుగుదల పర్యవేక్షణ గురించి సాధారణ అవగాహన,General Awareness on Child Development Monitoring
Wasting is defined as low weight-for-height,వేస్టింగ్ అనేది తక్కువ బరువు-కొరకు-ఎత్తుగా నిర్వచించబడుతుంది,Vesting is defined as being light-to-weight
Hot Cooked Meal (HCM) Given Today,ఈ రోజు ఇచ్చిన వేడి వేడిగా వండిన భోజనం (హెచ్ సిఎమ్),Hot Cooked Meal (HCM) served today
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,లబ్ధిదారుల కొరకు 6 కేటగిరీలు ఉన్నాయిగర్భిణీ స్త్రీలుపాలిచ్చే తల్లి0 నుంచి 6 నెలల పిల్లలు6 నెలల నుంచి 3 సంవత్సరాల పిల్లలు3 సంవత్సరాల నుండి 6 సంవత్సరాల వరకు పిల్లలుకౌమార బాలికలు,"There are 6 categories for the beneficiariesPregnant Women and Lactating Mothers 0 to 6 months children, 6 months to 3 years children, 3 years to 6 years children, adolescent girls"
"Data Plan for Mobile Application (01 March, 2021)","మొబైల్ అప్లికేషన్ కోసం డేటా ప్లాన్ (01 మార్చి, 2021)","Data plan for mobile application (March 01, 2021)"
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. బహుభాషా ఇంటర్ ఫేస్ యొక్క పరిమితులు,VIII. Limitations of Multilingual Interface
Srijangram I. C. D. S. Project,సృజంగ్రామ్ ఐ. సి. డి. ఎస్. ప్రాజెక్ట్,Srujangram ICDS Project
"We may investigate any violation of these Terms, including unauthorized use of the Site.","సైట్ యొక్క అనధీకృత ఉపయోగంతో సహా, ఈ నిబంధనల యొక్క ఏదైనా ఉల్లంఘనను మేము పరిశోధించవచ్చు.","We can investigate any violation of these rules, including unauthorized use of the site."
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,మీ యొక్క ఏదైనా ఇన్వెస్టిగేషన్ లేదా ప్రాసిక్యూషన్ లో సాయపడటం కొరకు మీ లావాదేవీలకు సంబంధించి మీరు మాకు అందించే సమాచారంతో మేం లా ఎన్ ఫోర్స్ మెంట్ ని అందించవచ్చు.,"In order to assist you in any investigation or prosecution, we can provide you with the law enforcement with the information you provide about your transactions."
We may take legal action that we feel is appropriate.,సముచితమని మేము భావించే చట్టపరమైన చర్య తీసుకోవచ్చు.,We can take appropriate legal action.
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,ప్రపంచ ఆరోగ్య సంస్థ (WHO) ప్రమాణాలకు అనుగుణంగా బిడ్డ యొక్క వివిధ ఆరోగ్య పరిస్థితులను గుర్తించడానికి పోషణ్ కాలిక్యులేటర్ సహాయపడుతుంది,The POSHAN calculator helps to identify the various health conditions of the child as per the World Health Organization (WHO) standards
