eng,as,mBART600M
The Site is directed to the people residing in India.,চাইটটো ভাৰতত বাস কৰা লোকসকলৰ বাবে পৰিচালিত।,The site is run for people living in India.
We do not represent that Content available on or through the Site is appropriate or available in other locations.,আমি প্ৰতিনিধিত্ব নকৰো যে চাইটটোৰ জৰিযতে বা চাইটটোত উপলব্ধ কন্টেন্ট সমূহ উপযুক্ত আৰু আন স্থানত উপলব্ধ।,I am not representing that the content on the site or on the site is appropriate and available elsewhere.
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,আমি যিকোনো সমযত কোনো লোক বা ভৌগলিক অঞ্চললৈ চাইটটো বা চাইটটোত বিৱৰিত কোনো সেৱা বা প্ৰডাক্টৰ উপলব্ধতা সীমাৱদ্ধ কৰি তুলিব পাৰো।,I may limit the availability of any service or product described on the site to any person or geographic area at any time.
"If you choose to access the Site from outside India, you do so at your own risk.","যদি আপুনি ভাৰতৰ বাহিৰৰ পৰা চাইটটোত প্ৰৱেশ কৰিবলৈ বিচাৰে, আপুনি নিজৰ ৰিস্কত এনে কৰিব পাৰে।","If you want to access the site from outside India, you can do so at your own risk."
Please go back to the homepage,প্লিজ গো ব্যাক তো টি হোমপেজ,Please go back to the homepage.
Please enter Height greater than 29.99 and less than 140.01,অনুগ্ৰহ কৰি 29.99 তকৈ অধিক আৰু 140.01 তকৈ কম উচ্চতা প্ৰদান কৰক,Please provide heights above 29.99 and below 140.01.
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","পোষণ ট্ৰেকজাৰ এপত লগইন কৰোঁতে, AWWসকলে তেওঁলোকৰ দ্বাৰা নিৰ্ধাৰিত MPIN প্ৰবিষ্ট কৰিব লাগিব।","When logging into the Nutrition Tracker app, AWWs must enter the MPIN they specify."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,এই MPIN-এ পোষণ ট্ৰেকাৰ এপ চলাবলৈ আৰু হিতাধিকাৰীৰ প্ৰপত্ৰত তথ্য প্ৰবিষ্ট কৰিবলৈ পাছকোড হিচাপে কাম কৰিব।,This MPIN will act as a password to run the POSHANAS TRACKER app and enter information in the beneficiary's file.
How to ensure timely initiation of complementary feeding,পৰিপূৰক খাদ্য প্ৰদানৰ সমযমতে সূচনা কেনেদৰে সুনিশ্চিত কৰিব,How to ensure that the supplement is started in time?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,পোষণ ট্ৰেকাৰ এপ কেৱল এণ্ড্ৰইড ফোনত এণ্ড্ৰইড সংস্কৰণ ৬.০ আৰু ততোধিকৰ সৈতে ইনষ্টল কৰিব পাৰি।,Nutrition tracker apps can only be installed on Android phones with Android version 6.0 and up.
General Awareness about Growth Monitoring of Children,শিশুসকলৰ বিকাশ পৰ্যবেক্ষণ কৰাৰ বিষযে সাধাৰণ সজাগতা,General awareness of the monitoring of children's development
Wasting is defined as low weight-for-height,পুষ্টিহীনতাক উচ্চতা অনুসৰি ওজন হিচাপে সংজ্ঞাযিত কৰা হয,Malnutrition is defined as height-to-height weight and weight.
Hot Cooked Meal (HCM) Given Today,হট কুকড মীল (এইচচিএম) আজি দিযা হয,Hot cooking milk (HCM) is available today.
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,হিতাধিকাৰীসকলৰ বাবে 6 টা শ্ৰেণী থাকেগৰ্ভৱতী মহিলাস্তন্যপান কৰোৱা মহিলা0 ৰ পৰা 6 মাহৰ শিশু6 মাহৰ পৰা 3 বছৰৰ শিশু3 বছৰৰ পৰা 6 বছৰৰ শিশুকিশোৰী,There are six classes for beneficiaries: pregnant women and nursing women0 to 6 months old children6 months old to 3 years old children3 years old to 6 years old girls
"Data Plan for Mobile Application (01 March, 2021)","ম'বাইল এপ্লিকেশ্বনৰ বাবে ডাটা প্লান (০১ মাৰ্চ, ২০২১)","The data plan for mobile applications as of March 1, 2021"
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. বহু-ভাষিক ইন্টাৰফেচৰ সীমাৱদ্ধতা,VIII. Limits to multilingual interfaces are limited.
Srijangram I. C. D. S. Project,শ্ৰীজনগ্ৰাম আই. চি. ডি. এছ. প্ৰকল্প,Srijanagram is a project of the ICDS.
"We may investigate any violation of these Terms, including unauthorized use of the Site.","আমি চাইটটোৰ অ-অনুমোদিত ব্যৱহাৰকে ধৰি, এই চৰ্তাৱলী সমূহৰ যিকোনো উলংঘনৰ তদন্ত কৰিব পাৰো।","I may investigate any breach of these Terms, including unauthorized use of the site."
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,আমি আপোনাৰ যিকোনো অনুসন্ধান বা অভিযোগ উত্থাপনত সহযোগ কৰিবলৈ আপোনাৰ লেনদেনৰে সম্পৰ্কিত আপুনি আমাক যোগান ধৰা তথ্যৰ সৈতে আইনী বলৱৎকৰণ আগবঢাব পাৰো।,We may also provide law enforcement with information you provide regarding your transactions to assist in any inquiries or complaints.
We may take legal action that we feel is appropriate.,আমি আইনী ব্যৱস্থা গ্ৰহণ কৰিব পাৰো যাক আমি উপযুক্ত বুলি অনুভৱ কৰো।,I can take legal action as I feel appropriate.
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,পোষণ কেলকুলেটৰে বিশ্ব স্বাস্থ্য সংস্থা (WHO) ৰ মতে ভিত্তি কৰি শিশুোৰ বিভিন্ন স্বাস্থ্যজনিত স্থিতি চিনাক্ত কৰাত সহায কৰে,The nutrient calculator helps identify various health conditions in children based on the World Health Organization (WHO).
How to take care of weak newborn with the help of Kangaroo Mother Care,কেংগাৰু মাডাৰ কেযাৰৰ সহাযত কেনেদৰে দূৰ্বল নৱজাতকৰ যতন লব লাগে,"With the help of kangaroo mother care, how to care for a vulnerable newborn is needed."
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.","কোনো অশুদ্ধ ডাটাৰ পৰা উদ্ভৱ হোৱা সামাজিক বা অপৰাধমূলক যিকোনো দাযবদ্ধতা, সম্পূৰ্ণৰূপে সংশ্লিষ্ট ASP ৰ সৈতে ন্যস্ত হ'ব।",Any social or criminal liability arising from any unwanted data will be fully dealt with by the relevant ASP.
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,পোচন ট্ৰেকাৰ এপ্প গুগল প্লেষ্ট'ৰত উপলব্ধ https://play.google.com/store/apps/details?,The Potion Tracker app is available on Google Play and is available at https://play.google.com/store/apps/details?
Can App be accessed without internet?,ইণ্টাৰনেটৰ অবিহনে এপপত প্ৰৱেশ কৰিব পাৰিনে?,Is it possible to access an app without internet access?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,টি গভর্নমেন্ট হস্ তাকেঁ সেভেরাল ইনিশিযেটিভস তো ব্র্যাক টি ইন্টারগেনেরাশনাল সাইকেল অফ মালনিউট্রিশন ইন চিলড্রেন.,The government's Several Initiatives have broken the international cycle of malnutrition in children.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","আদপটিং এ লাইফ-সাইকেল এপ্রোচ, ইন্টারভেনশন্স হ্যাভ বিন ডিগনেড তো মেযেটি টি নিউট্রিশনাল রিকুইরেমেন্ট অফ এডোলেসেন্ট গার্লস এন্ড বযস, প্রেগন্যান্ট ওমেন, ল্যাকটেটিং মঠেরস এন্ড চিলড্রেন.","Adapting to a life-cycle approach, interventions have been diagnosed so that they may be able to support the nutritional needs of adolescent girls and boys, pregnant women, lactating mothers and children."
Awareness for Pregnancy in Preventing Anemia,এনিমিযাক বাধা দিযাত গৰ্ভধাৰণৰ বাবে সজাগতা,Awareness of pregnancy has prevented anemia.
"Howrah North (U) I. C. D. S. Project, Howrah","হাওৰা নৰ্থ (ইউ) আই. চি. ডি. এছ. প্ৰকল্প, হাওৰা","Howrah North (as the EU) ICDS project, Howrah."
Birth Preparedness- For Institutional and Home Delivery,জন্মৰ প্ৰস্তুতি - প্ৰতিষ্ঠান মূলক আৰু হোম ডেলিভাৰীৰ বাবে,Preparation for birth - for institutional birth and home delivery.
New beneficiary addition with skip OTP option,স্কিপ OTP  বিকল্পৰ সৈতে নতুন বেনিফিচাৰীৰ সংযোজন,As well as the addition of a new beneficiary with the Skype OTP option.
We are now available on Video Conference,আমি এতিযা ভিডিঅ' কনফাৰেন্সত উপলব্ধ,I am currently available via videoconferencing.
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","পোষণ ট্ৰেকাৰ এপটো অংগনৱাডী কৰ্মীসকলৰ বাবে, অংগনৱাডী কেন্দ্ৰবোৰে প্ৰপত্ৰত হিতাধিকাৰীৰ তথ্য প্ৰৱেশ কৰাৰ বাবে।","The Poshn Tracker app is for Anganwadi workers, to access the beneficiary information on the form at the Anganwadi centres."
It is not at all developed for general public.,এইটো সাধাৰণ জনতাৰ বাবে সমূলি বিকশিত নহয।,It is not a well-developed system for the general public.
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.,It involves identifying and raising awareness of health conditions and providing necessary support wherever needed.
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below).","""Our Privacy Policy applies when you use our Services (as described below)."
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is intended to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The agency collecting and retaining your information is the Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.
