eng,bn,translation_text
The Site is directed to the people residing in India.,সাইটটি ভারতে বসবাসকারী লোকদের জন্য নির্দেশিত।, The site is directed to people living in India.
We do not represent that Content available on or through the Site is appropriate or available in other locations.,আমরা এটা বর্ণনা করি না যে সাইটে বা এর মাধ্যমে উপলব্ধ বিষযবস্তু উপযুক্ত বা অন্যান্য স্থানে উপলব্ধ।, We do not describe that the material available on the site or through it is suitable or available elsewhere.
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,আমরা যে কোনো সময যে কোনো ব্যক্তি বা ভৌগলিক এলাকায সাইট বা সাইটে বর্ণিত কোনো পরিষেবা বা পণ্যের প্রাপ্যতা সীমাবদ্ধ করতে পারি।, We may at any time restrict the availability of any service or product described on the site or on any person or geographical area.
"If you choose to access the Site from outside India, you do so at your own risk.",আপনি যদি ভারতের বাইরে থেকে সাইটটি অ্যাক্সেস করতে চান তবে আপনি তা নিজের ঝুঁকিতে করবেন।," If you want to access the site from outside India, you'll do so at your own risk."
Please go back to the homepage,হোমপেজে ফিরে যান দযা করে,eng back to the homepagebnplease
Please enter Height greater than 29.99 and less than 140.01,অনুগ্রহ করে উচ্চতা 29.99 এর বেশি এবং 140.01 এর কম লিখুন, Please enter height above 29.99 and below 140.01
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","পশান ট্র্যাকার অ্যাপে লগইন করার সময, AWWs তাদের দ্বারা নির্ধারিত MPIN প্রবেশ করতে হবে।"," Once they log in to the Passion Tracker app, AWWs must enter the MPIN they have set."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,এই MPIN পশান ট্র্যাকার অ্যাপটি চালানোর জন্য পাসকোড হিসাবে কাজ করবে এবং উপকারভোগীদের ফর্মগুলিতে তথ্য প্রবেশ করবে।, This MPbn Passion Tracker will act as a password to run the app and enter information into the forms of the beneficiaries.
How to ensure timely initiation of complementary feeding,কিভাবে পরিপূরক খাওযানোর সমযমত সূচনা নিশ্চিত করা যায,eng.org - How to ensure timely onset of supplementary feeding
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,পশান ট্র্যাকার অ্যাপটি কেবল ৬.০ এবং তারপরের অ্যান্ড্রযেড ভার্সানের অ্যান্ড্রযেড ফোনে ইনস্টল করা যেতে পারে।,eng.bn The PushBn Tracker app can only be installed on Android phones of Android version 6.0 and later.
General Awareness about Growth Monitoring of Children,শিশুদের বৃদ্ধি পর্যবেক্ষণ সম্পর্কে সাধারণ সচেতনতা,eng.org - General awareness of child growth monitoring
Wasting is defined as low weight-for-height,ওযেসটেডকে উচ্চতা অনুযাযী কম ওজন হিসাবে সংজ্ঞাযিত করা হয," ""Obsted"" is defined as a low weight with height tolerance."
Hot Cooked Meal (HCM) Given Today,গরম রান্না করা খাবার (এইচসিএম) আজ দেওযা হযেছে,eng.bn Hot cooked food (HCM) was served today.
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,সুবিধাভোগীদের 6টি বিভাগ রযেছেগর্ভবতী মহিলাস্তন্যদানকারী মা0 থেকে 6 মাস পর্যন্ত বযসী শিশুরা6 মাস থেকে 3 বছর পর্যন্ত বযসী শিশুরা3 বছর থেকে 6 বছর পর্যন্ত বযসী শিশুরাকিশোরী মেযেরা,eng.bn 6 categories of beneficiaries areGravidity women breastfeeding mothers0 to 6 months old children6 months to 3 years old children3 years to 6 years old teenage girls
"Data Plan for Mobile Application (01 March, 2021)","মোবাইল অ্যাপ্লিকেশনটির জন্য ডেটা প্ল্যান (০১ মার্চ, ২০২১)",eng.bn Data Plan for the mobile application (01 March 2021)
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. বহুভাষিক ইন্টারফেসের সীমাবদ্ধতা,eng.VIII.B. Limits of multilingual interface
Srijangram I. C. D. S. Project,শ্রীজানগ্রাম আই. সি. ডি. এস. প্রকল্প,engram ICDS project
"We may investigate any violation of these Terms, including unauthorized use of the Site.",আমরা সাইটের অননুমোদিত ব্যবহার সহ এই শর্তাবলীর যেকোনো লঙ্ঘনের তদন্ত করতে পারি।," We may investigate any breach of these terms, including unauthorized use of the site."
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,আপনার যে কোনো তদন্ত বা বিচারে সহাযতা করার জন্য আমরা আপনার লেনদেনের সাথে সম্পর্কিত তথ্য দিযে আইন প্রযোগকারীকে প্রদান করতে পারি।," To assist you in any investigation or trial, we may provide the information relating to your transaction to the law enforcement."
We may take legal action that we feel is appropriate.,যদি আমরা উপযুক্ত মনে না করি তাহলে আমরা আইনি পদক্ষেপ নিতে পারি।," If we find it inappropriate, we may take legal action."
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,পোশান ক্যালকুলেটর বিশ্ব স্বাস্থ্য সংস্থার (WHO) মান অনুযাযী শিশুর বিভিন্ন স্বাস্থ্য অবস্থা সনাক্ত করতে সাহায্য করে,eng.bn Clothing Calculator helps identify various health conditions in a baby that conforms to World Health Organization (WHO) standards.
How to take care of weak newborn with the help of Kangaroo Mother Care,ক্যাঙ্গারু মাদার কেযারের সাহায্যে কীভাবে দুর্বল নবজাতকের যত্ন নেওযা যায,engaru mothercare how to care for a weak newborn with kangaru mothercare
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.","কোনো ভুল তথ্য থেকে উদ্ভূত যে কোনো দাযবদ্ধতা দেওযানি বা ফৌজদারি, শুধুমাত্র সংশ্লিষ্ট ASP-এর কাছে থাকবে।", Any liability arising from any misinformation or criminal liability shall be with the relevant ASP only.
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,পশান ট্র্যাকার অ্যাপ্লিকেশন গুগল প্লেস্টোর https://play. google. com/store/apps/details?,eng Pusan Tracker app on the Google Play Store https://play.google.com/store/apps/details?
Can App be accessed without internet?,ইন্টারনেট ছাডাই কি অ্যাপটি ব্যবহার করা যেতে পারে?,eng.co.uk - Is the app usable?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,শিশুদের অপুষ্টির মধ্যবর্তী চক্রকে ভেঙে দেওযার জন্য সরকার বিভিন্ন উদ্যোগ গ্রহণ করেছে।," ""The government has taken several initiatives to break the cycle of malnutrition in children."
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","জীবনচক্রের পদ্ধতির অবলম্বন করে, হস্তক্ষেপগুলি কিশোর-কিশোরী ও বালক, গর্ভবতী মহিলা, স্তন্যদানকারী মা ও শিশুদের পুষ্টির চাহিদা মেটাতে ডিজাইন করা হযেছে।","eng, interventions have been designed to meet the nutritional needs of teenagers and boys, pregnant women, breastfeeding mothers and children."
Awareness for Pregnancy in Preventing Anemia,অ্যানিমিযা প্রতিরোধে গর্ভাবস্থার জন্য সচেতনতা,eng.org - Anemia prevention awareness for pregnancy in response to anemia prevention
"Howrah North (U) I. C. D. S. Project, Howrah","হাওডা উত্তর (ইউ) আই. সি. ডি. এস. প্রকল্প, হাওডা","eng.Haouda North (EU) ICDS Project, Haouda"
Birth Preparedness- For Institutional and Home Delivery,জন্মের প্রস্তুতি- প্রাতিষ্ঠানিক এবং হোম ডেলিভারির জন্য,eng.org - Preparation for birth - For institutional and home delivery
New beneficiary addition with skip OTP option,স্কিপ OTP বিকল্পের সাথে নতুন সুবিধাভোগী সংযোজন, The addition of new beneficiaries with the Skype OTP option.
We are now available on Video Conference,আমরা এখন ভিডিও কনফারেন্সে উপলব্ধ,eng.bn We are now available via videoconferencing.bn
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","পশান ট্র্যাকার অ্যাপ্লিকেশনটি আঙ্গানওযাদী কর্মীদের, অঙ্গনওযাডি কেন্দ্রগুলির জন্য ফর্মগুলিতে সুবিধাভোগীদের ডেটা প্রবেশের জন্য।","engn Pashan Tracker app for entry of data of beneficiaries in forms for Anganwadi workers, Anganwadi centers."
It is not at all developed for general public.,এটি সাধারণ মানুষের জন্য মোটেই বিকাশযুক্ত নয।, This is a perfectly developed language for the common man.
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,eng Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.,"eng, e.g. identification and awareness of health conditions and providing necessary support wherever needed."
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below).",eng our Privacy Policy applies when you use our Services (described below).
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."," This Privacy Policy is intended to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development., The agency collecting and retaining your information is the Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy., Webn is committed to protecting the security of your personal information and safeguarding your privacy.
How to revive your health if you are Underweight,আপনার ওজন কম হলে কীভাবে আপনার স্বাস্থ্য পুনরুজ্জীবিত করবেন," If you lose weight, how do you restore your health?"
Can a beneficiary change his/her AWC?,একজন সুবিধাভোগী কি তার AWC পরিবর্তন করতে পারেন?,eng. -Can a beneficiary change his AWC?
"We use the information we have, to help verify accounts.",আমরা অ্যাকাউন্ট যাচাই করতে সাহায্য করার জন্য আমাদের কাছে থাকা তথ্য ব্যবহার করি।, We use the information we have to help verify thebn account.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,রেকর্ডগুলি পোশান ট্র্যাকার নিযন্ত্রণ এবং প্রতিক্রিযার উদ্দেশ্যে স্বাস্থ্যের স্থিতি যাচাইযের জন্য ব্যবহার করা যেতে পারে।,engrekordkanalopapierrekordkanalopapierrekordkanalopapierrekordkanalopapierrekordkanalopapierrekordkanalopapierrekordkanalopapierrekordkanalopapierrekordkanalopapierrekordkanalopapierrekordkanalopapierrekordkanalopapierrekordkanalopapierrekordkanalopapierrekordkanalopapierrekordkanalopapierrekordkanalopapierrekordkanalopapierrekordkanalopapierrekordkanalopapierrekordkanalopapierrekordkanalopapierrekordkanalopapierrekordkanalopapierrekordkanalopapierrekordkanalopapierrekordkanalopapierrekordkanalopapierrekord
Scan the QR Code to Download the App,অ্যাপটি ডাউনলোড করতে কিউআর কোডটি স্ক্যান করুন, Scan QR code to download the appbn
Who is eligible for Hot Cooked Meal?,কারা গরম রান্না করা খাবারের জন্য যোগ্য?,eng.org Siapa yang layak untuk makanan yang dipanaskan panas?
Identifying and preventing Severe Acute Malnutrition,গুরুতর তীব্র অপুষ্টি সনাক্তকরণ এবং প্রতিরোধ করা,engnProblems for detecting and preventing severe acute malnutrition
Children who are identified as deficit on nutrition are eligible for additional food supplements.,যেসব শিশুদের মধ্যে পুষ্টির ঘাটতি চিহ্নিত করা হযেছে তারা অতিরিক্ত খাদ্য সম্পূরক পাওযার যোগ্য।,eng.org - Those children who have been diagnosed with malnutrition are eligible for supplemental nutrition.
Who is eligible for additional supplementary food.,কারা অতিরিক্ত সম্পূরক খাদ্য পাওযার জন্য যোগ্য।,eng.org Carabn is eligible for supplemental nutrition.
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","পোশন ট্র্যাকারে অঙ্গনওযাডি পরিষেবা প্রকল্পের ডেটা আপলোড করা হচ্ছে (২৪ মে, ২০২১)","eng.bn Position Tracker uploading data from the AnganWayadi service project (May 24, 2021)"
Children between 6 months - 3 years,৬ মাস থেকে ৩ বছরের মধ্যে শিশুদের, 6 months to 3 years old babies
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","মহিলা ও শিশু উন্নযন মন্ত্রনালয, ভারত সরকার, শাস্ত্রী ভবন, নতুন দিল্লি","eng Ministry of Women and Child Development, Government of India, Shastri Bhavan, New Delhi"
Care of the weak newborn baby - How many weak babies are we missing?,দুর্বল নবজাতক শিশুর যত্ন - আমরা কতগুলি দুর্বল শিশুকে হারাচ্ছি?,engengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengeng
Underweight children who received Supplementary Nutrition,কম ওজনের শিশু যারা সম্পূরক পুষ্টি পেযেছে,eng bayi yg kurang berat badan yg sudah diberi supplements
This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,এই প্রতিরক্ষা এবং ক্ষতিপূরণের বাধ্যবাধকতা এই চুক্তি এবং আপনার পরিষেবা এবং ওযেবসাইট/অ্যাপের ব্যবহার থেকে বেঁচে থাকবে।, This defense and indemnity obligation will be exempt from this agreement and your use of the service and website/app.
Identification and care of a Weak Newborn baby,একটি দুর্বল নবজাতক শিশুর সনাক্তকরণ এবং যত্ন,eng.info Identifying and caring for a weak newborn baby
1.2. Information from use of services.,1.2. পরিষেবার ব্যবহার থেকে তথ্য।,eng.1.2bn data from service usage.
Please contact your respective Anganwadi Centre.,অনুগ্রহ করে আপনার নিজ নিজ অঙ্গনওযাডি কেন্দ্রে যোগাযোগ করুন।,eng please contact your respective yard yard yard center.
GOBARDANGA I. C. D. S PROJECT(U),গোবরডাঙ্গা আইসিডিএস প্রকল্প (ইউ),eng Gobardanga ICDS Project (EU)
Please fill in the form below to create a new ticket.,একটি নতুন টিকিট তৈরি করতে নীচের ফর্মটি পূরণ করুন।," To create a new ticket, fill out the form below."
Anganwadi Worker will reach out to you within 48 hours.,অঙ্গনওযাডি কর্মীরা 48 ঘন্টার মধ্যে আপনার সাথে যোগাযোগ করবে।,engonwadi staff will contact you within 48 hours.
Please note down the ticket number for future reference.,ভবিষ্যতে রেফারেন্সের জন্য টিকিট নম্বর নিচে নোট করুন., Please note the ticket number below for future reference.
Poshan Tracker is a project of Ministry of Women and Child Development.,পোশান ট্র্যাকার হল মহিলা ও শিশু উন্নযন মন্ত্রকের একটি প্রকল্প।,eng.bn PUSHAN TRACKER is a project of the Ministry of Women and Child Development.
Digital India Corporation is the technical partner of MoWCD.,ডিজিটাল ইন্ডিযা কর্পোরেশন MoWCD-এর প্রযুক্তিগত অংশীদার।,eng.bn Digital India Corporation is a technical partner of MoWCD.
Poshan Tracker focuses on eradication of malnutrition from India.,পোশান ট্র্যাকার ভারত থেকে অপুষ্টি দূরীকরণের উপর দৃষ্টি নিবদ্ধ করে।,eng.bn Dress Tracker focuses on eliminating malnutrition from India.
