eng,gu,mBART600M
The Site is directed to the people residing in India.,આ સાઇટ ભારતમાં રહેતા લોકો માટે નિર્દેશિત છે.,This site is directed to people living in India.
We do not represent that Content available on or through the Site is appropriate or available in other locations.,અમે એવું પ્રતિનિધિત્વ કરતા નથી કે સાઇટ પર અથવા તેના દ્વારા ઉપલબ્ધ સામગ્રી યોગ્ય છે અથવા અન્ય સ્થળોએ ઉપલબ્ધ છે.,We do not represent that the content available on or through the site is appropriate or available elsewhere.
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,અમે કોઈપણ સમયે કોઈપણ વ્યક્તિ અથવા ભૌગોલિક વિસ્તાર માટે સાઇટ અથવા સાઇટ પર વર્ણવેલ કોઈપણ સેવા અથવા ઉત્પાદનની ઉપલબ્ધતાને મર્યાદિત કરી શકીએ છીએ.,We may at any time limit the availability of any service or product described on the site to any person or geographic area.
"If you choose to access the Site from outside India, you do so at your own risk.","જો તમે ભારતની બહારથી સાઇટને એક્સેસ કરવાનું પસંદ કરો છો, તો તમે તમારા પોતાના જોખમે આમ કરો છો.","If you choose to access the site from outside India, you do so at your own risk."
Please go back to the homepage,કૃપા કરીને હોમપેજ પર પાછા જાઓ,Please go back to the homepage.
Please enter Height greater than 29.99 and less than 140.01,કૃપા કરીને 37.99 કરતાં વધુ અને 150.01 કરતાં ઓછી ઊંચાઈ દાખલ કરો,Please enter a height greater than 37.99 and less than 150.01 degrees.
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","પોષણ ટ્રેકર એપ્લિકેશન પર લૉગિન કરતાં સમયે, કાર્યકરોને તેમના દ્વારા સેટ કરેલ એમપિન દાખલ કરવો જરૂરી છે.","When logging into the Nutrition Tracker app, workers are required to enter the mpin they set."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,આ એમપિન પોષણ ટ્રેકર એપ્લિકેશન ચલાવવા અને લાભાર્થીઓના ફોર્મમાં માહિતી દાખલ કરવા માટે પાસકોડ તરીકે કાર્ય કરશે.,This MPIN nutrition tracker will act as a passcode for running the app and entering information into the beneficiaries' form.
How to ensure timely initiation of complementary feeding,સમયસર પૂરક ખોરાક શરૂઆત કર્યાની ખાત્રી કેવી રીતે કરવી,How to make sure you start a timely supplementary diet?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,પોષણ ટ્રેકર એપ્લિકેશન ફક્ત એન્ડ્રોઇડ 6.0 અને તેથી વધુનાં સંસ્કરણ વાળ ફોનમાં ઇન્સ્ટોલ કરી શકાય છે.,The Nutrition Tracker app can only be installed on Android 6.0 and higher versions of hair phones.
General Awareness about Growth Monitoring of Children,બાળકોના વૃધ્ધિ-વિકાસ વિશે સામાન્ય જાગૃતિ,General awareness of children's growth and development.
Wasting is defined as low weight-for-height,બગાડને ઊંચાઈ માટે ઓછા વજન તરીકે વ્યાખ્યાયિત કરવામાં આવે છે,A deterioration in height is defined as a light weight for height.
Hot Cooked Meal (HCM) Given Today,આજે દેવામા આવેલ ગરમ રાંધેલ ભોજન (HCM),Today's debt-free hot cooked meals (HCM)
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,લાભાર્થીઓ માટે 6 શ્રેણીઓ છેસગર્ભા સ્ત્રીઓસ્તનપાન કરાવતી માતા0 થી 6 મહિનાના બાળકો6 મહિનાથી 3 વર્ષ સુધીના બાળકો3 વર્ષથી 6 વર્ષ સુધીના બાળકોકિશોરવયની છોકરીઓ,"There are 6 categories for beneficiaries: Pregnant women, nursing mothers, children from 0 to 6 months of age, children from 6 months to 3 years of age, children from 3 to 6 years of age, teenage girls,"
"Data Plan for Mobile Application (01 March, 2021)","મોબાઇલ એપ્લિકેશન માટે ડેટા પ્લાન (01 માર્ચ, 2021)",The data plan for the mobile application (01 March 2021) is for the mobile application (01 March 2021)
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. બહુભાષી ઇન્ટરફેસની મર્યાદાઓ,VIII. The limitations of the multilingual interface are
Srijangram I. C. D. S. Project,શ્રીજનગ્રામ આઈ. સી. ડી. એસ. પ્રોજેક્ટ,The Srijanegram ICDS project is being implemented in Srijanegram.
"We may investigate any violation of these Terms, including unauthorized use of the Site.",અમે સાઇટના અનધિકૃત ઉપયોગ સહિત આ શરતોના કોઈપણ ઉલ્લંઘનની તપાસ કરી શકીએ છીએ.,"We may investigate any violation of these terms, including unauthorized use of our site."
