eng,hi,mBART600M
The Site is directed to the people residing in India.,यह साइट भारत में रहने वाले लोगों के लिए निर्देशित है।,This site is directed to people living in India.
We do not represent that Content available on or through the Site is appropriate or available in other locations.,हम इस साइट पर या उसके माध्यम से उपलब्ध सामग्री की उपयुक्तता या अन्य स्थानों पर इसकी उपलब्धता का आश्वासन नहीं देते हैं।,We do not guarantee the suitability of the material available on or through this site or its availability elsewhere.
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,हम किसी भी समय किसी भी व्यक्ति या भौगोलिक क्षेत्र में साइट या साइट पर वर्णित किसी सेवा या उत्पाद की उपलब्धता को सीमित कर सकते हैं।,We may at any time restrict the availability of any service or product described on the site to any individual or geographic area.
"If you choose to access the Site from outside India, you do so at your own risk.","यदि आप भारत के बाहर से साइट के उपयोग का चयन करते हैं, तो ऐसा आप अपने जोखिम पर कर सकते हैं।","If you choose to use the site from outside India, you can do so at your own risk."
Please go back to the homepage,कृपया मुखपृष्ठ पर वापस जाएं,hi Please go back to the homepage.
Please enter Height greater than 29.99 and less than 140.01,"कृपया, 29.99 से अधिक और 140.01 से कम ऊँचाई दर्ज करें",Please enter a height above 29.99 and below 140.01.
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","पोषण ट्रैकर ऐप में लॉगिन करते समय, एडब्ल्यूडब्ल्यू को उनके द्वारा निर्धारित एमपीआई में प्रवेश करना होता है।","When logging into the Nutrition Tracker app, AWW has to enter the MPI they set."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,यह एमपीआईएन पोषण ट्रैकर ऐप चलाने और लाभार्थियों के फॉर्म में जानकारी दर्ज करने के लिए एक पासकोड के रूप में कार्य करेगा।,This will serve as a passcode for running the MPIN Nutrition Tracker app and entering information in the beneficiaries form.
How to ensure timely initiation of complementary feeding,पूरक पोषण की आवधिक सुनिश्चितता कैसे करें,How to ensure periodic maintenance of nutritional supplements
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,पोषण ट्रैकर ऐप केवल एंड्रॉइड फोन में एंड्रॉइड संस्करण 6.0 और इसके बाद के संस्करण में स्थापित किया जा सकता है।,The Nutrition Tracker app can only be installed on Android phones in Android version 6.0 and later.
General Awareness about Growth Monitoring of Children,बच्चों के विकास से संबंधित निगरानी के बारे में सामान्य जागरूकता,hi general awareness of the monitoring of children's development related to
Wasting is defined as low weight-for-height,वेस्टिंग को वजन के अनुपात में ऊँचाई के न होने के रूप में परिभाषित किया गया है,Waste is defined as the absence of height in weight-to-weight ratio.
Hot Cooked Meal (HCM) Given Today,आज दिया गया गरम पका हुआ भोजन (एचसीएम) लें,Take the hot-cooked meal (HCM) given today.
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,यहाँ लाभार्थियों की 6 श्रेणियाँ हैंगर्भवती महिलास्तनपान कराने वाली माता0-6 माह तक के बच्चे6 माह - 3 वर्ष तक के बच्चे6 वर्ष - 3 वर्ष तक के बच्चेकिशोरी लडकियाँ/बालिकाएँ,Here are 6 categories of beneficiaries: Pregnant women and nursing mothers0-6 months to children6 months to 3 years to children6 years to 3 years to childrenadolescents girls/girls
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. बहुभाषी इंटरफेस की सीमाएँ,VIIIhi. The limits of the multilingual interface.
Srijangram I. C. D. S. Project,श्रीजंगग्राम आईसीडीएस परियोजना,The Srijangram ICDS project is being implemented in SriJangi.
"We may investigate any violation of these Terms, including unauthorized use of the Site.",हम इस साइट के अनधिकृत उपयोग सहित इन शर्तों के किसी भी प्रकार के उल्लंघन की जाँच कर सकते हैं।,"We may investigate any breach of these terms, including unauthorized use of this site."
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,हम किसी भी जाँच या वाद के संदर्भ में सहायता प्रदान करने हेतु आपके लेनदेन से संबंधित सूचना को कानूनी रूप से प्रवर्तन निर्देशालय को प्रदान कर सकते हैं।,We may provide the Legal Enforcement Directorate with information related to your transaction to assist in the handling of any inquiries or disputes.
We may take legal action that we feel is appropriate.,हम किसी भी प्रकार के वाद या उल्लंघन से संबंधित मामलों में उपयुक्त कानूनी कार्रवाई कर सकते हैं।,We may take appropriate legal action in cases involving any kind of dispute or violation.
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,विश्व स्वास्थ्य संगठन के अनुसार पोषण मापक बच्चों के विभिन्न प्रकार के स्वास्थ्य स्थितियों की पहचान करने में सहायता प्रदान करता है,"According to the World Health Organization, the Nutrition Scale helps identify a variety of health conditions in children."
How to take care of weak newborn with the help of Kangaroo Mother Care,कंगारु मदर केयर के साथ अपने कमजोर नवजात बच्चों की देखभाल कैसे करें,How to care for your vulnerable newborn babies with kangaroo mother care
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",किसी भी गलत आँकडे से उत्पन्न होने वाली सिविल या आपराधिक देनदारियाँ पूर्णतः संबंधित ASP के पास होंगी।,Any civil or criminal liability arising from any misstatement will be entirely with the relevant ASP.
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,पोषण ट्रैकर ऐप गूगल प्ले स्टोर  https://play.google.com/store/apps/details?,The nutrition tracker app is Google Play store https://play.google.com/store/aphips/details?
Can App be accessed without internet?,क्या ऐप को इंटरनेट के बिना अभिगम किया जा सकता है?,Is it possible to access the app without internet access?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,बच्चों में कुपोषण के अंतरजनपदीय चक्र को तोडने के लिए सरकार ने कई पहल की हैं।,The government has taken several initiatives to break the inter-public cycle of malnutrition in children.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","जीवन-चक्र के दृष्टिकोण को अपनाते हुए, किशोर लडकियों और लडकों, गर्भवती महिलाओं, स्तनपान कराने वाली माताओं और बच्चों की पोषण संबंधी आवश्यकता को पूरा करने के लिए हस्तक्षेपों को डिजाइन किया गया है।","Taking a life-cycle approach, interventions are designed to meet the nutritional needs of teenage girls and boys, pregnant women, breastfeeding mothers and children."
Awareness for Pregnancy in Preventing Anemia,गर्भावस्था के दौरान एनीमिया से बचाव पर जागरूकता,Raise awareness on the protection against anemia during pregnancy.
"Howrah North (U) I. C. D. S. Project, Howrah","हावडा उत्तर (यू) आईसीडीएस परियोजना, हावडा","The Hawiwada North (U) ICDS project, Hawiwada is located in Hawiwada."
