eng,kn,mBART600M
The Site is directed to the people residing in India.,ಭಾರತದಲ್ಲಿ ವಾಸಿಸುವ ಜನರಿಗೆ ಸೈಟ್ ಅನ್ನು ನಿರ್ದೇಶಿಸಲಾಗಿದೆ.,The site is directed to people living in India.
We do not represent that Content available on or through the Site is appropriate or available in other locations.,ಸೈಟ್ನಲ್ಲಿ ಅಥವಾ ಅದರ ಮೂಲಕ ಲಭ್ಯವಿರುವ ವಸ್ತುವು ಇತರ ಸ್ಥಳಗಳಲ್ಲಿ ಸೂಕ್ತವಾಗಿದೆ ಅಥವಾ ಲಭ್ಯವಿದೆ ಎಂದು ನಾವು ಪ್ರತಿನಿಧಿಸುವುದಿಲ್ಲ.,We do not represent that material available on or through the site is appropriate or available elsewhere.
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,ನಾವು ಯಾವುದೇ ಸಮಯದಲ್ಲಿ ಯಾವುದೇ ವ್ಯಕ್ತಿ ಅಥವಾ ಭೌಗೋಳಿಕ ಪ್ರದೇಶಕ್ಕೆ ಸೈಟ್ ಅಥವಾ ಸೈಟ್ನಲ್ಲಿ ವಿವರಿಸಿದ ಯಾವುದೇ ಸೇವೆ ಅಥವಾ ಉತ್ಪನ್ನದ ಲಭ್ಯತೆಯನ್ನು ಮಿತಿಗೊಳಿಸಬಹುದು.,We may at any time restrict the availability of any service or product described on the site to any person or geographic area.
"If you choose to access the Site from outside India, you do so at your own risk.","ನೀವು ಭಾರತದ ಹೊರಗಿನಿಂದ ಸೈಟ್ ಅನ್ನು ಪ್ರವೇಶಿಸಲು ಆಯ್ಕೆಮಾಡಿದರೆ, ನೀವು ಅದನ್ನು ನಿಮ್ಮ ಸ್ವಂತ ಜವಾಬ್ದಾರಿಯಲ್ಲಿ ಮಾಡುತ್ತೀರಿ.","If you choose to access the site from outside India, you will do so on your own responsibility."
Please go back to the homepage,ದಯವಿಟ್ಟು ಮುಖಪುಟಕ್ಕೆ ಹಿಂತಿರುಗಿ,Please return to the homepage.
Please enter Height greater than 29.99 and less than 140.01,ದಯವಿಟ್ಟು 29.99 ಕ್ಕಿಂತ ಹೆಚ್ಚು ಮತ್ತು 140.01 ಕ್ಕಿಂತ ಕಡಿಮೆ ಎತ್ತರವನ್ನು ನಮೂದಿಸಿ,Please enter a height above 29.99 and below 140.01.
How to ensure timely initiation of complementary feeding,ಪೂರಕ ಆಹಾರದ  ಸಕಾಲಿಕ  ಆರಂಭವನ್ನು ಹೇಗೆ ಖಚಿತಪಡಿಸಿಕೊಳ್ಳುವುದು,How to ensure timely start of supplementation?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಆಪ್ಪ್ ಅನ್ನು ಆಂಡ್ರೊಯಿಡ್ ೬.೦ ಆವ್ರಿತ್ತಿ ಅಥವಾ ಅದಕ್ಕಿಂತ ಮೇಲಿನ ಆವ್ರಿತ್ತಿಗಳಿರುವ ಅಂಡ್ರೊಯಿಡ್ ಫೋನ್ನಲ್ಲಿ ಸ್ಥಾಪಿಸಬಹುದು.,The Nutrition Tracker app can be installed on Android phones with Android 6.0 or higher frequencies.
General Awareness about Growth Monitoring of Children,ಮಕ್ಕಳ ಬೆಳವಣಿಗೆಯನ್ನು ಗಮನಿಸುವ ಬಗ್ಗೆ ಸಾಮಾನ್ಯ ಅರಿವು,A general awareness of monitoring children's development is not enough.
Wasting is defined as low weight-for-height,ವೇಸ್ಟಿಂಗ್ ಅನ್ನು ಕಡಿಮೆ ತೂಕ ಮತ್ತು ಎತ್ತರದ ಅನುಪಾತ ಎಂದು ವ್ಯಾಖ್ಯಾನಿಸಲಾಗಿದೆ,Waste is defined as the ratio of low weight to high altitude.
Hot Cooked Meal (HCM) Given Today,ಈವತ್ತು ಕೊಟ್ಟ ಬೇಯಿಸಿದ ಬಿಸಿಯೂಟ(ಎಚ್. ಸಿ. ಎಮ್),The cooked hot meal I gave you today (HCM)
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,ಫಲಾನುಭವಿಗಳಿಗೆ 6 ವಿಭಾಗಗಳಿವೆಗರ್ಭಿಣಿಯರುಹಾಲುಣಿಸುವ ತಾಯಿ0 ರಿಂದ 6 ತಿಂಗಳ ಮಗು6 ತಿಂಗಳಿಂದ 3 ವರ್ಷಗಳವರೆಗೆ ಮಕ್ಕಳು3 ವರ್ಷದಿಂದ 6 ವರ್ಷಗಳವರೆಗೆ ಮಕ್ಕಳುಹದಿಹರೆಯದ ಹುಡುಗಿಯರು,There are 6 categories for beneficiaries: Pregnant women: Breastfeeding mother 0 to 6 months child 6 months to 3 years children 3 years to 6 years children teenage girls
"Data Plan for Mobile Application (01 March, 2021)","ಮೊಬೈಲ್ ಆಪ್ಲಿಕೇಶನ್ ನ ಡೇಟ ಯೋಜನೆ(೦೧ ಮಾರ್ಚ್, ೨೦೨೧)","The data project of a mobile application (March 01, 2021)"
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. ಬಹುಭಾಷಾ ಇಂಟರ್ಫೇಸ್ಗಳ ಮಿತಿಗಳು,VIII.kn. Limits of multilingual interfaces are limited.
Srijangram I. C. D. S. Project,ಸೃಜನ್ಗ್ರಾಮ್ ಐ. ಸಿ. ಡಿ. ಎಸ್. ಯೋಜನೆ,The Srijangram ICDS project is being implemented by the Srijangram ICDS.
"We may investigate any violation of these Terms, including unauthorized use of the Site.",ಸೈಟ್ನ ಅನಧಿಕೃತ ಬಳಕೆ ಸೇರಿದಂತೆ ಈ ನಿಯಮಗಳ ಯಾವುದೇ ಉಲ್ಲಂಘನೆಯನ್ನು ನಾವು ತನಿಖೆ ಮಾಡಬಹುದು.,"We may investigate any violation of these Terms, including unauthorized use of the site."
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,ನಿಮ್ಮ ಯಾವುದೇ ತನಿಖೆ ಅಥವಾ ಕಾನೂನು ಕ್ರಮದಲ್ಲಿ ಸಹಾಯ ಮಾಡಲು ನಿಮ್ಮ ವಹಿವಾಟುಗಳಿಗೆ ಸಂಬಂಧಿಸಿದ ಮಾಹಿತಿಯನ್ನು ನಾವು ಕಾನೂನಿಗೆ ಒದಗಿಸಬಹುದು.,We may provide the law with information related to your transactions to assist you in any investigation or legal proceedings.
We may take legal action that we feel is appropriate.,ನಾವು ಸೂಕ್ತವೆನಿಸಿದ ಕಾನೂನು ಕ್ರಮ ತೆಗೆದುಕೊಳ್ಳಬಹುದು.,We can take legal action as we see fit.
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,ವಿಶ್ವ ಆರೋಗ್ಯ ಸಂಸ್ಥೆ (WHO) ಮಾನದಂಡಗಳ ಪ್ರಕಾರ ಮಗುವಿನ ವಿವಿಧ ಆರೋಗ್ಯ ಪರಿಸ್ಥಿತಿಗಳನ್ನು ಗುರುತಿಸಲು ನ್ಯೂಟ್ರಿಷನ್ ಕ್ಯಾಲ್ಕುಲೇಟರ್ ಸಹಾಯ ಮಾಡುತ್ತದೆ,"According to the World Health Organization (WHO) standards, a nutrition calculator helps identify the various health conditions of a child."
How to take care of weak newborn with the help of Kangaroo Mother Care,ಕಾಂಗರೂ ತಾಯಿ ಆರೈಕೆಯ ಸಹಾಯದಿಂದ ದುರ್ಬಲ ನವಜಾತ ಶಿಶುಗಳನ್ನು ಹೇಗೆ ಆರೈಕೆ ಮಾಡುವುದು,How to care for vulnerable newborns with the help of kangaroo mother care
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",ಯಾವುದೇ ತಪ್ಪಾದ ದತ್ತಾಂಶದಿಂದ ಉಂಟಾಗುವ ಸಿವಿಲ್ ಅಥವಾ ಕ್ರಿಮಿನಲ್ ಹೊಣೆಗಾರಿಕೆಗಳು ಸಂಪೂರ್ಣವಾಗಿ ಸಂಬಂಧಪಟ್ಟ ASP ಯ ಬಳಿ ಇರುತ್ತವೆ.,Any civil or criminal liability arising from any misrepresentation will be entirely with the relevant ASP.
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಆಪ್ಪ್ ಗೂಗ್ಲ್ ಪ್ಲೇಸ್ಟೋರ್ ನಲ್ಲಿ ಲಭ್ಯವಿದೆ https://play. google. com/store/apps/details?,The Nutrition Tracker app is available on the Google Play Store at https://play.google.com/store/apps/details?
Can App be accessed without internet?,ಇಂಟರ್ನೆಟ್ ಇಲ್ಲದೆ ಈ ಆಪ್ಪ್ ಅನ್ನು ಪ್ರವೇಶಿಸಬಹುದೇ?,Is it possible to access this app without internet access?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,ಮಕ್ಕಳಲ್ಲಿ ಅಪೌಷ್ಟಿಕತೆಯ ಅಂತರಜನಕ ಚಕ್ರವನ್ನು ಮುರಿಯಲು ಸರ್ಕಾರ ಹಲವಾರು ಉಪಕ್ರಮಗಳನ್ನು ಕೈಗೊಂಡಿದೆ.,The government has taken several initiatives to break the intergenic cycle of malnutrition in children.
