eng,mr,translation_text
The Site is directed to the people residing in India.,साइट भारतात राहणार्या लोकांसाठी निर्देशित केली आहे.,engr.com - The site is directed to people living in India.
We do not represent that Content available on or through the Site is appropriate or available in other locations.,आम्ही असे प्रतिनिधित्व करत नाही की साइटवर किंवा त्याद्वारे उपलब्ध असलेली सामग्री योग्य आहे किंवा इतर ठिकाणी उपलब्ध आहे.,eng.mr We do not represent that the content on the site or available through it is eligible or available elsewhere.
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,आम्ही साइट किंवा साइटवर वर्णन केलेल्या कोणत्याही सेवा किंवा उत्पादनाची उपलब्धता कोणत्याही व्यक्ती किंवा भौगोलिक क्षेत्रासाठी कोणत्याही वेळी मर्यादित करू शकतो.,eng.mrWe may limit the availability of any service or product described on the site or on the site to any individual or geographic area at any time.
"If you choose to access the Site from outside India, you do so at your own risk.","तुम्ही भारताबाहेरून साइटवर प्रवेश करणे निवडल्यास, तुम्ही ते तुमच्या स्वतःच्या जोखमीवर करता."," If you choose to access the site from outside India, you do so at your own risk."
Please go back to the homepage,कृपया मुख्यपृष्ठावर परत जा,eng please go back to the homepage
Please enter Height greater than 29.99 and less than 140.01,कृपया 38 पेक्षा जास्त आणि 150 पेक्षा कमी उंची प्रविष्ट करा,eng please enter height above 38 and below 150mr
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","पोषण ट्रॅझर अॅपवर लॉग इन करताना, एडब्ल्यूडब्ल्यू ने त्यांच्याद्वारे सेट केलेला एमपीन प्रविष्ट करणे आवश्यक आहे.","eng.br When logging into the Nutrition Treasure app, AWW must enter the mpen they set."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,हे एमपीन पोषण ट्रॅकर अॅप चालविण्यासाठी पासकोड म्हणून काम करेल आणि लाभार्थी फॉर्ममध्ये माहिती प्रविष्ट करेल.,engr.mp3 The Mpin Nutrition Tracker will act as a passcode to run the app and enter information in the beneficiary form.
How to ensure timely initiation of complementary feeding,पूरक आहार वेळेवर सुरू करण्याची खात्री कशी करावी,eng.mrHow to make sure you start a supplement on time
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,पॉशन ट्रॅकर अॅप केवळ अँड्रॉइड फोन ६.० आणि त्यावरील आवृत्तीसह स्थापित केला जाऊ शकतो., The Position Tracker app can only be installed with Android Phone 6.0 and above.
General Awareness about Growth Monitoring of Children,मुलांच्या ग्रोथ मॉनिटरिंग बद्दल सामान्य जागरूकता,eng.mr General awareness of child growth monitoring
Wasting is defined as low weight-for-height,अशक्त जाण्याची व्याख्या उंचीसाठी कमी वजन अशी केली जाते," ""Getting weak"" is defined as ""Low weight"" for height."
Hot Cooked Meal (HCM) Given Today,आज दिलेला गरम शिजवलेले भोजन (एचसीएम),eng.mr Hot cooked meals (HCM) served today
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,लाभार्थ्यांसाठी 6 श्रेणी आहेतगर्भवती महिलास्तनपान करणारी आईमुले 0 महिने - 6 महिनेमुले 6 महिने - 3 वर्षेमुले 3 वर्षे - 6 वर्षेकिशोरवयीन मुली,eng.org Ada 6 kategori untuk pemangku kepentingan wanita hamil Wanita menyusui 0 bulan - 6 bulananak 6 bulan - 3 tahunanak 3 tahun - 6 tahunanak perempuan remaja
"Data Plan for Mobile Application (01 March, 2021)",मोबाइल अनुप्रयोगासाठी डेटा प्लॅन (०१ मार्च २०२१),eng Data Plan for Mobile Application (01 March 2021)
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. बहु-भाषिक इंटरफेसच्या मर्यादा,eng.VIII. Limits of multilingual interface
Srijangram I. C. D. S. Project,सृजनग्राम आयसीडीएस प्रकल्प,engrad Kreationgram ICDS project
"We may investigate any violation of these Terms, including unauthorized use of the Site.",आम्ही साइटच्या अनधिकृत वापरासह या अटींच्या कोणत्याही उल्लंघनाची चौकशी करू शकतो.," We may investigate any violation of these Terms, including unauthorized use of the site."
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,तुमच्यावरील कोणत्याही तपासात किंवा खटला चालवण्यात मदत करण्यासाठी तुमच्या व्यवहारांशी संबंधित तुम्ही आम्हाला प्रदान केलेली माहिती आम्ही कायद्याची अंमलबजावणी करू शकतो.,engrrrr.org - We may use the information you provide to us in relation to your transactions to assist in any investigation or prosecution of you.
We may take legal action that we feel is appropriate.,आम्हाला योग्य वाटेल अशी कायदेशीर कारवाई आम्ही करू शकतो.,eng.org Kita boleh ambil tindakan hukum yang kita rasa layak.
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,पोषण कॅल्क्युलेटर जागतिक आरोग्य संघटनेच्या (डब्ल्यूएचओ) मानकांनुसार मुलाच्या विविध आरोग्य स्थिती ओळखण्यास मदत करते,eng.jpg Nutrition Calculator helps identify the various health conditions of a child according to the World Health Organization (WHO) standards.
How to take care of weak newborn with the help of Kangaroo Mother Care,कांगारू मदर केअरच्या मदतीने कमकुवत नवजात बाळाची काळजी कशी घ्यावी,engaru how to care for a weak newborn baby with the help of kangaroo mother care
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",कोणत्याही चुकीच्या डेटामुळे उद्भवलेल्या कोणत्याही दिवाणी किंवा फौजदारी दायित्वे केवळ संबंधित एएसपीकडेच राहतील.,eng.mr Any debts or criminal liabilities arising from any misrepresentation of data will only be with the respective ASP.
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,पोषण ट्रॅकर अॅप गुगल प्लेस्टोअरवर उपलब्ध आहे https://play. google. com/store/apps/details?,eng.co.uk Nutrition Tracker app is available on the Google Play Store https://play.google.com/store/apps/details?
Can App be accessed without internet?,इंटरनेटशिवाय आप मध्ये प्रवेश केला जाऊ शकतो का?,eng.mrCan you be accessed without the internet?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,मुलांमध्ये कुपोषणाच्या मध्यंतरी चक्र मोडीत काढण्यासाठी सरकारने अनेक पुढाकार घेतले आहेत.,eng.mrGovernment has taken several initiatives to break the intermediate cycle of malnutrition in children.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","जीवन-चक्र दृष्टिकोन स्वीकारणे, हस्तक्षेप किशोरवयीन मुली आणि मुले, गर्भवती महिला, स्तनपान करणारी माता व मुलांची पौष्टिक आवश्यकता भागविण्यासाठी डिझाइन केले गेले आहे.","engram live-cycle approach, intervention is designed to meet the nutritional needs of teenage girls and boys, pregnant women, breastfeeding mothers and children."
Awareness for Pregnancy in Preventing Anemia,गरोदरपणात रक्तशय टाळण्यासाठी जागरूकता,eng.mr Be aware to prevent blood vessels during pregnancy
"Howrah North (U) I. C. D. S. Project, Howrah","हावडा उत्तर (यु) आयसीडीएस प्रकल्प, हावडा","eng Hawada North (U) ICDS Project, Hawada"
Birth Preparedness- For Institutional and Home Delivery,जन्माची तयारी- दवाखान्यात आणि घरी प्रसूतीसाठी,eng.org - Preparation for delivery- for delivery in clinic and at home.
New beneficiary addition with skip OTP option,"ओटीपी वगळा, पर्यायासह नवीन लाभार्थी जोडणे","eng, with the option of adding new beneficiaries."
We are now available on Video Conference,आम्ही आता व्हिडिओ कॉन्फरन्सवर उपलब्ध आहोत, We are now available via videoconferencing.
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","अंगणवाडी सेविका, अंगणवाडी केंद्रे, लाभार्थ्यांचा डेटा फॉर्ममध्ये टाकण्यासाठी पोषण ट्रॅकर अॅप आहे.","engr is a nutrition tracker app for putting in data forms of anganawadi servants, anganawadi centres, beneficiaries."
It is not at all developed for general public.,हे सर्वसामान्यांसाठी अजिबात विकसित केलेले नाही.,eng.mr Hehemorroes are not developed at all for the general public.
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,eng Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.,"eng, e.g. identification and awareness of health conditions and providing necessary support wherever needed."
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below).",eng Kebijakan Privasi kami berlaku ketika Anda menggunakan Layanan kami (dikritikasi di bawah).
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","eng.mrEdit Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development., Badan pengumpulan dan retensi informasi anda adalah Kementerian Perempuan dan Pembangunan Anak.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.,eng.mrWe are committed to protecting the security of your personal information and safeguarding your privacy.mr
How to revive your health if you are Underweight,तुमचे वजन कमी असल्यास तुमचे आरोग्य कसे सुधारावे," If you are underweight, how can you improve your health?"
Can a beneficiary change his/her AWC?,लाभार्थी त्याचे/तिचे अंगणवाडी केंद्र बदलू शकतो का?,eng.co.uk: Dapatkah penerima manfaat tukar pusat Anganwadi?
"We use the information we have, to help verify accounts.",खाती पडताळण्यात मदत करण्यासाठी आम्ही आमच्याकडे असलेली माहिती वापरतो.,eng.mrWe use the information we have to help verify accounts.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,पोषण ट्रॅकर नियंत्रण आणि प्रतिसादाच्या उद्देशाने आरोग्य स्थितीच्या पडताळणीसाठी रेकॉर्डचा वापर केला जाऊ शकतो.,eng.mrPropriation tracker records can be used to verify health status for control and response purposes.
Scan the QR Code to Download the App,अॅप डाउनलोड करण्यासाठी क्यूआर कोड स्कॅन करा, Scan QR code to download the QR app.
Who is eligible for Hot Cooked Meal?,गरम शिजवलेल्या जेवणासाठी कोण पात्र आहे?,"eng.mr""Should you eat hot cooked food?"""
Identifying and preventing Severe Acute Malnutrition,गंभीर तीव्र कुपोषण ओळखणे आणि प्रतिबंध करणे,engmr Identifying and preventing severe acute malnutrition
Children who are identified as deficit on nutrition are eligible for additional food supplements.,पोषणाची कमतरता म्हणून ओळखली जाणारी मुले अतिरिक्त आहार पूरक आहारांसाठी पात्र आहेत.,eng.mrBantwana abanezakzakagustofoli bayakufanelekela ukutayiwa.
Who is eligible for additional supplementary food.,अतिरिक्त पूरक आहारासाठी कोण पात्र आहे.,eng mr. is eligible for additional supplemental diet.
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","पोषण ट्रेकरमध्ये अंगणवाडी सेवा योजनांचा डेटा अपलोड करणे (24 मे, 2021)","eng.mr Uploading data of the Anganwadi Service Schemes in the Nutrition Tracker (May 24, 2021)"
Children between 6 months - 3 years,६ महिन्यांपासून ३ वर्षाच्या मुलांची केली,eng.mr diitutok anak-anak umur 6 bulan sampai 3 tahun.
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","महिला व बाल विकास मंत्रालय, भारत सरकार, शास्त्री भवन, नवी दिल्ली","eng.Ministerium for Women and Child Development, Government of India, Shastri Bhavan, New Delhi"
Care of the weak newborn baby - How many weak babies are we missing?,अशक्त नवजात बाळाची काळजी - आपण किती अशक्त नवजात  बालके गमावत आहोत?,engengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengeng
Underweight children who received Supplementary Nutrition,कमी वजनाची मुले ज्यांना पूरक पोषण मिळाले,engmrKids with low weight who received supplemental nutrition
Identification and care of a Weak Newborn baby,अशक्त नवजात बाळाची ओळख आणि काळजी,eng. - Identification and care of a disabled newborn baby.
