eng,ne,mBART600M
The Site is directed to the people residing in India.,साइट भारतमा बस्ने मानिसहरूलाई निर्देशित गरिएको छ।,The site is directed to people living in India.
We do not represent that Content available on or through the Site is appropriate or available in other locations.,हामी प्रतिनिधित्व गर्दैनौं कि साइटमा वा मार्फत उपलब्ध सामग्री उपयुक्त छ वा अन्य स्थानहरूमा उपलब्ध छ।,We do not represent that the content available on or through the site is appropriate or available in other locations.
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,हामी कुनै पनि समयमा कुनै पनि व्यक्ति वा भौगोलिक क्षेत्रमा साइटमा वर्णन गरिएको साइट वा कुनै सेवा वा उत्पादनको उपलब्धता सीमित गर्न सक्छौं।,We may at any time restrict the availability of the site or any service or product described on the site to any person or geographic area.
"If you choose to access the Site from outside India, you do so at your own risk.","यदि तपाइँ भारत बाहिरबाट साइट पहुँच गर्न रोज्नुहुन्छ भने, तपाइँ आफ्नो जोखिममा यो गर्नुहुन्छ।","If you choose to access the site from outside India, you do so at your own risk."
Please go back to the homepage,कृपया होमपेजमा फिर्ता जानुहोस्,Please go back to the homepage.
Please enter Height greater than 29.99 and less than 140.01,कृपया 29.99 भन्दा बढी र 140.01 भन्दा कम उचाइ प्रविष्ट गर्नुहोस्,Please enter a height greater than 29.99 and less than 140.01ne.
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.",पोषण ट्रेकर एपमा लगइन गर्दा AWW हरूलाई तिनीहरूले सेट गरेको MPI प्रविष्ट गर्न आवश्यक छ।,"When logging in to the Nutrition Tracker app, AWWs are required to enter the MPI they set."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,यो MPIN ले पोषण ट्र्याकर एप चलाउन र लाभार्थी फारमहरूमा जानकारी प्रविष्ट गर्न पासकोडको रूपमा काम गर्दछ।,This MPIN serves as a password to run the Nutrition Tracker app and enter information into beneficiary forms.
How to ensure timely initiation of complementary feeding,पूरक आहारको समयमै प्रारम्भ कसरी सुनिश्चित गर्ने,How to ensure timely start of dietary supplementationne
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,पोषण ट्र्याकर एप केवल एन्ड्रोइड फोनमा एन्ड्रोइड संस्करण ६.० र माथिकोसँग मात्र स्थापना गर्न सकिन्छ।,The Nutrition Tracker app can only be installed on Android phones with Android version 6.0 and above.
General Awareness about Growth Monitoring of Children,बालबालिकाको बृद्धि अनुगमनको बारेमा सामान्य जागरूकता,General awareness of child growth monitoring
Wasting is defined as low weight-for-height,बर्बादीलाई उचाइको लागि कम तौल भनेर परिभाषित गरिएको छ,Waste is defined as low weight for height.
Hot Cooked Meal (HCM) Given Today,आज दिएको खाजा(HCM) एकदम पकाउनुहोस,Cook the lunch you gave me today thoroughly.
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,लाभार्थीहरूको लागि 6 वर्गहरू छन्गर्भवती महिलास्तनपान गराउने आमा0 देखि 6 महिना सम्मका बालबालिका6 महिनादेखि 3 वर्षसम्मका बालबालिका3 वर्ष देखि 6 वर्ष सम्मका बालबालिकाकिशोरी केटीहरु,There are 6 classes for beneficiaries: Pregnant women nursing mothers0 to 6 months of age children6 months to 3 years of age children3 years to 6 years of age children teenage girls
"Data Plan for Mobile Application (01 March, 2021)","मोबाइल अनुप्रयोगका लागि डाटा योजना (०१ मार्च, २०२१)","Data plan for mobile applications (including data plan for mobile applications) (March 01, 2021)"
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. बहु-भाषिक इन्टरफेसको सीमाहरू,VIIIne. Limits of multilingual interface are limited.
Srijangram I. C. D. S. Project,श्रीजनग्राम आईसीडीएस परियोजना,The Srijanagram ICDS project is being implemented in Sri Lanka.
"We may investigate any violation of these Terms, including unauthorized use of the Site.",हामी साइटको अनाधिकृत प्रयोग सहित यी सर्तहरूको कुनै पनि उल्लङ्घनको अनुसन्धान गर्न सक्छौं।,"We may investigate any violation of these terms, including unauthorized use of the site."
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,हामीले कानून प्रवर्तनलाई तपाइँको कुनै पनि अनुसन्धान वा अभियोजनमा सहयोग गर्न तपाइँको लेनदेनसँग सम्बन्धित जानकारी प्रदान गर्न सक्छौं।,We may provide information related to your transaction to assist law enforcement in any of your investigations or prosecutions.
We may take legal action that we feel is appropriate.,हामीले उचित ठानेका कानुनी कारबाही गर्न सक्छौं।,We can take legal action that we feel is appropriate.
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,पोशन क्याल्कुलेटर विश्व स्वास्थ्य संगठन (डब्लूएचओ) मापदण्ड अनुसार बच्चाको विभिन्न स्वास्थ्य अवस्थाहरूलाई मान्यता दिन मद्दत गर्दछ।,The Nutrition Calculator helps to identify the various health conditions of the child according to the World Health Organization (WHO) standards.
How to take care of weak newborn with the help of Kangaroo Mother Care,कंगारु आमाको हेरचाह सहयोगमा कमजोर नवजात शिशुको हेरचाह कसरी गर्न,Kangaroo mother care helps in caring for a vulnerable newborn baby.
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",कुनै पनि गलत डाटाबाट उत्पन्न हुने कुनै पनि दिवाणी वा फौजदारी दायित्वहरू सम्बन्धित एएसपीसँग मात्र हुनेछ।,Ne any liabilities arising from any false data will be solely with the respective ASP.
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,पोषण ट्र्याकर अनुप्रयोग गुगल प्लेस्टोर https://play.google.com/store/apps/details?,Nutrition tracker app from the Google Play Store https://ne.play.google.com/store/apps/details?
Can App be accessed without internet?,के यो एप इन्टरनेटबिना पहुँच गर्न सकिन्छ?,Is this app accessible without the internet?
