eng,or,mBART600M
Please go back to the homepage,ଦୟାକରି ମୂଳପୃଷ୍ଠାକୁ ଫେରନ୍ତୁ |,Please return to the homepage.
Please enter Height greater than 29.99 and less than 140.01,ଦୟାକରି 29.99 ରୁ ଅଧିକ ଏବଂ 140.01 ରୁ କମ୍ ଉଚ୍ଚତା ପ୍ରବେଶ କରନ୍ତୁ |,or please enter a height above 29.99 and below 140.01.
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ରେ ଲଗ୍ଇନ୍ କରିବା ସମୟରେ, ଏଡବ୍ଲ୍ୟୁଡବ୍ଲ୍ୟୁମାନେ ସେମାନଙ୍କ ଦ୍ୱାରା ସେଟ୍ ହୋଇଥିବା ପ୍ରବେଶ କରିବାକୁ ଆବଶ୍ୟକ କରିଥାନ୍ତି ।","When logging in to the Nutrition Tracker app, AWWs are required to access the access they set."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,ଏହି ଏମ୍ପିଆଇଏନ୍ ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍ ଚଲାଇବା ଏବଂ ହିତାଧିକାରୀ ଫର୍ମରେ ସୂଚନା ପ୍ରବେଶ କରିବା ପାଇଁ ଏକ ପାସକୋଡ୍ ଭାବରେ କାମ କରିବ ।,This MPAN or Nutrition Tracker will act as a password to run the app and access information in the beneficiary form.
How to ensure timely initiation of complementary feeding,ସଂପନ୍ନ ଖାଦ୍ୟପେୟର ସମୟାନୁବର୍ତ୍ତୀକୁ କିପରି ସୁନିଶ୍ଚିତ କରିବେ,How to ensure that a rich meal is timely?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,ପୋଷନ୍ ଟ୍ରାକର୍ ଆପ୍କୁ କେବଳ ଆଣ୍ଡ୍ରଏଡ୍ ଭର୍ସନ୍ 6.0 ଏବଂ ତଦୁର୍ଦ୍ଧ ସହିତ ଆଣ୍ଡ୍ରଏଡ୍ ଫୋନରେ ଇନ୍ଷ୍ଟଲ୍ ହୋଇପାରିବ ।,The Nutritional Tracker app can only be installed on Android phones with Android version 6.0 and above.
General Awareness about Growth Monitoring of Children,ପିଲାମାନଙ୍କର ଅଭିବୃଦ୍ଧି ତଦାରଖ ବିଷୟରେ ସାଧାରଣ ସଚେତନତା,or general awareness of child development monitoring.
Wasting is defined as low weight-for-height,କମ୍ ଓଜନ-ଉଚ୍ଚତା ପାଇଁ ଅପଚୟ କୁ ବ୍ୟାଖ୍ୟା କରାଯାଇଛି |,The definition of waste is for low weight-height.
Hot Cooked Meal (HCM) Given Today,ଆଜି ଦିଆଯାଇଥିବା ଗରମ ଭୋଜନ (HCM),Or the hot meal served today (HCM).
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,ହିତାଧିକାରୀଙ୍କ ପାଇଁ 6 ଟି ବର୍ଗ ଅଛିଗର୍ଭବତୀ ମହିଳାସ୍ତନ୍ୟପାନ କରାଉଥିବା ମାତା0 ରୁ 6 ମାସ ପର୍ଯ୍ୟନ୍ତ ପିଲାମାନେ6 ମାସରୁ 3 ବର୍ଷ ପର୍ଯ୍ୟନ୍ତ ପିଲାମାନେ3 ବର୍ଷରୁ 6 ବର୍ଷ ପର୍ଯ୍ୟନ୍ତ ପିଲାମାନେକିଶୋର ଝିଅମାନେ,There are six categories for beneficiaries or pregnant women breastfeeding mothers0 to 6 months children6 months to 3 years children3 to 6 years childrenadolescent girls
"Data Plan for Mobile Application (01 March, 2021)","ମୋବାଇଲ୍ ଆପ୍ଲିକେସନ୍ ପାଇଁ ଡାଟା ପ୍ଲାନ୍ (01 ମାର୍ଚ୍ଚ, 2021)","or data plan for mobile applications (March 01, 2021)"
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. ଏକାଧିକ ଭାଷାଭାଷୀ ଇଣ୍ଟରଫେସ୍ ର ସୀମା |,VIII.or the boundary of multilingual interfaces.
Srijangram I. C. D. S. Project,ଶ୍ରୀଜନଗ୍ରାମ ଆଇସିଡିଏସ ପ୍ରକଳ୍ପ,The Srijanorgram ICDS project is being implemented in Srijanor.
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,ବିଶ୍ୱ ସ୍ୱାସ୍ଥ୍ୟ ସଂଗଠନ (WHO) ମାନକ ଅନୁଯାୟୀ ପୃଷ୍ଟିକର କାଲ୍କୁଲେଟର ଶିଶୁର ବିଭିନ୍ନ ସ୍ୱାସ୍ଥ୍ୟ ଅବସ୍ଥା ଚିହ୍ନଟ କରିବାରେ ସାହାଯ୍ୟ କରେ,"According to the World Health Organization (WHO) standard, a nutrition calculator helps identify various health conditions in a child."
