eng,pa,translation_text
The Site is directed to the people residing in India.,ਸਾਈਟ ਨੂੰ ਭਾਰਤ ਵਿੱਚ ਰਹਿਣ ਵਾਲੇ ਲੋਕਾਂ ਲਈ ਨਿਰਦੇਸਿਤ ਕੀਤਾ ਗਿਆ ਹੈ।, The site is directed to people living in India.
We do not represent that Content available on or through the Site is appropriate or available in other locations.,ਅਸੀਂ ਇਸ ਗੱਲ ਦੀ ਨੁਮਾਇੰਦਗੀ ਨਹੀਂ ਕਰਦੇ ਹਾਂ ਕਿ ਸਾਈਟ 'ਤੇ ਜਾਂ ਇਸ ਰਾਹੀਂ ਉਪਲਬਧ ਸਮੱਗਰੀ ਹੋਰ ਸਥਾਨਾਂ 'ਤੇ ਉਚਿਤ ਜਾਂ ਉਪਲਬਧ ਹੈ।, We do not represent that the content available on the site or through it is appropriate or available elsewhere.
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,ਅਸੀਂ ਕਿਸੇ ਵੀ ਸਮੇਂ ਕਿਸੇ ਵੀ ਵਿਅਕਤੀ ਜਾਂ ਭੂਗੋਲਿਕ ਖੇਤਰ ਲਈ ਸਾਈਟ ਜਾਂ ਸਾਈਟ 'ਤੇ ਦੱਸੇ ਗਏ ਕਿਸੇ ਸੇਵਾ ਜਾਂ ਉਤਪਾਦੀ ਉਪਲਬਧਤਾ ਨੂੰ ਸੀਮਤ ਕਰ ਸਕਦੇ ਹਾਂ।, We may at any time restrict the availability of any service or derivative mentioned on the site for any person or geographic area.
"If you choose to access the Site from outside India, you do so at your own risk.","ਜੇਕਰ ਤੁਸੀਂ ਭਾਰਤ ਤੋਂ ਬਾਹਰ ਸਾਈਟ ਨੂੰ ਐਕਸੈਸ ਕਰਨ ਦੀ ਚੋਣ ਕਰੋਗੇ, ਤਾਂ ਤੁਸੀਂ ਆਪਣੇ ਜੋਖਮ 'ਤੇ ਅਜਿਹਾ ਕਰਦੇ ਹੋ।"," If you choose to access the site outside of India, you do so at your own risk."
Please go back to the homepage,ਕਿਰਪਾ ਕਰਕੇ ਹੋਮਪੇਜ ਤੇ ਵਾਪਸ ਜਾਓ,"eng, silahkan kembali ke homepage"
Please enter Height greater than 29.99 and less than 140.01,ਕਿਰਪਾ ਕਰਕੇ 29.99 ਤੋਂ ਵੱਧ ਅਤੇ 140.01 ਤੋਂ ਘੱਟ ਉਚਾਈ ਦਰਜ ਕਰੋ,eng please enter height above 29.99pa and height below 140.01pa
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਤੇ ਲੋਗਿਨ ਕਰਦੇ ਸਮੇਂ, ਏਡਬਲਯੂਡਬਲਯੂ ਨੂੰ ਉਹਨਾਂ ਦੁਆਰਾ ਨਿਰਧਾਰਤ ਐਮਪੀਆਈ ਦਾਖਲ ਕਰਨ ਦੀ ਲੋੜ ਹੁੰਦੀ ਹੈ।"," When logging into Nutrition Tracker app, AWS is required to enter the MPI they set."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,ਇਹ ਐਮਪੀਆਈਐਨ ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਚਲਾਉਣ ਅਤੇ ਲਾਭਪਾਤਰੀਆਂ ਦੇ ਫਾਰਮ ਵਿਚ ਜਾਣਕਾਰੀ ਦਾਖਲ ਕਰਨ ਲਈ ਇਕ ਪਾਸਕੋਡ ਵਜੋਂ ਕੰਮ ਕਰੇਗੀ ।, This will act as a passcode to run the MPIN Nutrition Tracker app and enter information in the beneficiaries' form.
How to ensure timely initiation of complementary feeding,ਪੂਰਕ ਆਹਾਰ ਦੀ ਸਮੇਂ ਸਿਰ ਸੁਰੂਆਤ ਨੂੰ ਕਿਵੇਂ ਯਕੀਨੀ ਬਣਾਇਆ ਜਾਵੇ, How to ensure timely start of dietary supplementation
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,ਪੋਸਣ ਟ੍ਰੈਕਰ ਐਪ ਸਿਰਫ ਐਂਡਰਾਇਡ ਫੋਨ ਵਿੱਚ ਐਂਡਰਾਇਡ ਵਰਜਨ 6.0 ਅਤੇ ਇਸਤੋਂ ਵੱਧ ਦੇ ਨਾਲ ਇੰਸਟੌਲ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ।,eng Tracker Apppa can only be installed on Android phones with Android version 6.0 and above.
General Awareness about Growth Monitoring of Children,ਬੱਚਿਆਂ ਦੇ ਵਿਕਾਸ ਦੀ ਨਿਗਰਾਨੀ ਬਾਰੇ ਆਮ ਜਾਗਰੂਕਤਾ,engekonsultasi umum tentang pemantauan perkembangan anak
Wasting is defined as low weight-for-height,ਦੁਰਬਲਤਾ ਨੂੰ ਉਚਾਈ ਅਨੁਸਾਰ ਘੱਟ ਭਾਰ ਵਜੋਂ ਪਰਿਭਾਸਿਤ ਕੀਤਾ ਗਿਆ ਹੈ,engengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengengeng
Hot Cooked Meal (HCM) Given Today,ਅੱਜ ਦਿੱਤਾ ਗਿਆ ਗਰਮ ਪਕਾਇਆ ਭੋਜਨ (ਐਚਸੀਐਮ) ਲਓ, Take the hot cooked meal (HCPA) given today.
