eng,sd,mBART600M
Please go back to the homepage,महरबानी करे होमपेज ते वापिस वञो,Please do the homepage and return to the website.
Please enter Height greater than 29.99 and less than 140.01,किरपा लम्बाई भरयो जेकि वधिक हुजे 37.99 खा आऊं घट हुजे 150.01,The graph length is filled to a maximum of 37.99 and a decrease of 150.01.
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","पोषण ट्रेकर एप ते लॉगिन करण वक्त, आंगनवाडी में कम कंदडनु खे उन्ह्नु पारां सेट कयलु एमपिन दाखिल करणो पवंदो।","When logging in to the Nutrition Tracker app, they set up a few steps to lower the traffic congestion in Anganwadi and enter their MPIN."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,पोषण ट्रेकर एप खे हलाइण एं फायदों वठंदड जे फॉर्म में जा॒ण दाखिल करण जे लाये एमपिन हिक पासकोड तरीके कम कंदो.,Nutrition tracker app is designed to provide information in a form that brings the MpinHick passcode method to reduce the risk.
How to ensure timely initiation of complementary feeding,इजाफे वारे खादे खे सही टाइम ते शुरुआत करण कीयं पक्को कयूं,I'm sure you'll find the right time and start with the right thing.
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,पोषण ट्रेकर एप खे ऐंड्रोइड 6.0 या उन खां वधिक जे कोल वारे ऐंड्रोइड फोन में इंसटाल करे सघ॒बो आहे.,Nutrition tracker app is for Android 6.0 or later that is compatible with installing a coal wire in an Android phone.
General Awareness about Growth Monitoring of Children,वहींवारी जागरूकता बारण जे वाध निगरानी जी,"At the same time, the awareness-raising platform of J. Wadh Monitoring G."
Wasting is defined as low weight-for-height,घट वजन लम्बाई जे लाए विनयाएण चयबो आ,Weight loss length that brought Vinayana Chaibho and A.
Hot Cooked Meal (HCM) Given Today,अजु॒ दि॒नल गरम रधलु खाधो (HCM),The current trend is the high-quality hot rolling food (HCM)
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,हिते छः श्रेणियु आएन फायदे जे लाएपेटअ वारी माईढुक्क डेयन वारी माईबार 0 खा 6 महिनन जोबार 6 महिनन खा 3 सालन जोबार 3 सालन खा 6 सालन जोकिशोरी छोकरूयु,The benefits of six categories are the benefits of which are Laapetaa Vari Maiduk Deyan Vari Maibar 0 eat 6 months of work 6 months of work 3 years of work 3 years of work 6 years of work 6 years of work
"Data Plan for Mobile Application (01 March, 2021)","मोबाईल एप्लीकेशन जे लाये डाटा प्लान ( 01 मार्च, 2021)",The mobile application Jsd has brought a data plan (01 March 2021)
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. बहुभाषी - इंटरफेस जी सीमाउँ,VIII. Multilingual - interface G is the boundary.
Srijangram I. C. D. S. Project,श्रीजानग्राम आई. सी. डि. ऐस. प्रोजेक्ट,The Srijanagram ICDDS project is being implemented by the Srijanagram.
"We may investigate any violation of these Terms, including unauthorized use of the Site.",अस्सां साइट जो गैर कानूनी इस्तेमाल सां हिन शरतुं जो केडे भि उल्लंघन जी जांच करे सगंदा आयुं।,We use our site for illegal purposes and we investigate violations of our site throughout our lives.
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,अस्सां केडी भी जांच या तवां जे मथ्थों मुकदमो हलायन में मदद जे लाये कानून खे तवान्जी लेनदेन सां संबंधित काई जानकारी डेई सगंदा आयुं।,We also have to investigate or investigate any matter that may help in the resolution of the lawsuit that brings law and order to the transaction.
We may take legal action that we feel is appropriate.,अस्सां कानूनी कार्रवाई करे सगंदा आयुं अगर असांखे ऊ सही लगे त।,We will take legal action for the rest of our lives if we think he is right.
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,पोषण केल्कयुलेटर सहायता कंदो आ जाम सारयु सिहत जी दिक्कत सा बार जी वर्ल्ड हेल्थ आर्गेनाइजेशन जे तहेत (WHO),Nutrition calculator help cando and jam saryu sihat ji problem from time to time the world health organization (who) has decided to take a look at the world health organization (who)
How to take care of weak newborn with the help of Kangaroo Mother Care,कंगारू मदर केयर जी मदद सां कमजोर जायल बार जी देखभाल कीयं कयूं,Kangaroo mother care g help me weakened go to the bar g care care do.
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",काई भी गलत डेटा सां पैदा थेयन वारी सिविल या आपराधिक देनदारियां पूरी तरह सां संबंधित एएसपी वठ हुंदियूं।,Any false data may have resulted in the loss of civil or criminal liability entirely to the ASP.
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details? id=com. poshantracker,पोषण ट्रेकर एप गूगल ते मौजूद आहे.Google playstore https://play. google. com/store/apps/details? id=com. poshantracker,The nutrition tracker app Google is also available.Google playstore https://play.google.com/store/apps/details? id=com.poshantracker
Can App be accessed without internet?,छा हिन एप खे इंटरनेट जे बिना हलाए सघ॒बो आहे?,Is there an internet app that is unshakeable?
Awareness for Pregnancy in Preventing Anemia,जागरूकता गर्भावस्था मे एनीमिया जी,Awareness of pregnancy in the United States is anemia.
"Howrah North (U) I. C. D. S. Project, Howrah","हावडा उतर (यू) आई. सी. डी. ऐस. प्रोजेक्ट, हावडा","Hawada Landing (USD) is an ICDS project, Hawada."
Birth Preparedness- For Institutional and Home Delivery,जन्म जी तैयारी- संस्थायुन आऊं होम डिलीवरी जे लाये,The preparation of the birth certificate- institutional and home delivery of the baby is carried out.
New beneficiary addition with skip OTP option,नयो फाईदोवठिंदड गंढायप नजपअंदाज कंदड OTP विकल्प सां,New Faidovthindindad Gurdhaipe नजपअंदाज कंदद OTP option is included.
We are now available on Video Conference,असां हाणे विडिओ कान्फ्रन्स ते बि मौजूद आहियूं,We are here to attend video conferences and other events.
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms.","पोषण ट्रेकर एप, आंगनवाडी में कम कंदडनु, आंगनवाडी मरकजन पारां फायदो वठंदडनु जे डाटा खे फॉर्म में दाखिल करण जे लाये ठाही वेई आहे.","Nutrition tracker app, low stakes in Anganwadi, Anganwadi Marakjan Param useful stakes in which to enter data in a form that brings you the right way."
It is not at all developed for general public.,हिन एप खे आम अवाम जे लाये बिलकुल न ठाहियो वियो आहे.,Their app is a public service that is not at all known.
Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.,Swastha Balak/Balika Spardha Mission is about celebrating the health of children in India.
It entails identification and awareness of health conditions and providing necessary support wherever required.,It entails identification and awareness of health conditions and providing necessary support wherever required.,It involves identifying and raising awareness of health conditions and providing necessary support wherever needed.
”Our Privacy Policy applies when you use our Services (described below).,"""Our Privacy Policy applies when you use our Services (described below).","""Our Privacy Policy applies when you use our Services (described below)."
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared.","This Privacy Policy is intended to help you understand what information we collect, why we collect it, and how it is used and shared."
The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The collecting and retaining agency in respect of your information is Ministry of Women and Child Development.,The agency collecting and retaining your information is the Ministry of Women and Child Development.
We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.,We are committed to protecting the security of your personal information and safeguarding your privacy.
How to revive your health if you are Underweight,किंय वापस पाए ता सघु सिहत अगर असांजो घट वजन आ,I would like to give you a brief advice if Assange loses weight and is able to return to work.
Can a beneficiary change his/her AWC?,छा लाभकारी बदलाव थी तो सघे उननजे AWC मे?,"If there was a beneficial change to the AWC, what would happen?"
"We use the information we have, to help verify accounts.",असांजे वठ जेकि सूचना हुनदी आ असा हुनसा तांजा अकाउंट वेरिफाई कंदा आयु।,It is unlikely that information will be verified by the account holder.
The records may be used for verification of health status for the purposes of Poshan Tracker control and response.,रिकार्ड तांजा तांजे वेरिफिकेशन जे लाए ईसृतेमाल थींदा आएन ताकि ताखे तांजी सेहत जे बारे मे बुधाए सिघु।,The record of Tanja Tanje verification which brought the material to the thenda came so that the tanja Tanje health which was introduced to Sighu.
Scan the QR Code to Download the App,एप खे डाउनलोड करण जे लाये स्केन कयो फकत एंड्रॉइड जे लाये,Download the app that brought the scans to the fuckin' Android app that brought the scans to the world.
Who is eligible for Hot Cooked Meal?,केर गर्म ठयल रोटी जे काबिल आ?,"Is there a hot, crispy bread that is capable of coming?"
Identifying and preventing Severe Acute Malnutrition,गंभीर आऊं पीडींदड कुपोषण जी पहचान करण आऊं हुनखे रोकण,Identifying and preventing severe and severe malnutrition
Children who are identified as deficit on nutrition are eligible for additional food supplements.,बार जेका कुपोषित आएन उवे अतिरिक्त पूरी रोटी जे योग्य आ एन।,The bar where the malnourished come to eat is an extra whole loaf of bread which is suitable for eating.
Who is eligible for additional supplementary food.,केर अतिरिक्त पूरी रोटी जे योग्य आ।,"Additional whole bread, if any, is eligible."
"Uploading of Data of Anganwadi Services Schemes in Poshan Tracker (24 May, 2021)","पोशन ट्रेक्टरु में आंगन वादी सर्विसिज स्कीमुन जे डेटा अप लोड करणु (24 मुई ,2021)",The court appeals services scheme in the position tractor that allows data to be uploaded to the data is available (24 May 2021)
Children between 6 months - 3 years,6 महिननु - 3 सालनु जे विच में बा॒र,6 months - 3 years old in a row.
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi",मिनिस्ट्री ओव वुमन एंड चाइल्ड डेवलपमेंट गवर्नमेंट ऑफ इंडिया शास्त्री भवन नई दिल्ली,Ministry of Women and Child Developmentsd Government of India Shastri Bhawan New Delhi
Care of the weak newborn baby - How many weak babies are we missing?,कमजोर जायल बार जी देखभाल - अस्सां घणा कमजोर जायल बारण जी देखभाल नथ्था करे सगुं?,Weakly going to take care of the bad - how can we not be so attentive to the bad?
Underweight children who received Supplementary Nutrition,पूरक पोषण प्राप्त करण वारा घट वजन वारा बारअ,Getting nutritional supplements Wind loss weight loss wind bar
Identification and care of a Weak Newborn baby,कमजोर जायल बार जी पहचान आऊं देखभाल,Weaknesses often lead to GSD identification and care.
1.2. Information from use of services.,1.2. सर्विस इस्तेमाल करण जी सूचना।,1.2. use of the service.
Please contact your respective Anganwadi Centre.,किरपा तांजे आंगनवाडी कार्यकर्ता सा सम्पर्क कयो।,"The Anandwadi worker, Karpa Tanje, has contacted her."
GOBARDANGA I. C. D. S PROJECT(U),गोबोरडांङा आई. सी. डी. ऐस. प्रोजेक्ट (यू),The Goboardangaya ICDD AS project (Usd) is being developed by the United States.
Please fill in the form below to create a new ticket.,किरपा करे हिन हेठ डिनल फार्म खे भरो त नई टिकेट ठाहयुं।,Please fill out their Dinal form and place a new ticket.
Anganwadi Worker will reach out to you within 48 hours.,आंगनवाडी कार्यकर्ता तांजे वठ 48 किलाक मे पहुची वेन्दुवः।,The Anganwadi activist Tanjesdash reached the Vendu: in 48 killacks.
Your request is received.Please note down the ticket number for future reference.,तव्हां जी आछ हासिल थी आहे महर्बानी करे टिकेट नम्बर नोट कयो मस्तकबील जे ड॒स लाई,Then the G-sh had achieved is to make a merchant ticket number note to Kyo Mastakbil who has done the deed.
Is poshan trackers app available over Apple I Store also?,छा पोषण ट्रेक्स एप एप्पल आई स्टोर ते मौजूद आहे?,Is the nutrition tracks app available on the Apple Eye Store as well?
Number of records becoming inactive and number of records migrating from one category to another,अणसुजाग थिंदड रेकार्डन जी गणप ऐं हिक विभाग खां बे॒ विभाग लडि॒यलु रेकार्डअ,Anansuga Thindad Recordan Ji Ganp Anshik department of Khan and department of Ladīyalu recordan
In How many languages the Poshan Tracker App is available?,पोषण ट्रेकर एप केतरियुन बो॒लियुन में मौजूद आहे?,Is the nutrition tracker app Ketriun Bollion present in the app?
AWWs are requested to enter their mobile numbers in the Login screen.,आंगनवाडी में कम कंदडनु खे लॉगिन स्क्रीन ते उन्ह्नु जो मोबाइल नंबर दाखिल करण जी वेंती कई वञे थी.,"In Anganwadi, there was a lot of time to log in to the login screen and to enter the mobile number."
"An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.","तव्हां जे रजिस्टर कयल मोबाइल नंबर ते हिक ओटीपी मोकलायो वेंदो, जहिं खां पोइ तव्हां खे एम्पिन सेट करणो पवंदो.","Then the registered mobile number and the OTP are sent to the vendor, wherever they are, and the AMPIN is set."
Measles Containing vaccine (MCV)/MR-2JE-2**DiphtheriaPertussis & Tetanus (DPT)-Booster-1OPV –Booster,मिसलेस कनटेनिंग वेक्सिन (MCV)/MR-2JE-2**डिप्थीरियापरटयुसिस एंड टिटनस (DPT)-बूस्टर-1OPV -बूस्टर,Missless containment vaccine (MCV)/sdMR-2JE-2**Dyptheriapertuis and titanus (DPT) -booster-1OPV -booster
The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators.,पोषण टे्कर कंदो आ रियल टाइम मानिटरिंग आऊं ट्रेकिंग सभीन AWCs आऊं लाभकारी मनयो वेंदो आ।,Nutrition technician Kando and real-time monitoring and tracking of all AWCs and profitable Manyo Vendo come.
It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs.,इयो गायों व्यो आ डेटा खे ईक्कठो करे देखो डिजिटल टेक्नोलॉजी सिस्टम आऊं नये फिचरन मिनिस्टर आऊं प्रोग्राम सा ठयल आ।,Look at how the digital technology system and the new features of the Minister and the program are being implemented.
The public dashboard helps to impart transparency on services delivered to beneficiaries,पब्लिक डैशबोर्ड हितभागिण खे डी वणन वारी सेवाउण में ट्रांसपेरेंसी खणी अचण में मदद कंदो आहे,Public dashboard HITBHIGHIN KHE D VANANAN VARI SERVICE is a helpful tool for transparency mining in the loan.
Translations on the Poshan Tracker Portal & App Chabot are done by third party translators.,पोषण ट्रैकर पोर्टल आऊं ऐप चाबोट ते अनुवाद ट्रीं दुरी जा अनुवादक कंदा।,Nutrition tracker portal and app keyboard and translation tree remote ja translator canda.
"While the translations are done on a best effort basis, some of the parts may be incorrect.","जेडी मैल अनुवाद बेहतरीन कोशिश जे आधार ते किया वेंदा आहेन, कोई कोई भाग गलत थी सिगंदा आहेन।","JD mail translation best effort based on what they have done, no part was wrong, no part was wrong."
Certain files and other items on the website cannot be translated.,वेबसाइट ते कुछ फाइल आऊं बी शयाइन जो अनुवाद न थी सिगंदो आहे।,The website and some files and BSD shines that were not translated are signdos.
"In addition, on translation, some applications and/or services may not function as expected, due to language barriers.","हिनजे अलावा, अनुवाद ते, कुछ एप्लिकेशन आऊं /या सेवाउन भाषा जी तकलीफुन जी वजह सां अपेक्षित रूप सां कम् न थी सगंदो आहे।","In addition to translation, some applications and/or services in which the language is not as well understood as expected, the cause of the problem is always present."
"We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","अस्सां हिन्ह पोर्टल ते मिलंदड जे लाये अनुवादन में केडी भि गलती, चूक या अस्पष्टता खे सुधारन जे लाये लगातार कम कयूं ता।","Assan Hinch Portal te Milanad Jaye translation can be used to correct errors, omissions or ambiguities that are constantly reduced."
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA)","MGRS इकट्ठा कंदो आ प्राइमरी ग्रोथ डेटा आऊं उनका संबंधि जानकारयु आसपास 8500 बारण जा देखा अलग अलग तरीके सा पलयल आऊं रहते वारा आएन (ब्राजीलl, घाना, इंडिया, नोरवे, ओमन आऊं USA)","MGRS collects primary growth data and related information about the cotton and the 8500 species that have been seen in various ways (Brazil, Ghana, India, Norway, Oman and USA) and the United States."
Children of different age groups are monitored on monthly basis by AWWs.,AWW द्वारा अलग अलग उम्र जे बारन जी महीने दर महीने जांच की वेंदी।,Various ages by AWW J. Baran G. Vendi was checked monthly.
"Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards.","स्टंटिंग, वेस्टिंग आऊं गट्ठ वजन हुजण, इह सिहत जा लच्छण खे डब्ल्यूएचओ जे मअयारिन जे हीसाब सां माप्यो वेंदो आहे।","Stunting, wasting and collective weight gain, is the goal of WHO J. Maayarin J. Hisab Sanpyo Vendo."
Regular growth monitoring helps AWWs to provide relevant and timely assistance to children,टाइम टाइम जी जांच AWW जे कम् कंदननङ खे बारन जी सही आऊं सही टाइम ते मदद करण में कम् में ईअन्दी आहे,Time time g check AWWsd J Kam Kannanang Khe Baran Ji is right and right time and help in the comm is eIndy.
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","जागरूकता बारण मे कुपोषण, स्टंट,विनयाण खा बचण लाए","The awareness-raising campaign has brought about the fight against malnutrition, stunts, and alcoholism."
Poshan Tracker adds new application features,पोशॉन ट्रेकर गंढी आहे नई ऐपलिकेशन कारगुजारी,"The Possion Tracker is dirty, and a new application is being developed."
Making or Updating Home Visit Planner and Initiating home visits,होम विजिट प्लानर ठायण या अपडेट करण आऊं होम विजिट शुरू करण,Home Visit Planner to determine or update and start a home visit.
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO),पोषण कैलकुलेटर खे विश्व स्वास्थ्य संगठन (डब्ल्यूएचओ) जे सबब सां वस्फ पैमाइशअ जी बुनियाद ते बारण जी वाध खे मापण जे लाये डिजाइन कायो वयो आहे,Nutrition calculator KS World Health Organization (WHO) J Sabab San Vassf measurement of G basis and Baran G Wad Ksh measurement which brought the design to be the age of the world.
Migrated from one category to another,बिक विभाग खां बे॒ ते लडणु,The department of commerce is engaged in a battle.
It usually occurs when a person has not had food of adequate quality and quantity and/or they have had frequent or prolonged illnesses,इयो तेमल थीनदो आ जेमल माणु वठ सुठी तरह सा रोटी न हुजे आऊं/या माणु चंगे टाईम खा केडि बिमारी खा गुजर दो हुजे,I'm not eating bread and/or eating good time when I'm sick and I'm going through a hard time.
Malnutrition is one of the most important challenges facing contemporary India.,हम असर भारत जिन अहम ललकारूनु खे मुंह दे॒इ रह्यो आहे उन्ह्नुमां कुपोषण हिक आहे.,"We are the bearers of India, which has been facing a very important problem of malnutrition."
Nutrition is acknowledged as central to the achievement of National and Global Sustainable Development Goals.,"पोषण खे, राष्ट्रीय एं आलमी पायेदार तरकीअ जे मकसदनु खे हासिल करण जे लाये मुख्य ग॒णयो वेंदों आहे.","NPSKHAN KHE, a national and global initiative aimed at achieving the goal of bringing about the main economic growth."
"Optimum and appropriate nutrition is essential for women and children to survive, thrive and break the intergenerational cycle of poor health and poverty in the community.","मायनुं एं बारनु खे बिरादरीअ में बचण, वधण वीझण एं कमजोर सिहत एं गरीबीअ जी बिन अलाकुमी सिरिशते खे टोडण जे लाये सही एं मुकमल पोषण जरूरी आहे.","Mynu'n an Barnu'sd Khe fraternity in the childhood, Vadhan Vijnan an Weak Sikhat an Poverty Ghi bin Alakaumi Sirikte Khe Toddan which brings true and perfect nutrition is essential."
