eng,ta,mBART600M
The Site is directed to the people residing in India.,இந்த தளம் இந்தியாவில் வசிக்கும் மக்களுக்கு மட்டுமே.,This site is only for people living in India.
We do not represent that Content available on or through the Site is appropriate or available in other locations.,தளத்தில் கிடைக்கும் உள்ளடக்கம் சரியானது அல்லது பிற இடங்களில் உள்ளது என்பதை நாங்கள் குறிப்பிடவில்லை.,We do not mention whether the content available on the site is accurate or elsewhere.
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,எந்த நேரத்திலும் எந்தவொரு நபருக்கும் அல்லது புவியியல் பகுதிக்கும் தளத்தில் விவரிக்கப்பட்டுள்ள தளம் அல்லது எந்தவொரு சேவை அல்லது தயாரிப்பின் கிடைக்கும் தன்மையை நாங்கள் கட்டுப்படுத்தலாம்.,We may at any time restrict the availability of the site or any service or product described on the site to any person or geographic area.
"If you choose to access the Site from outside India, you do so at your own risk.","இந்தியாவிற்கு வெளியே இருந்து தளத்தை அணுக நீங்கள் தேர்வுசெய்தால், உங்கள் சொந்த ஆபத்தில் அதைச் செய்கிறீர்கள்.","And if you choose to access the site from outside India, you do so at your own risk."
Please go back to the homepage,முகப்புப்பக்கத்திற்குச் செல்லவும்,Go to the homepage.
Please enter Height greater than 29.99 and less than 140.01,29.99 க்கும் அதிகமான உயரம் மற்றும் 140.01 க்கும் குறைவான உயரத்தை உள்ளிடவும்,Enter a height above 29.99 and a height below 140.01.
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","போஷன் ட்ராக்ஜெர் பயன்பாட்டில் உள்நுழையும்போது, அங்கன்வாடி ஊழியர்கள் அவர்கள் அமைத்த எம்பின் ஐ உள்ளிட வேண்டும்.","When logging into the Poshan Tracker app, Anganwadi employees are required to enter the mpin they have set up."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,இந்த எம்பிநான்என் போஷன் டிராக்கர் பயன்பாட்டை இயக்குவதற்கான கடவுக்குறியீடாக செயல்படும் மற்றும் பயனாளிகளின் படிவங்களில் தகவல்களை உள்ளிடும்.,This MPINN Position Tracker acts as a password to run the application and enters information into the forms of the beneficiaries.
How to ensure timely initiation of complementary feeding,துணை உணவுகளை சரியான நேரத்தில் தொடங்குவதை எவ்வாறு உறுதிப்படுத்துவது,How to ensure that supplements start on time?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,போஷான் டிராக்கர் பயன்பாட்டை ஆண்ட்ராய்டு பதிப்பு 6.0 மற்றும் அதற்கு மேற்பட்ட ஆண்ட்ராய்டு தொலைபேசியில் மட்டுமே நிறுவ முடியும்.,The BOSHON TRACKER app can only be installed on Android phones with Android version 6.0 and above.
General Awareness about Growth Monitoring of Children,குழந்தைகளின் வளர்ச்சி கண்காணிப்பு பற்றிய பொது விழிப்புணர்வு,Public awareness of child development monitoring is also growing.
Wasting is defined as low weight-for-height,ஊட்டச்சத்து குறைபாடு என்பது குறைந்த எடை-உயரம் என வரையறுக்கப்படுகிறது,Malnutrition is defined as low-weight-to-highness.
Hot Cooked Meal (HCM) Given Today,இன்று கொடுக்கப்பட்ட சூடான சமைத்த உணவு (HCM),Today's hot-cooked meals (HCM) are provided.
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,பயனாளிகளுக்கு 6 பிரிவுகள் உள்ளனகர்ப்பிணி பெண்கள்பாலூட்டும் தாய்மார்கள்0 முதல் 6 மாதங்கள் வரை உள்ள குழந்தைகள்6 மாதங்கள் முதல் 3 ஆண்டுகள் வரை உள்ள குழந்தைகள்3 வயது முதல் 6 வயது வரையிலான குழந்தைகள்வாலிபப் பெண்கள்,There are 6 categories for beneficiaries of the scheme: pregnant women: breastfeeding mothers: children 0 to 6 months of age: children 6 months to 3 years of age: children 3 to 6 years of age: children of the age of 6 to 6 years of age: adult women:
"Data Plan for Mobile Application (01 March, 2021)","மொபைல் பயன்பாட்டிற்கான தரவு திட்டம் (01 மார்ச், 2021)",The data plan for mobile use (01 March 2021)
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. பல மொழி இடைமுகத்தின் வரம்புகள்,VIIIth. Limits to the multilingual interface
Srijangram I. C. D. S. Project,ஸ்ரீஜான்கிராம் ஐ. சி. டி. எஸ். புராஜக்ட்,The Srijangram ICTS project is being implemented by the Srijangram.
"We may investigate any violation of these Terms, including unauthorized use of the Site.","தளத்தின் அங்கீகரிக்கப்படாத பயன்பாடு உட்பட, இந்த விதிமுறைகளை மீறினால் நாங்கள் விசாரிக்கலாம்.","We may investigate violations of these terms, including unauthorized use of the site."
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,உங்கள் பரிவர்த்தனைகள் தொடர்பாக நீங்கள் எங்களுக்கு வழங்கிய தகவலை சட்ட அமலாக்கத்திற்கு நாங்கள் வழங்கலாம்.,We may provide information you have provided to us in connection with your transactions to law enforcement.
We may take legal action that we feel is appropriate.,பொருத்தமற்றதாக நாங்கள் கருதும் தகவலின் மீது சட்ட நடவடிக்கை எடுக்கலாம்.,We may take legal action against information we consider inappropriate.
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,உலக சுகாதார அமைப்பின் (WHO) தரநிலைகளின்படி குழந்தையின் பல்வேறு சுகாதார நிலைமைகளை கண்டறிய போஷன் கால்குலேட்டர் உதவுகிறது,The Position Calculator also helps to detect various health conditions in a child according to World Health Organization (WHO) standards.
How to take care of weak newborn with the help of Kangaroo Mother Care,கங்காரு மதர் கேரின் உதவியுடன் பலவீனமான புதிதாகப் பிறந்த குழந்தையை எவ்வாறு பராமரிப்பது,How to care for a vulnerable newborn baby with the help of Kangaroo Mother Care.
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.","தவறான தரவுகளிலிருந்து எழும், எந்தவொரு சிவில் அல்லது கிரிமினல் பொறுப்புகள், ஏதேனும் சம்பந்தப்பட்ட ஏஎஸ்பியிடம் மட்டுமே இருக்கும்.",Any civil or criminal liability arising from false data will be limited to any concerned ASP.
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,கூகிள் பிளேஸ்டோர் மூலம் போஷன் டிராக்கர் பயன்பாடு https://play. google. com/store/apps/details?,How to use the Google Play Store's Porn Tracker app https://play.google.com/store/apps/details?
Can App be accessed without internet?,இணையம் இல்லாமல் அபிபி ஐ அணுக முடியுமா?,Is it possible to access ABB without an internet connection?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,குழந்தைகளில் ஊட்டச்சத்து குறைபாட்டின் இடைநிலை சுழற்சியை உடைக்க அரசாங்கம் பல முயற்சிகளை எடுத்துள்ளது.,The government has made several efforts to break the cycle of malnutrition in children.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","வாழ்க்கைச் சுழற்சி அணுகுமுறையை ஏற்றுக்கொள்வது, இளம் பருவ பெண்கள் மற்றும் சிறுவர்கள், கர்ப்பிணிப் பெண்கள், பாலூட்டும் தாய்மார்கள் மற்றும் குழந்தைகளின் ஊட்டச்சத்து தேவைகளைப் பூர்த்தி செய்ய தலையீடுகள் வடிவமைக்கப்பட்டுள்ளன.","Taking a life-cycle approach, interventions are designed to meet the nutritional needs of teenage women and boys, pregnant women, breastfeeding mothers and children."
Awareness for Pregnancy in Preventing Anemia,கர்ப்ப காலத்தில் இரத்த சோகை வராமல் தடுப்பது குறித்த விழிப்புணர்வு,Raising awareness about preventing bleeding during pregnancy.
