eng,te,mBART600M
The Site is directed to the people residing in India.,ఈ సైట్ భారతదేశంలో నివసిస్తున్న ప్రజలకు నిర్దేశించబడింది.,This site is directed to people living in India.
We do not represent that Content available on or through the Site is appropriate or available in other locations.,సైట్ లో లేదా దాని ద్వారా లభ్యం అయ్యే కంటెంట్ సముచితమైనది లేదా ఇతర లొకేషన్ ల్లో లభ్యం అవుతుందని మేం ప్రాతినిధ్యం వహించం.,We do not represent that content available on or through the site is relevant or available in other locations.
We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time.,సైట్ లేదా సైట్ పై వివరించిన ఏదైనా సర్వీస్ లేదా ప్రొడక్ట్ యొక్క లభ్యతను ఏ సమయంలోనైనా ఏదైనా వ్యక్తి లేదా భౌగోళిక ప్రాంతానికి మేం పరిమితం చేయవచ్చు.,We may limit the availability of any service or product described on the site or site to any individual or geographic area at any time.
"If you choose to access the Site from outside India, you do so at your own risk.","ఒకవేళ మీరు భారతదేశం వెలుపల నుంచి సైట్ ని యాక్సెస్ చేసుకోవాలని ఎంచుకున్నట్లయితే, మీరు మీ స్వంత రిస్క్ తో అలా చేస్తారు.","If you choose to access the site from outside India, you will do so at your own risk."
Please go back to the homepage,దయచేసి హోమ్పేజీకి తిరిగి వెళ్లండి,Please go back to the homepage.
Please enter Height greater than 29.99 and less than 140.01,దయచేసి ఎత్తు 29.99 కంటే ఎక్కువ మరియు 140.01 కంటే తక్కువ ఎత్తును నమోదు చేయండి,Please enter a height above 29.99 and a height below 140.01.
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them.","పోషణ్ ట్రాక్జెర్ యాప్లోకి లాగిన్ అయితే, AWW లు వారు సెట్ చేసిన MPIN ని నమోదు చేయవలసిఉంటుంది.","If you are logged into the Nutrition Tracker app, AWWs will be required to enter the MPIN they have set."
This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.,ఈ MPIN పోషణ్ ట్రాకర్ యాప్ను అమలు చేయడానికి పాస్కోడ్గా పనిచేస్తుంది మరియు లబ్ధిదారుల ఫారంలో సమాచారాన్ని నమోదు చేస్తుంది.,This MPIN nutrition tracker serves as a passcode for running the Nutrition Tracker app and enters information in the beneficiary form.
How to ensure timely initiation of complementary feeding,కాంప్లిమెంటరీ ఫీడింగ్ ని సకాలంలో ప్రారంభించేవిధంగా ఏవిధంగా ధృవీకరించాలి,How to verify that complementary feeding is started on time?
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,పోషన్ ట్రాకర్ యాప్ను ఆండ్రాయిడ్ ఫోన్లో ఆండ్రాయిడ్ వెర్షన్ 6.0 మరియు అంతకంటే ఎక్కువ ఉంటే ఇన్స్టాల్ చేయవచ్చు.,The POSTION TRACKER app can be installed on an Android phone if the Android version is 6.0 and higher.
General Awareness about Growth Monitoring of Children,పిల్లల ఎదుగుదల పర్యవేక్షణ గురించి సాధారణ అవగాహన,A general understanding of child development monitoring
Wasting is defined as low weight-for-height,వేస్టింగ్ అనేది తక్కువ బరువు-కొరకు-ఎత్తుగా నిర్వచించబడుతుంది,Waste is defined as low-weight-for-high-height.
Hot Cooked Meal (HCM) Given Today,ఈ రోజు ఇచ్చిన వేడి వేడిగా వండిన భోజనం (హెచ్ సిఎమ్),"The hot, hot, cooked meal (HCM) given today."
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,లబ్ధిదారుల కొరకు 6 కేటగిరీలు ఉన్నాయిగర్భిణీ స్త్రీలుపాలిచ్చే తల్లి0 నుంచి 6 నెలల పిల్లలు6 నెలల నుంచి 3 సంవత్సరాల పిల్లలు3 సంవత్సరాల నుండి 6 సంవత్సరాల వరకు పిల్లలుకౌమార బాలికలు,There are six categories for beneficiaries: Pregnant women nursing mothers0 to 6 months children6 months to 3 years children3 years to 6 years childrenTeenagers girls
"Data Plan for Mobile Application (01 March, 2021)","మొబైల్ అప్లికేషన్ కోసం డేటా ప్లాన్ (01 మార్చి, 2021)",The data plan for the mobile application (01 March 2021) is updated.
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE, VIII. బహుభాషా ఇంటర్ ఫేస్ యొక్క పరిమితులు,VIIIe. Limits of multilingual interface
Srijangram I. C. D. S. Project,సృజంగ్రామ్ ఐ. సి. డి. ఎస్. ప్రాజెక్ట్,The Krejganram ICDS project is being implemented by the Indian government.
"We may investigate any violation of these Terms, including unauthorized use of the Site.","సైట్ యొక్క అనధీకృత ఉపయోగంతో సహా, ఈ నిబంధనల యొక్క ఏదైనా ఉల్లంఘనను మేము పరిశోధించవచ్చు.","We may investigate any violation of these Terms, including unauthorized use of the Site."
We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you.,మీ యొక్క ఏదైనా ఇన్వెస్టిగేషన్ లేదా ప్రాసిక్యూషన్ లో సాయపడటం కొరకు మీ లావాదేవీలకు సంబంధించి మీరు మాకు అందించే సమాచారంతో మేం లా ఎన్ ఫోర్స్ మెంట్ ని అందించవచ్చు.,We may provide law enforcement with information you provide to us regarding your transactions in order to assist you in any investigation or prosecution.
We may take legal action that we feel is appropriate.,సముచితమని మేము భావించే చట్టపరమైన చర్య తీసుకోవచ్చు.,We can take legal action that we consider appropriate.
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,ప్రపంచ ఆరోగ్య సంస్థ (WHO) ప్రమాణాలకు అనుగుణంగా బిడ్డ యొక్క వివిధ ఆరోగ్య పరిస్థితులను గుర్తించడానికి పోషణ్ కాలిక్యులేటర్ సహాయపడుతుంది,The nutrition calculator helps to identify the various health conditions of the baby in accordance with the World Health Organization (WHO) standards.
How to take care of weak newborn with the help of Kangaroo Mother Care,కంగారూ మదర్ కేర్ సహాయంతో బలహీనమైన నవజాత శిశువును ఎలా సంరక్షించాలి,How to care for a weak newborn baby with the help of Kangaroo Mother Care
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.","ఏదైనా తప్పుడు డేటా వల్ల ఉత్పన్నమయ్యే ఏవైనా అప్పులు సివిల్ లేదా క్రిమినల్, పూర్తిగా సంబంధిత ASP వద్దనే ఉంటాయి.","Any debts arising from any false data will be owed to the fully-relevant ASP, whether civil or criminal."
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,పోషాన్ ట్రాకర్ అనువర్తనం గూగుల్ ప్లేస్టోర్ ద్వారా అందుబాటులో ఉంది https://play. google. com/store/apps/details?,The POSHON Tracker app is available through the Google Play Store and is available through the Google Play Store.
Can App be accessed without internet?,ఇంటర్నెట్ లేకుండా యాప్ ని యాక్సెస్ చేయవచ్చా?,Is it possible to access the app without internet access?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,పిల్లలలో పోషకాహార లోపం యొక్క ఇంటర్జెనరేషన్ చక్రాన్ని విచ్ఛిన్నం చేయడానికి ప్రభుత్వం అనేక కార్యక్రమాలు చేపట్టింది.,The government has taken several initiatives to break the intergeneration cycle of malnutrition in children.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.","జీవిత-చక్ర విధానాన్ని అనుసరించి, కౌమారదశలో ఉన్న బాలికలు మరియు బాలురు, గర్భిణీ స్త్రీలు, పాలిచ్చే తల్లులు మరియు పిల్లల పోషక అవసరాలను తీర్చడానికి జోక్యం రూపొందించబడింది.","Following a life-cycle approach, the intervention is designed to meet the nutritional needs of teenage girls and boys, pregnant women, nursing mothers and children."
Awareness for Pregnancy in Preventing Anemia,రక్తహీనతను నివారించడంలో గర్భధారణ కొరకు అవగాహన,Raising awareness about pregnancy in preventing anemia
