eng,ur,mBART600M
Please go back to the homepage,براہ کرم ہوم پیج پر واپس جائیں,Please return to the homepage.
I am unable to receive OTP,میں OTP وصول کرنے سے قاصر ہوں ۔,I am unable to receive the OTP.
How to participate in Swastha Balak Balika Spardha?,صحت مند لڑکا لڑکی کے مقابلے میں کیسے حصہ لیا جائے ؟,How can a healthy boy compete against a healthy girl?
Please enter Height greater than 29.99 and less than 140.01,براہ کرم 29.99 سے زیادہ اور 140.01 سے کم اونچائی درج کریں ۔,Please enter heights above 29.99 and below 140.01.
How to ensure timely initiation of complementary feeding,تکمیلی خوراک کی بروقت شروعات کو کیسے یقینی بنایا جائے ۔,How to ensure the timely start of a supplementary diet.
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,پوشن ٹریکر اپلیکیشن کو موبائل میں انسٹال کرنے کی کماز کم ضرورت اینڈروائیڈ ورژن 6.0 ہونا چاہئے,The minimum requirement to install the Pushin Tracker app on mobile should be Android version 6.0.
Who is eligible for this campaign?,اس مہم کے لیے کون اہل ہے,Who is eligible for this campaign?
General Awareness about Growth Monitoring of Children,بچوں کی گروتھ مانیٹرنگ کے بارے میں عمومی آگاہی,Our goal is to raise awareness about the monitoring of children's growth.
Wasting is defined as low weight-for-height,بربادی کی تعریف کم وزن کے لیے اونچائی کے طور پر کی گئی ہے ۔,The definition of a waste is a height for light weight.
Hot Cooked Meal (HCM) Given Today,گرم پکا ہوا کھانا ( HCM) آج دیا گیا,Ur Hot cooked food (HCM) was served today.
There are 6 categories for beneficiariesPregnant WomenLactating MotherChildren from 0 to 6 monthsChildren from 6 months to 3 yearsChildren from 3 years to 6 yearsAdolescent girls,فائدہ اٹھانے والوں کے لیے چھ زمرے ہیں ۔حاملہ خواتیندودھ پلانے والی ماںصفر سے چھ ماہ تک کے بچےچھ ماہ سے تین سال تک کے بچےتین سال سے چھ سال تک کے بچےنوعمر لڑکیاں,There are six categories for beneficiaries: Pregnant breastfeeding mothers from zero to six months of age to six months of age to six months of age to three years of age to three years of age to six years of age to teenage girls.
"Data Plan for Mobile Application (01 March, 2021)",موبائل اپلیکیشن کے لئے ڈیٹا منصوبہ (01 مارج 2021),The data plan for the mobile app (01 March 2021)
 VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE,VIII. کثیر لسانی انٹرفیس کی حدود,VIIIur. The limits of multilingual interface are limited.
Srijangram I. C. D. S. Project,سرجن گام آئی سی ڈی ایس پروجیکٹ,Surgeon Gam is the lead author of the ICDS project.
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards,ورلڈ ہیلتھ آرگنائزیشن ( ڈبلیو ایچ او ) کے معیار کے مطابق پوشن کیلکولیٹر بچے کی صحت کی مختلف حالتوں کی نشاندہی کرنے میں مدد کرتا ہے ۔,"The Pushur Calculator, according to the World Health Organization (WHO) standards, helps identify variations in a child's health."
How to take care of weak newborn with the help of Kangaroo Mother Care,کینگرو مدر کیئر کی مدد سے کمزور نومولود کی دیکھ بھال کیسے کی جائے ۔,How to care for a weakened newborn with the help of Kangur Mothers Care.
"Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",کسی بھی غلط اعداد و شمار سے پیدا ہونے والی سول یا مجرمانہ ذمہ داریاں صرف متعلقہ ASP کے پاس ہوں گی ۔,Ur civil or criminal liability arising from any false data will only be with the relevant ASP.
Poshan Tracker App is available over Google playstore https://play. google. com/store/apps/details?,پوشن ٹریکر اپلیکیشن گوگل پلے استور پر دستیاب ہے,The Pushur Pun Tracker app is available on the Google Play Store and is currently available on the Google Play Store.
Can App be accessed without internet?,کیا پوشن ٹریکر اپلیکیشن اپیل بغیر انٹرنیٹ کے بھی فعال ہوگا ؟,Will the Pushin Tracker app be enabled even without an internet connection?
The Government has taken several initiatives to break the intergenerational cycle of malnutrition in children.,بچوں میں غذائی قلت کے بین المیعاد چکر کو توڑنے کے لئے حکومت نے متعدد اقدامات کئے ہیں ۔,The government has taken several steps to break the interim cycle of malnutrition in children.
"Adopting a life-cycle approach, interventions have been designed to meet the nutritional requirement of adolescent girls and boys, pregnant women, lactating mothers and children.",لائف سائیکل اپروچ مداخلت کو اپنانے کے لئے نوعمر لڑکیوں ، لڑکوں ، حاملہ خواتین اور دودھ پلانے والی ماؤں اور بچوں کی غذائی ضرورت کو پورا کرنے کے لئے ڈیزائن کیا گیا ہے ۔,"The lifecycle approach to adapting the intervention is designed to meet the nutritional needs of teenage girls, boys, pregnant women and breastfeeding mothers and babies."
Awareness for Pregnancy in Preventing Anemia,خون کی کمی کی روک تھام میں حمل کے لیے آگاہی,Ur Prevention of blood loss awareness for pregnancy in the prevention of pregnancy.
"Howrah North (U) I. C. D. S. Project, Howrah",ہوڑہ نارتھ ( اربن ) آئی سی ڈی ایس پروجیکٹ ، ہوڑہ,"Houraur North (Urban) is an ICDS project, Houra."
Birth Preparedness- For Institutional and Home Delivery,پیدائش کی تیاری - ادارہ جاتی اور گھر کی ترسیل کے لیے,Ur Birth Preparation - for institutional and home delivery.
New beneficiary addition with skip OTP option,لیو ون ٹائم پاس ورڈ آپشن کے ساتھ نیا فائدہ اٹھانے والوں کا اضافہ,Add new beneficiaries with the Live One Time Password option.
